2026-07-15 10:38:35 | INFO     | __main__ | Inventory started
2026-07-15 10:38:35 | INFO     | __main__ | Requested cohort filter: Control
2026-07-15 10:38:35 | INFO     | __main__ | No previous inventory_Control.csv found.
2026-07-15 10:38:35 | INFO     | __main__ | No previous inventory_Control_summary.json found.
2026-07-15 10:38:35 | INFO     | __main__ | No previous inventory_Control.log found.
2026-07-15 10:38:35 | INFO     | __main__ | Starting inventory (read-only) for /lustre07/scratch/alexrees
2026-07-15 10:38:35 | INFO     | __main__ | Discovered 1 cohort(s) under /lustre07/scratch/alexrees/raw_original: ['Control']
2026-07-15 10:38:35 | INFO     | __main__ | Scanning cohort 'Control' at /lustre07/scratch/alexrees/raw_original/Control
2026-07-15 10:51:16 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=5000 dicom_candidates=4921 elapsed=760.4s
2026-07-15 11:14:52 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=10000 dicom_candidates=9879 elapsed=2177.1s
2026-07-15 11:44:57 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=15000 dicom_candidates=14778 elapsed=3981.5s
2026-07-15 12:08:37 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=20000 dicom_candidates=19705 elapsed=5401.5s
2026-07-15 12:28:22 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=25000 dicom_candidates=24678 elapsed=6586.2s
2026-07-15 12:41:44 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=30000 dicom_candidates=29604 elapsed=7388.7s
2026-07-15 12:55:08 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=35000 dicom_candidates=34535 elapsed=8192.4s
2026-07-15 13:07:53 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=40000 dicom_candidates=39450 elapsed=8957.8s
2026-07-15 13:21:34 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=45000 dicom_candidates=44424 elapsed=9778.6s
2026-07-15 13:33:58 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=50000 dicom_candidates=49381 elapsed=10523.1s
2026-07-15 13:47:32 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=55000 dicom_candidates=54313 elapsed=11336.6s
2026-07-15 13:59:46 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=60000 dicom_candidates=59245 elapsed=12070.9s
2026-07-15 14:12:36 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=65000 dicom_candidates=64219 elapsed=12841.0s
2026-07-15 14:24:46 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=70000 dicom_candidates=69171 elapsed=13571.1s
2026-07-15 14:38:15 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=75000 dicom_candidates=74103 elapsed=14379.9s
2026-07-15 14:51:23 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=80000 dicom_candidates=79035 elapsed=15167.6s
2026-07-15 15:07:29 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=85000 dicom_candidates=84009 elapsed=16133.4s
2026-07-15 15:26:22 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=90000 dicom_candidates=88948 elapsed=17266.3s
2026-07-15 15:44:10 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=95000 dicom_candidates=93876 elapsed=18335.2s
2026-07-15 16:05:04 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=100000 dicom_candidates=98789 elapsed=19589.0s
2026-07-15 16:22:42 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=105000 dicom_candidates=103763 elapsed=20646.8s
2026-07-15 16:38:24 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=110000 dicom_candidates=108736 elapsed=21588.7s
2026-07-15 16:53:01 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=115000 dicom_candidates=113632 elapsed=22466.0s
2026-07-15 17:12:11 | INFO     | __main__ | Inventory scan progress cohort=Control files_scanned=120000 dicom_candidates=118561 elapsed=23615.4s
