participant_label	session_id	n_t1w	n_bold_mag
sub-001	01	3	12
sub-001	02	3	12
sub-002	01	3	13
sub-002	02	3	12
sub-003	01	3	12
sub-003	02	3	12
sub-004	01	3	12
sub-004	02	3	12
sub-005	01	3	13
sub-005	02	3	12
sub-006	01	3	12
sub-006	02	3	12
sub-007	01	3	13
sub-007	02	3	12
sub-008	01	3	14
sub-008	02	3	12
sub-009	01	3	12
sub-009	02	3	12
sub-010	01	3	10
sub-011	01	3	13
sub-011	02	3	12
sub-012	01	3	13
sub-012	02	3	12
sub-013	01	3	12
sub-014	01	3	12
sub-015	01	3	13
sub-015	02	3	12
sub-016	01	3	12
sub-016	02	3	13
sub-017	01	3	12
sub-017	02	3	12
sub-018	01	2	12
sub-019	01	3	12
sub-019	02	3	12
sub-020	01	3	12
sub-021	01	3	12
sub-021	02	3	13
sub-022	01	2	12
sub-022	02	3	12
sub-023	01	3	13
sub-023	02	3	12
sub-024	01	3	12
sub-024	02	3	14
sub-025	01	3	13
sub-025	02	3	12
sub-026	01	3	12
sub-026	02	3	12
sub-027	01	3	12
sub-027	02	3	12
sub-028	01	3	12
sub-028	02	3	12
sub-029	01	3	12
sub-029	02	3	12
sub-030	01	3	12
sub-030	02	3	12
sub-031	01	3	12
sub-031	02	3	12
sub-032	01	3	12
sub-033	01	2	12
sub-034	01	3	12
sub-034	02	3	12
sub-035	01	3	12
sub-035	02	3	13
sub-036	01	3	12
sub-036	02	3	12
sub-037	01	3	12
sub-038	01	3	12
sub-038	02	3	13
sub-039	01	3	12
sub-039	02	3	12
sub-040	01	3	13
sub-040	02	3	12
sub-041	01	3	13
sub-041	02	3	12
sub-042	01	3	12
sub-043	02	6	23
sub-044	01	3	12
sub-044	02	3	12
sub-045	01	2	12
sub-046	01	3	13
sub-046	02	3	12
sub-047	01	3	11
sub-047	02	3	12
sub-048	01	3	12
sub-048	02	3	12
sub-049	01	3	12
sub-049	02	0	8
sub-050	01	3	12
sub-051	01	3	12
sub-052	01	2	12
sub-052	02	3	12
sub-053	01	3	11
sub-054	01	2	12
sub-054	02	3	12
sub-055	01	0	8
sub-056	01	2	12
sub-057	01	3	12
sub-058	01	3	12
sub-059	01	3	12
sub-060	01	3	13
sub-061	01	2	13
sub-062	01	3	12
sub-063	01	2	3
sub-064	01	3	12
sub-065	01	3	12
sub-066	01	3	12
sub-067	01	3	12
sub-068	01	3	12
sub-069	01	3	12
sub-070	01	2	10
sub-071	01	3	12
sub-072	01	3	12
sub-073	01	3	12
sub-074	01	3	12
sub-075	01	3	12
sub-076	01	2	12
sub-077	01	3	12
sub-078	01	3	12
sub-079	01	3	12
sub-080	01	3	12
sub-081	01	3	12
sub-082	01	3	13
sub-083	01	3	13
sub-084	01	3	12
sub-057	02	3	12
sub-064	02	2	12
sub-066	02	3	12
sub-067	02	3	12
sub-068	02	3	12
sub-069	02	3	12
sub-072	02	3	12
sub-073	02	3	12
sub-074	02	3	11
sub-078	02	0	6
sub-081	02	3	12
