scheme_id	series_description	protocol_name	sequence_name	scheme_type	phase_encoding_direction	pe_label	voxel_size_mm	slice_thickness_json_mm	repetition_time_s	echo_time_s	effective_echo_spacing_s	total_readout_time_s	n_volumes	n_b0	n_b0_unique_encodings	n_dw	shells_s_mm2	n_vols_per_shell	n_unique_dirs_per_shell	repeat_factor	n_series	n_magnitude	n_part_phase	n_sessions	n_subjects	n_series_with_issues	is_principal	representative_file
S01	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	385	20	0	365	1000,2000	b=0:20;b=1000:185;b=2000:180	b=1000:37;b=2000:36	5	241	241	0	120	77	0	yes	sub-001/ses-01/dwi/sub-001_ses-01_run-01_dwi.nii.gz
S02	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	0.98x0.98x6.75	5	3.5	0.075	0.000309995	0.0678889	385	20	0	365	1000,2000	b=0:20;b=1000:185;b=2000:180	b=1000:37;b=2000:36	5	2	2	0	1	1	0	no	sub-047/ses-01/dwi/sub-047_ses-01_run-03_dwi.nii.gz
S03	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP		multi_shell		n/a	1.00x1.00x5.00	5	3.9	0.075			385	20	0	365	1000,2000	b=0:20;b=1000:185;b=2000:180	b=1000:37;b=2000:36	5	12	6	6	6	6	0	no	sub-054/ses-02/dwi/sub-054_ses-02_run-01_dwi.nii.gz
S04	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	307	20	0	287	1000,2000	b=0:20;b=1000:145;b=2000:142	b=1000:29;b=2000:29	5	2	2	0	1	1	0	no	sub-028/ses-01/dwi/sub-028_ses-01_run-01_dwi.nii.gz
S05	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	290	20	0	270	1000,2000	b=0:20;b=1000:135;b=2000:135	b=1000:27;b=2000:27	5	2	2	0	1	1	0	no	sub-006/ses-02/dwi/sub-006_ses-02_run-01_dwi.nii.gz
S06	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	259	20	0	239	1000,2000	b=0:20;b=1000:120;b=2000:119	b=1000:24;b=2000:24	5	2	2	0	1	1	0	no	sub-018/ses-01/dwi/sub-018_ses-01_run-01_dwi.nii.gz
S07	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	234	20	0	214	1000,2000	b=0:20;b=1000:107;b=2000:107	b=1000:30;b=2000:34	4	1	1	0	1	1	0	no	sub-067/ses-01/dwi/sub-067_ses-01_run-02_dwi.nii.gz
S08	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	164	20	0	144	1000,2000	b=0:20;b=1000:74;b=2000:70	b=1000:15;b=2000:14	5	2	2	0	1	1	0	no	sub-025/ses-01/dwi/sub-025_ses-01_run-01_dwi.nii.gz
S09	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	0.98x0.98x6.75	5	3.5	0.075	0.000309995	0.0678889	124	20	0	104	1000,2000	b=0:20;b=1000:54;b=2000:50	b=1000:11;b=2000:10	5	2	2	0	1	1	0	no	sub-047/ses-01/dwi/sub-047_ses-01_run-01_dwi.nii.gz
S10	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	multi_shell	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	27	20	0	7	1000,2000	b=0:20;b=1000:5;b=2000:2	b=1000:1;b=2000:1	5	2	2	0	1	1	0	no	sub-033/ses-01/dwi/sub-033_ses-01_run-01_dwi.nii.gz
S11	resolve_3scan_trace_tra_p3_160_1.4iso_AP	resolve_3scan_trace_tra_p3_160_1.4iso_AP	*re_b0	single_shell	j-	AP	1.38x1.38x1.82	1.4	4.14	0.051	0.000101251	0.0160989	15	4	0	11	1000	b=0:4;b=1000:11	b=1000:11	1	125	125	0	124	77	0	yes	sub-001/ses-01/dwi/sub-001_ses-01_run-05_dwi.nii.gz
S12	resolve_3scan_trace_tra_p3_160_1.4iso_AP	resolve_3scan_trace_tra_p3_160_1.4iso_AP		single_shell		n/a	1.38x1.38x1.82	1.4	4.14	0.05116			15	4	0	11	1000	b=0:4;b=1000:11	b=1000:11	1	7	7	0	6	6	0	no	sub-054/ses-02/dwi/sub-054_ses-02_run-05_dwi.nii.gz
S13	gsld_75TE_PA_3b0	gsld_75TE_PA_3b0	gs_b0	b0_reference	j	PA	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	5	5	0	0		b=0:5			248	248	0	123	77	0	yes	sub-001/ses-01/dwi/sub-001_ses-01_run-03_dwi.nii.gz
S14	gsld_75TE_PA_3b0	gsld_75TE_PA_3b0	gs_b0	b0_reference	j	PA	1.00x1.00x7.00	5	3.5	0.075	0.000309995	0.0678889	5	5	0	0		b=0:5			2	2	0	1	1	0	no	sub-047/ses-01/dwi/sub-047_ses-01_run-05_dwi.nii.gz
S15	gsld_75TE_PA_3b0	gsld_75TE_PA_3b0		b0_reference		n/a	1.00x1.00x5.00	5	3.9	0.075			5	5	0	0		b=0:5			12	6	6	6	6	0	no	sub-054/ses-02/dwi/sub-054_ses-02_run-03_dwi.nii.gz
S16	gsld_75TE_PA_3b0_UpdatedShim	gsld_75TE_PA_3b0_UpdatedShim	gs_b0	b0_reference	j	PA	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	5	5	0	0		b=0:5			2	2	0	1	1	0	no	sub-011/ses-01/dwi/sub-011_ses-01_run-05_dwi.nii.gz
S17	gsld_76dir_b2000_1mmiso_AP	gsld_76dir_b2000_1mmiso_AP	gs_b0	b0_reference	j-	AP	1.00x1.00x5.00	5	3.5	0.075	0.000309995	0.0678889	5	5	0	0		b=0:5			2	2	0	1	1	0	no	sub-018/ses-01/dwi/sub-018_ses-01_run-10_dwi.nii.gz
S18	resolve_3scan_trace_tra_p3_160_1.4iso_PA	resolve_3scan_trace_tra_p3_160_1.4iso_PA	*re_b0	b0_reference	i	LR	1.38x1.38x1.82	1.4	24.8425	0.051	0.000101251	0.0160989	3	3	0	0		b=0:3			4	4	0	4	4	0	no	sub-012/ses-01/dwi/sub-012_ses-01_run-11_dwi.nii.gz
S19	resolve_3scan_trace_tra_p3_160_1.4iso_PA	resolve_3scan_trace_tra_p3_160_1.4iso_PA	*re_b0	b0_reference	j	PA	1.38x1.38x1.82	1.4	24.8412	0.051	0.000101251	0.0160989	3	3	0	0		b=0:3			121	121	0	120	77	0	yes	sub-001/ses-01/dwi/sub-001_ses-01_run-11_dwi.nii.gz
S20	resolve_3scan_trace_tra_p3_160_1.4iso_PA	resolve_3scan_trace_tra_p3_160_1.4iso_PA		b0_reference		n/a	1.38x1.38x1.82	1.4	4.14	0.03516			3	3	0	0		b=0:3			7	7	0	6	6	0	no	sub-054/ses-02/dwi/sub-054_ses-02_run-12_dwi.nii.gz
S21	resolve_3scan_trace_tra_p3_160_1.4iso_AP_TRACEW	resolve_3scan_trace_tra_p3_160_1.4iso_AP	*re_b1000t	trace_weighted	j-	AP	1.38x1.38x1.82	1.4	4.14	0.051	0.000101251	0.0160989	1	0		1	1000	b=1000:1	b=1000:0		125	125	0	124	77	0	yes	sub-001/ses-01/dwi/sub-001_ses-01_run-07_dwi.nii.gz
