check	status	detail
bids_dir_exists	PASS	/lustre07/scratch/alexrees/bids
bids_has_dataset_description.json	PASS	/lustre07/scratch/alexrees/bids/dataset_description.json
bids_has_participants.tsv	PASS	/lustre07/scratch/alexrees/bids/participants.tsv
bids_has_subjects	PASS	n_subjects=84
count_subjects	INFO	84
count_sessions	INFO	124
count_json	INFO	7958
count_nifti	INFO	7956
count_tsv	INFO	52
backup_path_outside_bids	PASS	/lustre07/scratch/alexrees/bids_metadata_backup_before_cleaning
backup_existing	PASS	backup path does not exist yet (will be created on --apply)
json_valid	PASS	all_parsed_ok n_json=7958
json_with_remove_fields	INFO	n=7956 fields={'InstitutionalDepartmentName': 7956}
example_json_with_remove_fields	INFO	sub-042/ses-01/fmap/sub-042_ses-01_dir-AP_run-04_part-phase_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-AP_run-01_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-PA_run-03_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-PA_run-02_part-phase_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-PA_run-01_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-AP_run-02_part-phase_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-AP_run-03_epi.json | sub-042/ses-01/fmap/sub-042_ses-01_dir-PA_run-04_part-phase_epi.json | sub-042/ses-01/dwi/sub-042_ses-01_run-01_dwi.json | sub-042/ses-01/dwi/sub-042_ses-01_run-02_dwi.json | sub-042/ses-01/dwi/sub-042_ses-01_run-05_dwi.json | sub-042/ses-01/anat/sub-042_ses-01_run-01_TB1TFL.json | sub-042/ses-01/anat/sub-042_ses-01_run-02_T1w.json | sub-042/ses-01/anat/sub-042_ses-01_run-03_T1w.json | sub-042/ses-01/anat/sub-042_ses-01_run-01_FLAIR.json | sub-042/ses-01/anat/sub-042_ses-01_run-01_T1w.json | sub-042/ses-01/anat/sub-042_ses-01_run-02_TB1TFL.json | sub-042/ses-01/func/sub-042_ses-01_task-rest_run-01_sbref.json | sub-042/ses-01/func/sub-042_ses-01_task-fmri_run-03_bold.json | sub-042/ses-01/func/sub-042_ses-01_task-control_run-01_part-phase_sbref.json
scientific_presence:RepetitionTime	INFO	present=0/0 (0.0%)
scientific_presence:EchoTime	INFO	present=0/0 (0.0%)
scientific_presence:FlipAngle	INFO	present=0/0 (0.0%)
scientific_presence:MagneticFieldStrength	INFO	present=0/0 (0.0%)
scientific_presence:Manufacturer	INFO	present=0/0 (0.0%)
scientific_presence:ManufacturersModelName	INFO	present=0/0 (0.0%)
scientific_presence:SliceTiming	INFO	present=0/0 (0.0%)
scientific_presence:PhaseEncodingDirection	INFO	present=0/0 (0.0%)
scientific_presence:TotalReadoutTime	INFO	present=0/0 (0.0%)
scientific_presence:EffectiveEchoSpacing	INFO	present=0/0 (0.0%)
clean_script_present	PASS	path=/home/alexrees/scratch/code/clean_bids_metadata.py md5=141729e1f43f2c0916f99d702c0182a9 mtime_utc=2026-07-22T16:32:19+00:00
nifti_tsv_not_targeted	PASS	clean_bids_metadata.py removes keys from JSON sidecars only; nifti=7956 tsv=52 will not be modified
SAFE_TO_APPLY	PASS	TRUE
