metric	value
json_files_scanned	7958
json_files_with_target_fields	7956
json_files_modified	7956
field_occurrences_removed	7956
mode	apply
backup_root	/lustre07/scratch/alexrees/bids_metadata_backup_before_cleaning
validation_errors	0
removed_count:InstitutionalDepartmentName	7956
removed_count:InstitutionName	0
removed_count:StationName	0
removed_count:DeviceSerialNumber	0
removed_count:PatientName	0
removed_count:PatientID	0
removed_count:PatientBirthDate	0
removed_count:PatientAge	0
removed_count:PatientSex	0
removed_count:OtherPatientIDs	0
removed_count:OtherPatientNames	0
example_file_changed	sub-001/ses-01/anat/sub-001_ses-01_run-01_FLAIR.json
example_file_changed	sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.json
example_file_changed	sub-001/ses-01/anat/sub-001_ses-01_run-01_TB1TFL.json
example_file_changed	sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.json
example_file_changed	sub-001/ses-01/anat/sub-001_ses-01_run-02_TB1TFL.json
example_file_changed	sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.json
example_file_changed	sub-001/ses-01/dwi/sub-001_ses-01_run-01_dwi.json
example_file_changed	sub-001/ses-01/dwi/sub-001_ses-01_run-02_dwi.json
example_file_changed	sub-001/ses-01/dwi/sub-001_ses-01_run-05_dwi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-AP_run-01_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-AP_run-02_part-phase_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-AP_run-03_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-AP_run-04_part-phase_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-PA_run-01_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-PA_run-02_part-phase_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-PA_run-03_epi.json
example_file_changed	sub-001/ses-01/fmap/sub-001_ses-01_dir-PA_run-04_part-phase_epi.json
example_file_changed	sub-001/ses-01/func/sub-001_ses-01_task-control_run-01_bold.json
example_file_changed	sub-001/ses-01/func/sub-001_ses-01_task-control_run-01_part-phase_sbref.json
example_file_changed	sub-001/ses-01/func/sub-001_ses-01_task-control_run-01_sbref.json
