JSON	Field	Value	ReasonFlagged
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_FLAIR.json	InstitutionalDepartmentName	Department	audit_PHI_KEYS_list;free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_FLAIR.json	ProtocolName	Sag Flair 3D-0.8	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_FLAIR.json	SeriesDescription	Sag Flair 3D-0.8	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.json	InstitutionalDepartmentName	Department	audit_PHI_KEYS_list;free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.json	ProtocolName	T1w_MPR	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.json	SeriesDescription	T1w_MPR	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_TB1TFL.json	InstitutionalDepartmentName	Department	audit_PHI_KEYS_list;free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_TB1TFL.json	ProtocolName	tfl_b1map_1mmiso	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_TB1TFL.json	SeriesDescription	tfl_b1map_1mmiso	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.json	InstitutionalDepartmentName	Department	audit_PHI_KEYS_list;free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.json	ProtocolName	T1w_MPR	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.json	SeriesDescription	T1w_MPR	free_text_descriptor
/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_TB1TFL.json	InstitutionalDepartmentName	Department	audit_PHI_KEYS_list;free_text_descriptor
