subject	session	relative_key	geometry_flags	n_phi_keys	phi_keys	preserved_ok	missing_preserved_keys	changed_preserved_keys	readable	orig_shape	def_shape	orig_zooms	def_zooms	orig_orientation	def_orientation	orig_datatype	def_datatype	changed_voxel_volume_mm3
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	1960570.4611220956
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	1967261.7894399166
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(192, 224, 224)	(192, 224, 224)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	RAS	RAS	int16	int16	2106356.0
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	2792518.2766374946
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	2786923.14037174
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(192, 224, 224)	(192, 224, 224)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	RAS	RAS	int16	int16	2180453.0
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3012791.951099932
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3027427.471795082
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(192, 224, 224)	(192, 224, 224)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	RAS	RAS	int16	int16	2466153.0
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3870815.415853858
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3859490.999315977
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(192, 224, 224)	(192, 224, 224)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	RAS	RAS	int16	int16	2996243.0
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3035665.0401863456
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	2942056.587740183
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(192, 224, 224)	(192, 224, 224)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	RAS	RAS	int16	int16	2119594.0
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3689120.943223834
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(208, 300, 320)	(208, 300, 320)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	(0.7999999523162842, 0.800000011920929, 0.800000011920929)	RAS	RAS	int16	int16	3637103.788753152
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	OK	1	InstitutionalDepartmentName	True			True	(192, 224, 224)	(192, 224, 224)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	RAS	RAS	int16	int16	2334831.0
