DICOM tag,Keyword,Action,Reason,Scientific relevance
"(0010,0010)",PatientName,Pseudonymized,Replace scanner identity with mapped study code,Prevents direct nominal identification while retaining a stable study key
"(0010,0020)",PatientID,Pseudonymized,Replace scanner identity with mapped study code,Aligns DICOM identity with approved participant mapping
"(0010,0030)",PatientBirthDate,Cleared,Protected health information,Removes precise age/birth identifiers from headers
"(0010,1000)",OtherPatientIDs,Cleared,Protected health information,Removes secondary identity linkage fields
"(0010,1001)",OtherPatientNames,Cleared,Protected health information,Removes alternate name fields
"(0010,2160)",EthnicGroup,Cleared,Protected health information,Removes sensitive demographic free text from DICOM
"(0010,2180)",Occupation,Cleared,Protected health information,Removes potentially identifying occupational text
"(0010,21B0)",AdditionalPatientHistory,Cleared,Protected health information,Removes free-text clinical history from headers
"(0010,4000)",PatientComments,Cleared,Protected health information,Removes free-text comments that may contain identifiers
"(0008,0080)",InstitutionName,Cleared,Protected health information / site identity,Limits site-level identification via headers
"(0008,0081)",InstitutionAddress,Cleared,Protected health information / site identity,Removes geographic institutional identifiers
"(0008,0090)",ReferringPhysicianName,Cleared,Protected health information,Removes clinician identifiers
"(0008,0092)",ReferringPhysicianAddress,Cleared,Protected health information,Removes clinician contact information
"(0008,0094)",ReferringPhysicianTelephoneNumbers,Cleared,Protected health information,Removes clinician contact information
"(0008,1048)",PhysiciansOfRecord,Cleared,Protected health information,Removes clinician identifiers
"(0008,1050)",PerformingPhysicianName,Cleared,Protected health information,Removes clinician identifiers
"(0008,1060)",NameOfPhysiciansReadingStudy,Cleared,Protected health information,Removes clinician identifiers
"(0008,1070)",OperatorsName,Cleared,Protected health information,Removes operator identifiers
"(0008,1010)",StationName,Cleared,Protected health information / device identity,Reduces linkage via console/station names
"(0008,1030)",StudyDescription,Cleared,May contain protected health information,Removes free-text study labels that may identify participants or sites
"(0008,0050)",AccessionNumber,Cleared,Protected health information / clinical workflow ID,Breaks linkage to clinical accession systems
"(0018,1000)",DeviceSerialNumber,Cleared,Protected health information / device identity,Reduces hardware-based re-identification risk
"(0020,0010)",StudyID,Cleared,Protected health information / study identity,Removes local study identifiers
"(0032,1032)",RequestingPhysician,Cleared,Protected health information,Removes clinician identifiers
"(0032,1060)",RequestedProcedureDescription,Cleared,Protected health information,Removes free-text procedure descriptions
"(0040,0241)",PerformedStationAETitle,Cleared,Protected health information / site–device identity,Removes DICOM network identity strings
"(0040,0242)",PerformedStationName,Cleared,Protected health information / site–device identity,Removes station names
"(0040,0243)",PerformedLocation,Cleared,Protected health information,Removes location descriptors
"(0040,A075)",VerifyingObserverName,Cleared,Protected health information,Removes observer names
"(0040,A123)",PersonName,Cleared,Protected health information,Removes person-name fields
"(0020,4000)",ImageComments,Cleared,Protected health information,Removes free-text image comments
"(0032,4000)",StudyComments,Cleared,Protected health information,Removes free-text study comments
"(4008,010C)",IdentifyingComments,Cleared,Protected health information,Removes identifying comment fields
"(4008,0111)",UniformResourceLocator,Cleared,Protected health information / linkage risk,Removes URLs that may link to identifiable systems
"(0008,0020)",StudyDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects visit timing while supporting longitudinal analyses
"(0008,0021)",SeriesDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects timing metadata at series level
"(0008,0022)",AcquisitionDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects acquisition calendar dates
"(0008,0023)",ContentDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects content calendar dates
"(0008,0012)",InstanceCreationDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects instance creation dates
"(0040,0244)",PerformedProcedureStepStartDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects procedure-step dates
"(0040,0250)",PerformedProcedureStepEndDate,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects procedure-step dates
"(0008,002A)",AcquisitionDateTime,Date shifted,Remove absolute calendar dates; preserve relative intervals,Protects combined date–time stamps
"(0020,000D)",StudyInstanceUID,UID remapped,Prevent linkage via original study UIDs,Breaks external linkage while keeping within-study consistency
"(0020,000E)",SeriesInstanceUID,UID remapped,Prevent linkage via original series UIDs,Preserves series grouping under new identifiers
"(0008,0018)",SOPInstanceUID,UID remapped,Prevent linkage via original instance UIDs,Unique instance identity without original UID leakage
"(0002,0003)",MediaStorageSOPInstanceUID,UID remapped,Keep file-meta UID consistent with remapped SOPInstanceUID,Maintains valid DICOM file-meta linkage
"(0020,0052)",FrameOfReferenceUID,UID remapped,Prevent linkage via frame-of-reference UIDs,Supports co-registration relationships under remapped UIDs
"(0008,1155)",ReferencedSOPInstanceUID,UID remapped,Prevent linkage via referenced instance UIDs,Updates nested references consistently
"(0020,0200)",SynchronizationFrameOfReferenceUID,UID remapped,Prevent linkage via synchronization UIDs,Updates synchronization references when present
"(0020,0051)",RelatedFrameOfReferenceUID,UID remapped,Prevent linkage via related frame-of-reference UIDs,Updates related FoR references when present
"(0010,0040)",PatientSex,Preserved,Retained by default for demographic tables,Supports cohort description without names or birth dates
"(0008,0016)",SOPClassUID,Preserved,Standard class must remain for DICOM validity,Required for converters and standards-compliant reading
"(0008,0030)",StudyTime,Preserved,Clock times are not day-shifted,Preserves within-day acquisition order
"(0008,0031)",SeriesTime,Preserved,Clock times are not day-shifted,Preserves series order within a session
"(0008,0032)",AcquisitionTime,Preserved,Clock times are not day-shifted,Supports fine-grained temporal ordering
"(0008,0033)",ContentTime,Preserved,Clock times are not day-shifted,Supports content timing within a day
"(0040,0245)",PerformedProcedureStepStartTime,Preserved,Clock times are not day-shifted,Preserves procedure-step timing
"(0040,0251)",PerformedProcedureStepEndTime,Preserved,Clock times are not day-shifted,Preserves procedure-step timing
"(0008,103E)",SeriesDescription,Preserved,Required for modality/task labelling; not on PHI clear list,Enables BIDS entity assignment and protocol interpretation
"(0018,0080)",RepetitionTime,Preserved,Acquisition parameter retained by omission from clear lists,Essential for fMRI modelling and sequence description
"(0018,0081)",EchoTime,Preserved,Acquisition parameter retained by omission from clear lists,Essential for contrast and sequence description
"(0018,1314)",FlipAngle,Preserved,Acquisition parameter retained by omission from clear lists,Required for sequence methods reporting
"(0028,0030)",PixelSpacing,Preserved,Geometric parameter retained by omission from clear lists,Required for spatial normalization and analysis
"(0018,0050)",SliceThickness,Preserved,Geometric parameter retained by omission from clear lists,Required for volumetric geometry
"(7FE0,0010)",PixelData,Pixel data unchanged,Header-only de-identification; image matrix not altered,Preserves quantitative imaging content for analysis
