scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-001_ses-01_run-01_dwi	sub-001	ses-01	run-01	Protocol A	False	262593.0	5.0	1312965.0	0.180849173553719
sub-001_ses-01_run-02_dwi	sub-001	ses-01	run-02	Protocol A	False	1100316.0	5.0	5501580.0	0.7577933884297521
sub-001_ses-01_run-05_dwi	sub-001	ses-01	run-05	Protocol B	False	225658.0	3.440937599167228	776475.0967528784	0.27546142578125
sub-001_ses-02_run-01_dwi	sub-001	ses-02	run-01	Protocol A	False	277729.0	5.0	1388645.0	0.1912734159779614
sub-001_ses-02_run-02_dwi	sub-001	ses-02	run-02	Protocol A	False	469048.0	5.0	2345240.0	0.3230358126721763
sub-001_ses-02_run-05_dwi	sub-001	ses-02	run-05	Protocol B	False	177974.0	3.440937599167228	612397.4282741883	0.21725341796875
sub-002_ses-01_run-01_dwi	sub-002	ses-01	run-01	Protocol A	False	214182.0	5.0	1070910.0	0.1475082644628099
sub-002_ses-01_run-02_dwi	sub-002	ses-01	run-02	Protocol A	False	1218162.0	5.0	6090810.0	0.8389545454545455
sub-002_ses-01_run-05_dwi	sub-002	ses-01	run-05	Protocol B	False	187453.0	3.4409373737871642	645014.0335285253	0.228824462890625
sub-002_ses-02_run-01_dwi	sub-002	ses-02	run-01	Protocol A	False	213145.0	5.0	1065725.0	0.1467940771349862
sub-002_ses-02_run-02_dwi	sub-002	ses-02	run-02	Protocol A	False	1199761.0	5.0	5998805.0	0.8262816804407713
sub-002_ses-02_run-05_dwi	sub-002	ses-02	run-05	Protocol B	False	182738.0	3.440937599167228	628790.054996621	0.22306884765625
sub-003_ses-01_run-01_dwi	sub-003	ses-01	run-01	Protocol A	False	260682.0	5.0	1303410.0	0.1795330578512396
sub-003_ses-01_run-02_dwi	sub-003	ses-01	run-02	Protocol A	False	247803.0	5.0	1239015.0	0.1706632231404958
sub-003_ses-01_run-05_dwi	sub-003	ses-01	run-05	Protocol B	False	156914.0	3.4409373737871642	539931.247070439	0.19154541015625
sub-003_ses-02_run-01_dwi	sub-003	ses-02	run-01	Protocol A	False	259351.0	5.0	1296755.0	0.178616391184573
sub-003_ses-02_run-02_dwi	sub-003	ses-02	run-02	Protocol A	False	431952.0	5.0	2159760.0	0.2974876033057851
sub-003_ses-02_run-05_dwi	sub-003	ses-02	run-05	Protocol B	False	171589.0	3.4409373737871642	590427.0030307657	0.209459228515625
sub-004_ses-01_run-01_dwi	sub-004	ses-01	run-01	Protocol A	False	281543.0	5.0	1407715.0	0.1939001377410468
sub-004_ses-01_run-02_dwi	sub-004	ses-01	run-02	Protocol A	False	498451.0	5.0	2492255.0	0.3432858126721763
sub-004_ses-01_run-05_dwi	sub-004	ses-01	run-05	Protocol B	False	183082.0	3.440937599167228	629973.7375307345	0.22348876953125
sub-004_ses-02_run-01_dwi	sub-004	ses-02	run-01	Protocol A	False	273875.0	5.0	1369375.0	0.1886191460055096
sub-004_ses-02_run-02_dwi	sub-004	ses-02	run-02	Protocol A	False	214368.0	5.0	1071840.0	0.1476363636363636
sub-004_ses-02_run-05_dwi	sub-004	ses-02	run-05	Protocol B	False	181742.0	3.440937599167228	625362.8811478504	0.22185302734375
sub-005_ses-01_run-01_dwi	sub-005	ses-01	run-01	Protocol A	False	259696.0	5.0	1298480.0	0.1788539944903581
sub-005_ses-01_run-02_dwi	sub-005	ses-01	run-02	Protocol A	False	425526.0	5.0	2127630.0	0.2930619834710743
sub-005_ses-01_run-05_dwi	sub-005	ses-01	run-05	Protocol B	False	172856.0	3.440937599167228	594786.7096416504	0.211005859375
sub-005_ses-02_run-01_dwi	sub-005	ses-02	run-01	Protocol A	False	264387.0	5.0	1321935.0	0.1820847107438016
sub-005_ses-02_run-02_dwi	sub-005	ses-02	run-02	Protocol A	False	1173841.0	5.0	5869205.0	0.8084304407713498
sub-005_ses-02_run-05_dwi	sub-005	ses-02	run-05	Protocol B	False	169138.0	3.4409373737871642	581993.2655276133	0.20646728515625
sub-006_ses-01_run-01_dwi	sub-006	ses-01	run-01	Protocol A	False	221807.0	5.0	1109035.0	0.1527596418732782
sub-006_ses-01_run-02_dwi	sub-006	ses-01	run-02	Protocol A	False	1170015.0	5.0	5850075.0	0.8057954545454545
sub-006_ses-01_run-05_dwi	sub-006	ses-01	run-05	Protocol B	False	202552.0	3.440937599167228	696968.7925865204	0.247255859375
sub-006_ses-02_run-01_dwi	sub-006	ses-02	run-01	Protocol A	False	230300.0	5.0	1151500.0	0.1586088154269972
sub-006_ses-02_run-02_dwi	sub-006	ses-02	run-02	Protocol A	False	1139200.0	5.0	5696000.0	0.7845730027548209
sub-006_ses-02_run-05_dwi	sub-006	ses-02	run-05	Protocol B	False	200147.0	3.440937599167228	688693.3376605232	0.244320068359375
sub-007_ses-01_run-01_dwi	sub-007	ses-01	run-01	Protocol A	False	252518.0	5.0	1262590.0	0.1739104683195592
sub-007_ses-01_run-02_dwi	sub-007	ses-01	run-02	Protocol A	False	463858.0	5.0	2319290.0	0.3194614325068871
sub-007_ses-01_run-05_dwi	sub-007	ses-01	run-05	Protocol B	False	154615.0	3.440937599167228	532020.566895241	0.188739013671875
sub-007_ses-02_run-01_dwi	sub-007	ses-02	run-01	Protocol A	False	260540.0	5.0	1302700.0	0.1794352617079889
sub-007_ses-02_run-02_dwi	sub-007	ses-02	run-02	Protocol A	False	1148383.0	5.0	5741915.0	0.7908973829201102
sub-007_ses-02_run-05_dwi	sub-007	ses-02	run-05	Protocol B	False	216648.0	3.4409373737871642	745472.2001562415	0.264462890625
sub-008_ses-01_run-01_dwi	sub-008	ses-01	run-01	Protocol A	False	267681.0	5.0	1338405.0	0.1843533057851239
sub-008_ses-01_run-02_dwi	sub-008	ses-01	run-02	Protocol A	False	608448.0	5.0	3042240.0	0.4190413223140496
sub-008_ses-01_run-05_dwi	sub-008	ses-01	run-05	Protocol B	False	208712.0	3.440937599167228	718164.9681973906	0.254775390625
sub-008_ses-02_run-03_dwi	sub-008	ses-02	run-03	Protocol B	False	228516.0	3.4409373737871642	786309.2449083476	0.2789501953125
