scan_id	subject	session	run	protocol_id	status	review_class	mean_length	axis_flipped	axis_permutations	axis_basis
sub-001_ses-01_run-01_dwi	sub-001	ses-01	run-01	Protocol A	PASS	none	40.37	none	(0,1,2)	scanner
sub-001_ses-01_run-02_dwi	sub-001	ses-01	run-02	Protocol A	REVIEW	axis_swap	27.25	none	(1,2,0)	image
sub-001_ses-01_run-05_dwi	sub-001	ses-01	run-05	Protocol B	PASS	none	37.97	none	(0,1,2)	image
sub-001_ses-02_run-01_dwi	sub-001	ses-02	run-01	Protocol A	PASS	none	38.75	none	(0,1,2)	image
sub-001_ses-02_run-02_dwi	sub-001	ses-02	run-02	Protocol A	REVIEW	axis_swap	47.97	0	(0,2,1)	image
sub-001_ses-02_run-05_dwi	sub-001	ses-02	run-05	Protocol B	PASS	none	48.06	none	(0,1,2)	image
sub-002_ses-01_run-01_dwi	sub-002	ses-01	run-01	Protocol A	PASS	none	45.26	none	(0,1,2)	image
sub-002_ses-01_run-02_dwi	sub-002	ses-01	run-02	Protocol A	PASS	none	18.91	0	(0,1,2)	image
sub-002_ses-01_run-05_dwi	sub-002	ses-01	run-05	Protocol B	PASS	none	46.25	none	(0,1,2)	scanner
sub-002_ses-02_run-01_dwi	sub-002	ses-02	run-01	Protocol A	PASS	none	42.16	none	(0,1,2)	image
sub-002_ses-02_run-02_dwi	sub-002	ses-02	run-02	Protocol A	REVIEW	axis_swap	18.14	none	(1,0,2)	image
sub-002_ses-02_run-05_dwi	sub-002	ses-02	run-05	Protocol B	PASS	none	36.44	none	(0,1,2)	image
sub-003_ses-01_run-01_dwi	sub-003	ses-01	run-01	Protocol A	PASS	none	43.66	none	(0,1,2)	image
sub-003_ses-01_run-02_dwi	sub-003	ses-01	run-02	Protocol A	REVIEW	axis_swap	68.56	0	(2,0,1)	image
sub-003_ses-01_run-05_dwi	sub-003	ses-01	run-05	Protocol B	PASS	none	42.96	none	(0,1,2)	scanner
sub-003_ses-02_run-01_dwi	sub-003	ses-02	run-01	Protocol A	PASS	none	34.49	none	(0,1,2)	scanner
sub-003_ses-02_run-02_dwi	sub-003	ses-02	run-02	Protocol A	REVIEW	axis_swap	48.21	0	(1,0,2)	image
sub-003_ses-02_run-05_dwi	sub-003	ses-02	run-05	Protocol B	PASS	none	44.55	none	(0,1,2)	image
sub-004_ses-01_run-01_dwi	sub-004	ses-01	run-01	Protocol A	PASS	none	37.92	none	(0,1,2)	scanner
sub-004_ses-01_run-02_dwi	sub-004	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	62.55	1	(0,2,1)	image
sub-004_ses-01_run-05_dwi	sub-004	ses-01	run-05	Protocol B	PASS	none	38.51	none	(0,1,2)	scanner
sub-004_ses-02_run-01_dwi	sub-004	ses-02	run-01	Protocol A	PASS	none	44.03	none	(0,1,2)	scanner
sub-004_ses-02_run-02_dwi	sub-004	ses-02	run-02	Protocol A	REVIEW	axis_swap	65.81	none	(1,2,0)	image
sub-004_ses-02_run-05_dwi	sub-004	ses-02	run-05	Protocol B	PASS	none	42.08	none	(0,1,2)	scanner
sub-005_ses-01_run-01_dwi	sub-005	ses-01	run-01	Protocol A	PASS	none	44.79	none	(0,1,2)	scanner
sub-005_ses-01_run-02_dwi	sub-005	ses-01	run-02	Protocol A	REVIEW	axis_swap	75.06	none	(1,2,0)	scanner
