subject	session	mask_voxels	brain_fraction
sub-001	ses-01	262593.0	0.180849173553719
sub-001	ses-01	1100316.0	0.7577933884297521
sub-001	ses-01	225658.0	0.27546142578125
sub-001	ses-02	277729.0	0.1912734159779614
sub-001	ses-02	469048.0	0.3230358126721763
sub-001	ses-02	177974.0	0.21725341796875
sub-002	ses-01	214182.0	0.1475082644628099
sub-002	ses-01	1218162.0	0.8389545454545455
sub-002	ses-01	187453.0	0.228824462890625
sub-002	ses-02	213145.0	0.1467940771349862
sub-002	ses-02	1199761.0	0.8262816804407713
sub-002	ses-02	182738.0	0.22306884765625
sub-003	ses-01	260682.0	0.1795330578512396
sub-003	ses-01	247803.0	0.1706632231404958
sub-003	ses-01	156914.0	0.19154541015625
sub-003	ses-02	259351.0	0.178616391184573
sub-003	ses-02	431952.0	0.2974876033057851
sub-003	ses-02	171589.0	0.209459228515625
sub-004	ses-01	281543.0	0.1939001377410468
sub-004	ses-01	498451.0	0.3432858126721763
sub-004	ses-01	183082.0	0.22348876953125
sub-004	ses-02	273875.0	0.1886191460055096
sub-004	ses-02	214368.0	0.1476363636363636
sub-004	ses-02	181742.0	0.22185302734375
sub-005	ses-01	259696.0	0.1788539944903581
sub-005	ses-01	425526.0	0.2930619834710743
sub-005	ses-01	172856.0	0.211005859375
sub-005	ses-02	264387.0	0.1820847107438016
sub-005	ses-02	1173841.0	0.8084304407713498
sub-005	ses-02	169138.0	0.20646728515625
sub-006	ses-01	221807.0	0.1527596418732782
sub-006	ses-01	1170015.0	0.8057954545454545
sub-006	ses-01	202552.0	0.247255859375
sub-006	ses-02	230300.0	0.1586088154269972
sub-006	ses-02	1139200.0	0.7845730027548209
sub-006	ses-02	200147.0	0.244320068359375
sub-007	ses-01	252518.0	0.1739104683195592
sub-007	ses-01	463858.0	0.3194614325068871
sub-007	ses-01	154615.0	0.188739013671875
sub-007	ses-02	260540.0	0.1794352617079889
sub-007	ses-02	1148383.0	0.7908973829201102
sub-007	ses-02	216648.0	0.264462890625
sub-008	ses-01	267681.0	0.1843533057851239
sub-008	ses-01	608448.0	0.4190413223140496
sub-008	ses-01	208712.0	0.254775390625
sub-008	ses-02	228516.0	0.2789501953125
sub-009	ses-01	254588.0	0.1753360881542699
sub-009	ses-01	422324.0	0.2908567493112948
sub-009	ses-01	202836.0	0.2476025390625
sub-009	ses-02	252426.0	0.1738471074380165
sub-009	ses-02	1224561.0	0.8433615702479339
sub-009	ses-02	194259.0	0.237132568359375
sub-010	ses-01	265466.0	0.18282782369146
sub-010	ses-01	291483.0	0.200745867768595
sub-010	ses-01	198738.0	0.24260009765625
sub-011	ses-01	297652.0	0.2049944903581267
sub-011	ses-01	520097.0	0.3581935261707989
sub-011	ses-01	165302.0	0.20178466796875
sub-011	ses-02	289010.0	0.1990426997245179
