subject	session	status	output
sub-001	ses-01	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
40.37         none                (0, 1, 2)           scanner
31.11            1                (0, 1, 2)           image
30.59         none                (0, 1, 2)           image
30.40            1                (0, 1, 2)           scanner
28.06         none                (0, 2, 1)           image
26.88            0                (0, 2, 1)           scanner
26.35         none                (0, 2, 1)           scanner
26.21            2                (0, 1, 2)           scanner
25.76            1                (2, 1, 0)           image
25.68         none                (1, 0, 2)           scanner
25.39         none                (1, 0, 2)           image
24.84            2                (1, 0, 2)           image
24.62            2                (0, 1, 2)           image
24.44            0                (0, 1, 2)           image
24.27            2                (0, 2, 1)           image
24.01            2                (1, 0, 2)           scanner
23.90            2                (0, 2, 1)           scanner
23.51            0                (2, 1, 0)           image
23.39            0                (2, 0, 1)           scanner
23.12            2                (2, 1, 0)           scanner
23.10         none                (2, 1, 0)           image
22.79            0                (2, 0, 1)           image
22.60            0                (0, 2, 1)           image
22.43            1                (0, 2, 1)           image
21.72         none                (2, 1, 0)           scanner
21.70         none                (1, 2, 0)           scanner
21.63            2                (2, 0, 1)           scanner
21.31            0                (1, 0, 2)           image
21.23            1                (2, 1, 0)           scanner
21.21            1                (2, 0, 1)           scanner
21.20            2                (2, 1, 0)           image
21.19            2                (1, 2, 0)           image
20.95            0                (0, 1, 2)           scanner
20.85            1                (2, 0, 1)           image
20.64         none                (2, 0, 1)           image
20.59         none                (2, 0, 1)           scanner
20.59            0                (1, 2, 0)           scanner
20.29            2                (2, 0, 1)           image
20.24            0                (2, 1, 0)           scanner
20.13            1                (1, 0, 2)           scanner
20.12         none                (1, 2, 0)           image
20.08            0                (1, 0, 2)           scanner
19.49            1                (1, 2, 0)           scanner
18.96            1                (0, 2, 1)           scanner
18.92            0                (1, 2, 0)           image
18.65            1                (1, 0, 2)           image
18.58            1                (1, 2, 0)           image
18.42            2                (1, 2, 0)           scanner"
sub-001	ses-01	REVIEW	"Mean length     Axis flipped    Axis permutations    Axis basis
27.25         none                (1, 2, 0)           image
25.15         none                (0, 2, 1)           scanner
24.33            1                (2, 0, 1)           scanner
24.19            0                (1, 2, 0)           image
22.30            0                (1, 2, 0)           scanner
22.19            0                (0, 2, 1)           scanner
21.58            2                (2, 1, 0)           image
21.10            1                (1, 2, 0)           image
20.78            0                (0, 1, 2)           scanner
20.73            0                (1, 0, 2)           scanner
20.44            2                (0, 1, 2)           scanner
20.31         none                (0, 1, 2)           scanner
20.24            0                (2, 0, 1)           scanner
19.77            0                (0, 1, 2)           image
19.30            1                (1, 0, 2)           scanner
19.17         none                (1, 2, 0)           scanner
18.34         none                (0, 2, 1)           image
18.32            0                (1, 0, 2)           image
18.17            2                (0, 1, 2)           image
18.17         none                (2, 1, 0)           image
17.92            2                (1, 2, 0)           scanner
17.90         none                (2, 0, 1)           scanner
17.19            2                (0, 2, 1)           scanner
17.04            2                (1, 2, 0)           image
17.04            2                (2, 0, 1)           image
16.78            2                (2, 0, 1)           scanner
16.62            0                (2, 1, 0)           scanner
16.44            1                (2, 0, 1)           image
16.44         none                (0, 1, 2)           image
16.26         none                (2, 1, 0)           scanner
16.11            0                (2, 1, 0)           image
16.01            1                (2, 1, 0)           image
15.84            1                (2, 1, 0)           scanner
15.44            1                (0, 1, 2)           scanner
15.39         none                (1, 0, 2)           image
15.15            1                (1, 2, 0)           scanner
15.08            0                (0, 2, 1)           image
14.67         none                (1, 0, 2)           scanner
14.44            1                (0, 2, 1)           image
14.14         none                (2, 0, 1)           image
14.07            1                (0, 2, 1)           scanner
13.83            1                (0, 1, 2)           image
13.72            2                (2, 1, 0)           scanner
13.71            2                (0, 2, 1)           image
13.66            2                (1, 0, 2)           image
12.95            2                (1, 0, 2)           scanner
12.76            0                (2, 0, 1)           image
12.30            1                (1, 0, 2)           image"
sub-001	ses-01	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
37.97         none                (0, 1, 2)           image
37.81            2                (1, 0, 2)           image
35.98            1                (1, 0, 2)           image
35.42         none                (0, 1, 2)           scanner
33.89            1                (0, 1, 2)           scanner
33.66         none                (2, 1, 0)           image
32.44            0                (0, 1, 2)           scanner
31.97         none                (2, 1, 0)           scanner
31.61            0                (1, 0, 2)           image
31.33            1                (2, 1, 0)           image
30.15            1                (2, 1, 0)           scanner
30.09            0                (0, 1, 2)           image
30.02         none                (1, 0, 2)           scanner
29.60            0                (2, 1, 0)           image
29.10            2                (0, 1, 2)           image
29.04            2                (1, 2, 0)           scanner
28.58         none                (0, 2, 1)           image
27.95            0                (1, 0, 2)           scanner
27.38            0                (2, 0, 1)           scanner
27.27            1                (2, 0, 1)           image
26.60            1                (0, 1, 2)           image
26.59            2                (1, 0, 2)           scanner
26.56            0                (0, 2, 1)           scanner
26.56         none                (0, 2, 1)           scanner
26.49         none                (2, 0, 1)           scanner
26.28            2                (0, 2, 1)           image
26.15            2                (0, 1, 2)           scanner
25.63            1                (0, 2, 1)           scanner
25.55            1                (0, 2, 1)           image
25.54         none                (1, 0, 2)           image
25.12            2                (2, 0, 1)           image
25.07            1                (1, 0, 2)           scanner
25.05            1                (1, 2, 0)           scanner
25.02            0                (0, 2, 1)           image
24.99            1                (1, 2, 0)           image
24.97            2                (2, 0, 1)           scanner
24.94         none                (2, 0, 1)           image
24.37            1                (2, 0, 1)           scanner
24.26            2                (0, 2, 1)           scanner
24.23            2                (2, 1, 0)           scanner
23.67            0                (2, 0, 1)           image
23.63         none                (1, 2, 0)           scanner
23.33            2                (1, 2, 0)           image
22.59            0                (1, 2, 0)           image
21.95            2                (2, 1, 0)           image
21.62            0                (1, 2, 0)           scanner
21.06            0                (2, 1, 0)           scanner
19.38         none                (1, 2, 0)           image"
sub-001	ses-02	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
38.75         none                (0, 1, 2)           image
33.87         none                (0, 1, 2)           scanner
31.07            1                (0, 1, 2)           scanner
30.05            2                (1, 0, 2)           scanner
29.44         none                (1, 0, 2)           image
29.37            1                (0, 1, 2)           image
27.37            2                (0, 1, 2)           scanner
27.33            0                (0, 2, 1)           scanner
26.48         none                (1, 0, 2)           scanner
26.22         none                (2, 1, 0)           scanner
25.83            1                (2, 1, 0)           scanner
25.42            0                (0, 2, 1)           image
25.37         none                (2, 1, 0)           image
25.36            2                (0, 1, 2)           image
25.23            0                (1, 0, 2)           scanner
25.10            2                (1, 0, 2)           image
24.87            1                (2, 0, 1)           scanner
24.49            2                (2, 1, 0)           image
24.14            1                (2, 1, 0)           image
23.93            0                (0, 1, 2)           scanner
23.71            1                (0, 2, 1)           scanner
23.61            1                (0, 2, 1)           image
23.43         none                (0, 2, 1)           scanner
23.35         none                (0, 2, 1)           image
22.94            2                (0, 2, 1)           scanner
22.91            2                (0, 2, 1)           image
22.78            0                (1, 0, 2)           image
22.69            1                (2, 0, 1)           image
21.56            0                (2, 1, 0)           image
21.51         none                (2, 0, 1)           image
21.07         none                (1, 2, 0)           image
21.06            2                (2, 0, 1)           image
20.83            0                (2, 0, 1)           scanner
20.42         none                (1, 2, 0)           scanner
20.35            1                (1, 2, 0)           image
20.23            1                (1, 0, 2)           image
20.13            0                (2, 1, 0)           scanner
19.88         none                (2, 0, 1)           scanner
19.76            0                (2, 0, 1)           image
18.69            2                (2, 1, 0)           scanner
18.36            0                (0, 1, 2)           image
17.80            1                (1, 0, 2)           scanner
17.70            1                (1, 2, 0)           scanner
17.64            0                (1, 2, 0)           scanner
17.59            0                (1, 2, 0)           image
17.48            2                (1, 2, 0)           scanner
17.46            2                (2, 0, 1)           scanner
16.27            2                (1, 2, 0)           image"
sub-001	ses-02	REVIEW	"Mean length     Axis flipped    Axis permutations    Axis basis
47.97            0                (0, 2, 1)           image
46.47            2                (1, 2, 0)           image
44.02         none                (0, 1, 2)           scanner
43.31            2                (1, 0, 2)           image
42.97            2                (2, 1, 0)           scanner
42.22            1                (1, 2, 0)           image
42.11            2                (1, 0, 2)           scanner
41.90            0                (1, 2, 0)           scanner
41.01            0                (2, 1, 0)           scanner
40.47         none                (0, 1, 2)           image
40.22         none                (1, 2, 0)           scanner
40.13         none                (1, 0, 2)           image
39.67            1                (0, 2, 1)           image
39.57         none                (2, 0, 1)           scanner
39.25            0                (1, 2, 0)           image
39.18            2                (2, 1, 0)           image
39.12            0                (0, 1, 2)           scanner
38.93            1                (0, 1, 2)           image
38.83         none                (0, 2, 1)           scanner
38.47            0                (0, 1, 2)           image
38.41            1                (1, 2, 0)           scanner
38.17            2                (1, 2, 0)           scanner
37.83            1                (1, 0, 2)           scanner
37.63            1                (1, 0, 2)           image
36.92         none                (2, 0, 1)           image
36.82            0                (2, 0, 1)           scanner
36.68            2                (0, 1, 2)           scanner
36.50            0                (1, 0, 2)           scanner
36.46            2                (0, 2, 1)           image
36.33            1                (2, 1, 0)           scanner
36.08            1                (0, 2, 1)           scanner
36.07            0                (2, 0, 1)           image
36.03         none                (2, 1, 0)           image
36.01            0                (2, 1, 0)           image
35.63            2                (0, 1, 2)           image
35.58            2                (0, 2, 1)           scanner
35.51            0                (0, 2, 1)           scanner
35.32         none                (1, 0, 2)           scanner
34.64            0                (1, 0, 2)           image
34.46         none                (2, 1, 0)           scanner
34.35            2                (2, 0, 1)           image
34.13            1                (2, 0, 1)           image
33.30         none                (1, 2, 0)           image
33.00            1                (2, 0, 1)           scanner
32.16            1                (0, 1, 2)           scanner
30.36            2                (2, 0, 1)           scanner
29.71         none                (0, 2, 1)           image
27.80            1                (2, 1, 0)           image"
sub-001	ses-02	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
48.06         none                (0, 1, 2)           image
46.07         none                (0, 1, 2)           scanner
32.06            2                (1, 0, 2)           image
31.43            0                (1, 0, 2)           image
31.37            2                (0, 1, 2)           image
31.06            1                (2, 1, 0)           scanner
30.52            2                (1, 0, 2)           scanner
30.28            0                (1, 2, 0)           image
29.80            1                (1, 0, 2)           image
29.76            1                (1, 0, 2)           scanner
29.39            2                (0, 1, 2)           scanner
29.14            2                (2, 1, 0)           scanner
28.62         none                (0, 2, 1)           image
28.50            1                (2, 1, 0)           image
28.08            0                (2, 1, 0)           image
27.93         none                (1, 0, 2)           scanner
27.69            0                (0, 1, 2)           image
27.44            0                (1, 0, 2)           scanner
27.24         none                (1, 2, 0)           image
27.02            1                (2, 0, 1)           scanner
26.90            2                (2, 1, 0)           image
26.78            0                (2, 0, 1)           scanner
26.68            1                (0, 1, 2)           scanner
26.45            1                (0, 2, 1)           image
26.37            0                (0, 2, 1)           scanner
26.24            1                (1, 2, 0)           image
26.21         none                (2, 1, 0)           image
26.11            1                (0, 1, 2)           image
25.81            2                (0, 2, 1)           image
25.80         none                (2, 1, 0)           scanner
25.80            2                (1, 2, 0)           scanner
25.70            1                (1, 2, 0)           scanner
25.64            2                (1, 2, 0)           image
25.51            0                (1, 2, 0)           scanner
25.51            0                (0, 2, 1)           image
25.44         none                (1, 0, 2)           image
25.21            1                (0, 2, 1)           scanner
24.80         none                (2, 0, 1)           scanner
24.50         none                (0, 2, 1)           scanner
24.38            0                (0, 1, 2)           scanner
24.24            1                (2, 0, 1)           image
23.92            0                (2, 0, 1)           image
23.45         none                (1, 2, 0)           scanner
23.18            2                (0, 2, 1)           scanner
23.03            0                (2, 1, 0)           scanner
22.59            2                (2, 0, 1)           scanner
22.46         none                (2, 0, 1)           image
20.97            2                (2, 0, 1)           image"
sub-002	ses-01	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
45.26         none                (0, 1, 2)           image
43.86         none                (0, 1, 2)           scanner
34.24            1                (0, 1, 2)           image
30.76            2                (1, 0, 2)           image
27.90            0                (0, 1, 2)           image
27.89            1                (0, 2, 1)           image
27.73            2                (0, 2, 1)           image
27.56         none                (0, 2, 1)           image
27.30            2                (0, 1, 2)           image
27.17         none                (0, 2, 1)           scanner
26.34            0                (0, 2, 1)           scanner
26.18            1                (1, 0, 2)           scanner
26.00            2                (1, 0, 2)           scanner
25.67            0                (0, 1, 2)           scanner
25.59            1                (1, 2, 0)           image
25.47            2                (0, 1, 2)           scanner
25.43            1                (0, 1, 2)           scanner
25.23            0                (1, 2, 0)           image
25.13            0                (0, 2, 1)           image
24.71            0                (2, 1, 0)           image
24.71         none                (1, 2, 0)           image
24.56            1                (1, 2, 0)           scanner
24.56         none                (2, 1, 0)           scanner
24.51         none                (1, 0, 2)           image
23.87            1                (1, 0, 2)           image
23.41            1                (0, 2, 1)           scanner
23.18         none                (1, 0, 2)           scanner
23.01         none                (2, 1, 0)           image
22.86            2                (0, 2, 1)           scanner
22.79            0                (2, 0, 1)           scanner
22.48            1                (2, 0, 1)           image
22.32         none                (2, 0, 1)           image
22.21            0                (2, 1, 0)           scanner
22.11            1                (2, 1, 0)           scanner
21.23         none                (2, 0, 1)           scanner
20.59            0                (2, 0, 1)           image
20.52            2                (1, 2, 0)           image
20.39            1                (2, 1, 0)           image
20.06            2                (2, 0, 1)           scanner
19.98            2                (2, 0, 1)           image
19.86            2                (2, 1, 0)           image
19.66         none                (1, 2, 0)           scanner
19.41            0                (1, 0, 2)           scanner
19.29            0                (1, 2, 0)           scanner
18.95            2                (1, 2, 0)           scanner
18.78            2                (2, 1, 0)           scanner
17.86            1                (2, 0, 1)           scanner
14.73            0                (1, 0, 2)           image"
sub-002	ses-01	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
18.91            0                (0, 1, 2)           image
17.99            2                (2, 0, 1)           image
17.25            2                (0, 1, 2)           image
16.41            2                (0, 2, 1)           image
15.65            0                (2, 0, 1)           image
15.49            0                (0, 2, 1)           image
15.44            1                (2, 1, 0)           image
15.25            1                (0, 1, 2)           image
15.14            0                (2, 1, 0)           scanner
15.05            2                (1, 0, 2)           image
14.81         none                (0, 2, 1)           image
14.24            2                (2, 1, 0)           scanner
14.10            0                (1, 0, 2)           scanner
14.01            1                (2, 0, 1)           scanner
13.93            2                (1, 2, 0)           image
13.82            1                (2, 1, 0)           scanner
13.75            2                (2, 1, 0)           image
13.71         none                (2, 1, 0)           scanner
13.55         none                (1, 2, 0)           scanner
13.50            0                (0, 1, 2)           scanner
13.43            0                (0, 2, 1)           scanner
13.40            2                (0, 2, 1)           scanner
13.24         none                (0, 1, 2)           scanner
13.24         none                (0, 1, 2)           image
12.98            0                (1, 2, 0)           image
12.82            1                (1, 0, 2)           image
12.82            1                (1, 2, 0)           scanner
12.76            2                (1, 2, 0)           scanner
12.61            0                (2, 1, 0)           image
12.58         none                (0, 2, 1)           scanner
12.31            1                (0, 2, 1)           image
12.20            0                (1, 0, 2)           image
12.20            0                (2, 0, 1)           scanner
12.04            2                (2, 0, 1)           scanner
12.02         none                (2, 0, 1)           image
11.81            1                (1, 2, 0)           image
11.80         none                (1, 0, 2)           image
11.78         none                (1, 2, 0)           image
11.66            1                (0, 2, 1)           scanner
11.41         none                (2, 1, 0)           image
11.32            1                (1, 0, 2)           scanner
11.23            0                (1, 2, 0)           scanner
11.22            2                (0, 1, 2)           scanner
10.77            1                (0, 1, 2)           scanner
10.24            2                (1, 0, 2)           scanner
 9.91            1                (2, 0, 1)           image
 9.67         none                (2, 0, 1)           scanner
 9.52         none                (1, 0, 2)           scanner"
sub-002	ses-01	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
46.25         none                (0, 1, 2)           scanner
37.85         none                (0, 1, 2)           image
30.05            1                (2, 1, 0)           image
29.90            2                (0, 1, 2)           image
29.80            0                (1, 2, 0)           image
29.15            0                (0, 2, 1)           scanner
28.81         none                (1, 0, 2)           image
27.44            2                (0, 1, 2)           scanner
27.24            2                (1, 0, 2)           image
27.16         none                (2, 1, 0)           image
27.00         none                (2, 1, 0)           scanner
26.87            0                (0, 2, 1)           image
26.58            1                (0, 2, 1)           scanner
26.48         none                (1, 0, 2)           scanner
26.36            1                (0, 1, 2)           scanner
25.96            0                (1, 0, 2)           scanner
25.69            0                (0, 1, 2)           scanner
25.30            1                (0, 1, 2)           image
25.14            2                (1, 0, 2)           scanner
24.98            1                (0, 2, 1)           image
24.76            0                (2, 1, 0)           image
24.64            2                (2, 0, 1)           image
24.20            1                (2, 1, 0)           scanner
23.97            2                (0, 2, 1)           scanner
23.48            2                (0, 2, 1)           image
23.40         none                (1, 2, 0)           image
23.18            1                (1, 2, 0)           image
23.15            0                (0, 1, 2)           image
22.65         none                (0, 2, 1)           image
22.52            2                (1, 2, 0)           image
22.51            2                (2, 1, 0)           scanner
22.36            0                (2, 0, 1)           scanner
22.14            0                (1, 2, 0)           scanner
21.94            1                (1, 2, 0)           scanner
21.94            0                (2, 0, 1)           image
21.92            1                (1, 0, 2)           scanner
21.88            1                (1, 0, 2)           image
21.74         none                (2, 0, 1)           image
21.41         none                (0, 2, 1)           scanner
21.34            2                (2, 1, 0)           image
21.31            0                (2, 1, 0)           scanner
21.30            1                (2, 0, 1)           image
21.29            1                (2, 0, 1)           scanner
20.70            0                (1, 0, 2)           image
20.61         none                (1, 2, 0)           scanner
20.03            2                (1, 2, 0)           scanner
18.98         none                (2, 0, 1)           scanner
16.00            2                (2, 0, 1)           scanner"
sub-002	ses-02	PASS	"Mean length     Axis flipped    Axis permutations    Axis basis
42.16         none                (0, 1, 2)           image
39.08         none                (0, 1, 2)           scanner
33.44            1                (0, 1, 2)           image
31.95            1                (2, 1, 0)           image
30.98            0                (0, 2, 1)           image
30.85            1                (0, 1, 2)           scanner
30.27         none                (1, 0, 2)           scanner
30.13            2                (0, 1, 2)           scanner
29.78            2                (0, 1, 2)           image
29.03            0                (1, 2, 0)           image
26.29            1                (0, 2, 1)           scanner
26.16            1                (0, 2, 1)           image
26.05            2                (1, 0, 2)           scanner
26.01         none                (2, 1, 0)           image
25.73         none                (2, 1, 0)           scanner
25.39            0                (1, 0, 2)           scanner
25.18            2                (0, 2, 1)           image
24.79            0                (0, 2, 1)           scanner
24.01            2                (1, 0, 2)           image
23.97            1                (1, 0, 2)           image
23.80         none                (2, 0, 1)           image
23.30         none                (2, 0, 1)           scanner
22.81         none                (0, 2, 1)           scanner
22.41         none                (0, 2, 1)           image
22.38            0                (0, 1, 2)           scanner
22.23            1                (2, 1, 0)           scanner
22.15            2                (1, 2, 0)           scanner
21.73            1                (1, 0, 2)           scanner
21.64            2                (0, 2, 1)           scanner
21.45         none                (1, 2, 0)           image
21.27         none                (1, 0, 2)           image
20.83            0                (2, 0, 1)           scanner
20.54            2                (2, 1, 0)           image
20.26            0                (0, 1, 2)           image
20.03            1                (2, 0, 1)           scanner
19.89            2                (1, 2, 0)           image
19.70            2                (2, 0, 1)           scanner
19.37            0                (2, 1, 0)           scanner
19.17            0                (1, 2, 0)           scanner
19.10            0                (1, 0, 2)           image
19.07            1                (1, 2, 0)           scanner
18.84            2                (2, 0, 1)           image
18.41            1                (2, 0, 1)           image
18.23            2                (2, 1, 0)           scanner
18.22            1                (1, 2, 0)           image
17.59            0                (2, 0, 1)           image
17.41         none                (1, 2, 0)           scanner
16.94            0                (2, 1, 0)           image"
