subject	session	run	nifti	reported_mean_b0	reported_brain_fraction	recomputed_brain_fraction	mask_voxels	inside_min	inside_max	inside_median	inside_p95	outside_min	outside_max	outside_median	outside_p95	data_global_min	data_global_max	classification	recommended_action	figure	error
sub-001	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-02_dwi.nii.gz	-96.2734375	0.7577933884297521	0.757793	1100316	-3991.300048828125	4005.0	-51.0	3395.5	-3923.5	3876.199951171875	-1669.5	325.5	-3991.300048828125	4005.0	signed_reconstruction_with_overinclusive_mask	Document as signed DWI intensities; do not exclude. Optional: use abs() for display-only QC.		
sub-002	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-02_dwi.nii.gz	-374.2914123535156	0.8262816804407713	0.499987	725981	-319.70001220703125	3989.10009765625	286.1000061035156	1637.300048828125	-4006.199951171875	-319.79998779296875	-1368.0	-386.1000061035156	-4006.199951171875	3989.10009765625	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-005	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-02_dwi.nii.gz	-120.8639144897461	0.8084304407713498	0.500000	726000	-264.0	4011.0	378.20001220703125	3486.300048828125	-4026.199951171875	-264.1000061035156	-1338.5	-332.70001220703125	-4026.199951171875	4011.0	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-006	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-02_dwi.nii.gz	-293.4289855957031	0.8057954545454545	0.499994	725992	-340.5	3951.0	369.0	2340.39990234375	-3985.10009765625	-340.6000061035156	-1529.4000244140625	-415.70001220703125	-3985.10009765625	3951.0	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-006	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-02_dwi.nii.gz	-368.2905578613281	0.7845730027548209	0.500000	726000	-400.70001220703125	3969.89990234375	260.79998779296875	2974.699951171875	-3976.800048828125	-400.79998779296875	-1590.4000244140625	-476.0	-3976.800048828125	3969.89990234375	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-011	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-02_dwi.nii.gz	-413.6161193847656	0.814013085399449	0.499973	725961	-389.8999938964844	3987.10009765625	263.70001220703125	2361.199951171875	-4005.89990234375	-390.0	-1650.4000244140625	-464.29998779296875	-4005.89990234375	3987.10009765625	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-012	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-02_dwi.nii.gz	-368.30126953125	0.8447472451790634	0.499967	725952	-339.8999938964844	3860.0	285.20001220703125	1592.4000244140625	-3883.10009765625	-340.0	-1450.699951171875	-411.29998779296875	-3883.10009765625	3860.0	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-019	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-02_dwi.nii.gz	-1.342004895210266	0.7266329201101929	0.499999	725998	-305.5	3938.60009765625	348.8999938964844	1853.7149658203148	-3954.60009765625	-305.6000061035156	-1328.4500122070312	-376.6000061035156	-3954.60009765625	3938.60009765625	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-024	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-02_dwi.nii.gz	-283.5584716796875	0.812883608815427	0.499981	725972	-304.29998779296875	3978.0	307.6000061035156	3322.244995117183	-4017.699951171875	-304.3999938964844	-1327.800048828125	-370.1000061035156	-4017.699951171875	3978.0	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-025	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-02_dwi.nii.gz	-78.13101196289062	0.7802851239669422	0.499976	725965	-266.1000061035156	3880.300048828125	349.3999938964844	1785.4000244140625	-3899.300048828125	-266.20001220703125	-1196.0999755859375	-330.6000061035156	-3899.300048828125	3880.300048828125	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-025	ses-01	run-04	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-04_dwi.nii.gz	-129.180908203125	0.7956652892561984	0.499979	725970	-267.0	3878.300048828125	352.8999938964844	1822.800048828125	-3840.5	-267.1000061035156	-1209.5	-332.1000061035156	-3840.5	3878.300048828125	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-026	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-026/ses-02/dwi/sub-026_ses-02_run-02_dwi.nii.gz	-348.29052734375	0.801612258953168	0.500000	726000	-339.3999938964844	4014.89990234375	315.79998779296875	2167.0050048828057	-4017.699951171875	-339.5	-1558.5	-411.0	-4017.699951171875	4014.89990234375	signed_reconstruction	Document as signed reconstruction; retain in release. Prefer robust (median) metrics for QC.		
sub-028	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-028/ses-01/dwi/sub-028_ses-01_run-02_dwi.nii.gz	-50.123050689697266	0.7630523415977961	0.763052	1107952	-3834.89990234375	3876.300048828125	-3.0999999046325684	1656.4000244140625	-3703.10009765625	3396.89990234375	-1586.9000244140625	0.0	-3834.89990234375	3876.300048828125	signed_reconstruction_with_overinclusive_mask	Document as signed DWI intensities; do not exclude. Optional: use abs() for display-only QC.		
sub-028	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-028/ses-02/dwi/sub-028_ses-02_run-02_dwi.nii.gz	-207.50616455078125	0.7672685950413223	0.767269	1114074	-4013.699951171875	3953.5	-55.400001525878906	1456.300048828125	-3864.60009765625	3748.699951171875	-2141.10009765625	-141.6999969482422	-4013.699951171875	3953.5	signed_reconstruction_with_overinclusive_mask	Document as signed DWI intensities; do not exclude. Optional: use abs() for display-only QC.		
