subject	session	run	nifti	n_diffusion	unique_bvals	top_mean_length	top_axis_flipped	top_axis_permutation	top_axis_basis	suggestion_class	identity_mean_length	identity_rank	delta_best_minus_identity	n_table_rows_parsed
sub-001	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	27.25	none	(1, 2, 0)	image	axis_swap	20.31	11	6.940000000000001	48
sub-001	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	47.97	0	(0, 2, 1)	image	axis_flip_and_swap	44.02	2	3.9499999999999957	48
sub-002	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	18.14	none	(1, 0, 2)	image	axis_swap	11.96	31	6.18	48
sub-003	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	68.56	0	(2, 0, 1)	image	axis_flip_and_swap	52.23	30	16.330000000000005	48
sub-003	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	48.21	0	(1, 0, 2)	image	axis_flip_and_swap	36.6	29	11.61	48
sub-004	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	62.55	1	(0, 2, 1)	image	axis_flip_and_swap	57.41	5	5.140000000000001	48
sub-004	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	65.81	none	(1, 2, 0)	image	axis_swap	54.63	9	11.18	48
sub-005	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	75.06	none	(1, 2, 0)	scanner	axis_swap	60.0	5	15.060000000000002	48
sub-005	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	20.12	0	(2, 1, 0)	scanner	axis_flip_and_swap	16.33	10	3.7900000000000027	48
sub-006	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	22.23	none	(1, 0, 2)	scanner	axis_swap	13.57	38	8.66	48
sub-006	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-02_dwi.nii.gz	270	0,1000,2000	20.95	2	(0, 1, 2)	scanner	axis_flip	13.76	28	7.1899999999999995	48
sub-007	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	44.02	0	(0, 2, 1)	scanner	axis_flip_and_swap	39.8	6	4.220000000000006	48
sub-007	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	15.55	2	(1, 0, 2)	scanner	axis_flip_and_swap	13.49	6	2.0600000000000005	48
sub-008	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	32.83	0	(2, 0, 1)	scanner	axis_flip_and_swap	26.85	4	5.979999999999997	48
sub-009	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	41.79	0	(1, 0, 2)	image	axis_flip_and_swap	36.17	1	5.619999999999997	48
sub-009	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	23.35	none	(2, 0, 1)	scanner	axis_swap	17.66	8	5.690000000000001	48
sub-010	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	63.75	1	(2, 0, 1)	image	axis_flip_and_swap	44.96	27	18.79	48
