onset	duration	trial_type
0.000000	9.370752	baseline
9.370752	7.495910	stim-12
16.866662	9.371015	baseline
26.237677	7.495992	stim-03
33.733669	9.369911	baseline
43.103580	7.497148	stim-10
50.600728	9.369928	baseline
59.970657	7.496022	stim-06
67.466679	9.370977	baseline
76.837655	7.496056	stim-11
84.333711	9.369974	baseline
93.703685	7.497032	stim-07
101.200716	9.369929	baseline
110.570645	7.495987	stim-01
118.066632	9.371017	baseline
127.437649	7.496039	stim-02
134.933688	9.369965	baseline
144.303653	7.497051	stim-05
151.800704	9.369934	baseline
161.170638	7.496010	stim-08
168.666648	9.371392	baseline
178.038040	7.495579	stim-09
185.533619	9.369944	baseline
194.903563	7.496994	stim-04
202.400556	9.362144	baseline
