subject	session	task	run	TR	n_volumes	duration_seconds	AcquisitionTime
sub-001	ses-01	control	01	0.937	20	18.74	NA
sub-001	ses-01	control	03	0.937	20	18.74	NA
sub-001	ses-01	control	05	0.937	20	18.74	NA
sub-001	ses-01	fmri	01	0.937	226	211.762	NA
sub-001	ses-01	fmri	03	0.937	226	211.762	NA
sub-001	ses-01	fmri	05	0.937	226	211.762	NA
sub-001	ses-01	fmri	07	0.937	226	211.762	NA
sub-001	ses-01	movie	01	0.937	210	196.77	NA
sub-001	ses-01	movie	03	0.937	210	196.77	NA
sub-001	ses-01	movie	05	0.937	210	196.77	NA
sub-001	ses-01	movie	07	0.937	210	196.77	NA
sub-001	ses-01	rest	01	0.937	320	299.84	NA
sub-001	ses-02	control	01	0.937	20	18.74	NA
sub-001	ses-02	control	03	0.937	20	18.74	NA
sub-001	ses-02	control	05	0.937	20	18.74	NA
sub-001	ses-02	fmri	01	0.937	226	211.762	NA
sub-001	ses-02	fmri	03	0.937	226	211.762	NA
sub-001	ses-02	fmri	05	0.937	226	211.762	NA
sub-001	ses-02	fmri	07	0.937	226	211.762	NA
sub-001	ses-02	movie	01	0.937	210	196.77	NA
sub-001	ses-02	movie	03	0.937	210	196.77	NA
sub-001	ses-02	movie	05	0.937	210	196.77	NA
sub-001	ses-02	movie	07	0.937	210	196.77	NA
sub-001	ses-02	rest	01	0.937	320	299.84	NA
sub-002	ses-01	control	01	0.937	20	18.74	NA
sub-002	ses-01	control	03	0.937	20	18.74	NA
sub-002	ses-01	control	05	0.937	20	18.74	NA
sub-002	ses-01	fmri	01	0.937	226	211.762	NA
sub-002	ses-01	fmri	03	0.937	226	211.762	NA
sub-002	ses-01	fmri	05	0.937	226	211.762	NA
sub-002	ses-01	fmri	07	0.937	4	3.748	NA
sub-002	ses-01	fmri	09	0.937	226	211.762	NA
sub-002	ses-01	movie	01	0.937	210	196.77	NA
sub-002	ses-01	movie	03	0.937	210	196.77	NA
sub-002	ses-01	movie	05	0.937	210	196.77	NA
sub-002	ses-01	movie	07	0.937	210	196.77	NA
sub-002	ses-01	rest	01	0.937	320	299.84	NA
sub-002	ses-02	control	01	0.937	20	18.74	NA
sub-002	ses-02	control	03	0.937	20	18.74	NA
sub-002	ses-02	control	05	0.937	20	18.74	NA
sub-002	ses-02	fmri	01	0.937	226	211.762	NA
sub-002	ses-02	fmri	03	0.937	226	211.762	NA
sub-002	ses-02	fmri	05	0.937	226	211.762	NA
sub-002	ses-02	fmri	07	0.937	226	211.762	NA
sub-002	ses-02	movie	01	0.937	210	196.77	NA
sub-002	ses-02	movie	03	0.937	210	196.77	NA
sub-002	ses-02	movie	05	0.937	210	196.77	NA
sub-002	ses-02	movie	07	0.937	210	196.77	NA
sub-002	ses-02	rest	01	0.937	320	299.84	NA
sub-003	ses-01	control	01	0.937	20	18.74	NA
sub-003	ses-01	control	03	0.937	20	18.74	NA
sub-003	ses-01	control	05	0.937	20	18.74	NA
sub-003	ses-01	fmri	01	0.937	226	211.762	NA
sub-003	ses-01	fmri	03	0.937	226	211.762	NA
sub-003	ses-01	fmri	05	0.937	226	211.762	NA
sub-003	ses-01	fmri	07	0.937	226	211.762	NA
sub-003	ses-01	movie	01	0.937	210	196.77	NA
sub-003	ses-01	movie	03	0.937	210	196.77	NA
sub-003	ses-01	movie	05	0.937	210	196.77	NA
sub-003	ses-01	movie	07	0.937	210	196.77	NA
sub-003	ses-01	rest	01	0.937	320	299.84	NA
sub-003	ses-02	control	01	0.937	20	18.74	NA
sub-003	ses-02	control	03	0.937	20	18.74	NA
sub-003	ses-02	control	05	0.937	20	18.74	NA
sub-003	ses-02	fmri	01	0.937	226	211.762	NA
sub-003	ses-02	fmri	03	0.937	226	211.762	NA
sub-003	ses-02	fmri	05	0.937	226	211.762	NA
sub-003	ses-02	fmri	07	0.937	226	211.762	NA
sub-003	ses-02	movie	01	0.937	210	196.77	NA
sub-003	ses-02	movie	03	0.937	210	196.77	NA
sub-003	ses-02	movie	05	0.937	210	196.77	NA
sub-003	ses-02	movie	07	0.937	210	196.77	NA
sub-003	ses-02	rest	01	0.937	320	299.84	NA
sub-004	ses-01	control	01	0.937	20	18.74	NA
sub-004	ses-01	control	03	0.937	20	18.74	NA
sub-004	ses-01	control	05	0.937	20	18.74	NA
sub-004	ses-01	fmri	01	0.937	226	211.762	NA
sub-004	ses-01	fmri	03	0.937	226	211.762	NA
sub-004	ses-01	fmri	05	0.937	226	211.762	NA
sub-004	ses-01	fmri	07	0.937	226	211.762	NA
sub-004	ses-01	movie	01	0.937	210	196.77	NA
sub-004	ses-01	movie	03	0.937	210	196.77	NA
sub-004	ses-01	movie	05	0.937	210	196.77	NA
sub-004	ses-01	movie	07	0.937	210	196.77	NA
sub-004	ses-01	rest	01	0.937	320	299.84	NA
sub-004	ses-02	control	01	0.937	20	18.74	NA
sub-004	ses-02	control	03	0.937	20	18.74	NA
sub-004	ses-02	control	05	0.937	20	18.74	NA
sub-004	ses-02	fmri	01	0.937	226	211.762	NA
sub-004	ses-02	fmri	03	0.937	226	211.762	NA
sub-004	ses-02	fmri	05	0.937	226	211.762	NA
sub-004	ses-02	fmri	07	0.937	226	211.762	NA
sub-004	ses-02	movie	01	0.937	210	196.77	NA
sub-004	ses-02	movie	03	0.937	210	196.77	NA
sub-004	ses-02	movie	05	0.937	210	196.77	NA
sub-004	ses-02	movie	07	0.937	210	196.77	NA
sub-004	ses-02	rest	01	0.937	320	299.84	NA
sub-005	ses-01	control	01	0.937	20	18.74	NA
sub-005	ses-01	control	03	0.937	20	18.74	NA
sub-005	ses-01	control	05	0.937	20	18.74	NA
sub-005	ses-01	control	07	0.937	20	18.74	NA
sub-005	ses-01	fmri	01	0.937	226	211.762	NA
sub-005	ses-01	fmri	03	0.937	226	211.762	NA
sub-005	ses-01	fmri	05	0.937	226	211.762	NA
sub-005	ses-01	fmri	07	0.937	226	211.762	NA
sub-005	ses-01	movie	01	0.937	210	196.77	NA
sub-005	ses-01	movie	03	0.937	210	196.77	NA
sub-005	ses-01	movie	05	0.937	210	196.77	NA
sub-005	ses-01	movie	07	0.937	210	196.77	NA
sub-005	ses-01	rest	01	0.937	320	299.84	NA
sub-005	ses-02	control	01	0.937	20	18.74	NA
sub-005	ses-02	control	03	0.937	20	18.74	NA
sub-005	ses-02	control	05	0.937	20	18.74	NA
sub-005	ses-02	fmri	01	0.937	226	211.762	NA
sub-005	ses-02	fmri	03	0.937	226	211.762	NA
sub-005	ses-02	fmri	05	0.937	226	211.762	NA
sub-005	ses-02	fmri	07	0.937	226	211.762	NA
sub-005	ses-02	movie	01	0.937	210	196.77	NA
sub-005	ses-02	movie	03	0.937	210	196.77	NA
sub-005	ses-02	movie	05	0.937	210	196.77	NA
sub-005	ses-02	movie	07	0.937	210	196.77	NA
sub-005	ses-02	rest	01	0.937	320	299.84	NA
sub-006	ses-01	control	01	0.937	20	18.74	NA
sub-006	ses-01	control	03	0.937	20	18.74	NA
sub-006	ses-01	control	05	0.937	20	18.74	NA
sub-006	ses-01	fmri	01	0.937	226	211.762	NA
sub-006	ses-01	fmri	03	0.937	226	211.762	NA
sub-006	ses-01	fmri	05	0.937	226	211.762	NA
sub-006	ses-01	fmri	07	0.937	226	211.762	NA
sub-006	ses-01	movie	01	0.937	210	196.77	NA
sub-006	ses-01	movie	03	0.937	210	196.77	NA
sub-006	ses-01	movie	05	0.937	210	196.77	NA
sub-006	ses-01	movie	07	0.937	210	196.77	NA
sub-006	ses-01	rest	01	0.937	320	299.84	NA
sub-006	ses-02	control	01	0.937	20	18.74	NA
sub-006	ses-02	control	03	0.937	20	18.74	NA
sub-006	ses-02	control	05	0.937	20	18.74	NA
sub-006	ses-02	fmri	01	0.937	226	211.762	NA
sub-006	ses-02	fmri	03	0.937	226	211.762	NA
sub-006	ses-02	fmri	05	0.937	226	211.762	NA
sub-006	ses-02	fmri	07	0.937	226	211.762	NA
sub-006	ses-02	movie	01	0.937	210	196.77	NA
sub-006	ses-02	movie	03	0.937	210	196.77	NA
sub-006	ses-02	movie	05	0.937	210	196.77	NA
sub-006	ses-02	movie	07	0.937	210	196.77	NA
sub-006	ses-02	rest	01	0.937	320	299.84	NA
sub-007	ses-01	control	01	0.937	20	18.74	NA
sub-007	ses-01	control	03	0.937	20	18.74	NA
sub-007	ses-01	control	05	0.937	20	18.74	NA
sub-007	ses-01	fmri	01	0.937	226	211.762	NA
sub-007	ses-01	fmri	03	0.937	226	211.762	NA
sub-007	ses-01	fmri	05	0.937	226	211.762	NA
