ext_id	n_transitions	mean_interval	median_interval	std_interval	regularity_score	trigger_like_score
ext_9ba8a41951ae	4260	0.965536	0.0449988	18.0374	0.0025	0.4708
ext_7656a8fc2629	2	0.00249993	0.00249993	0	1.0000	0.4840
ext_4e76bb0bbee6	4	0.00250005	0.00250005	0	1.0000	0.4480
ext_189cab5e4291	2	0.00250005	0.00250005	0	1.0000	0.4840
ext_606b4580296a	4	0.00249954	0.00249954	0	1.0000	0.4480
ext_06519321de67	2	0.00249954	0.00249954	0	1.0000	0.4840
ext_730f2020e2bf	4266	1.31566	0.0449965	25.9384	0.0017	0.4706
ext_4a3060433a0b	2	0.00249981	0.00249981	0	1.0000	0.4840
ext_e8904cb6bcea	4176	0.590037	0.0450047	2.66458	0.0166	0.4758
ext_31fcae4ee3fd	2	0.00250026	0.00250026	0	1.0000	0.4840
ext_eaf9cf141abc	4176	0.614588	0.0450097	4.52519	0.0098	0.4734
ext_a5157d182e52	2	0.00250054	0.00250054	0	1.0000	0.4840
ext_d2d030eac353	4176	0.723846	0.045006	10.817	0.0041	0.4714
ext_48983e6e106a	2	0.00250033	0.00250033	0	1.0000	0.4840
ext_f909618e3444	4178	0.627042	0.0449923	3.97636	0.0112	0.4739
ext_33b60de7151b	2	0.00249957	0.00249957	0	1.0000	0.4840
ext_cf5978f57e9c	4176	0.664176	0.0449942	4.75867	0.0094	0.4732
ext_2481e57d8538	2	0.00249968	0.00249968	0	1.0000	0.4340
ext_c38ab3b4449e	4	0.00250027	0.00250027	0	1.0000	0.4480
ext_17ca0e755d2b	2	0.00250027	0.00250027	0	1.0000	0.4840
ext_114fddbe9d33	4178	0.734524	0.044998	7.41391	0.0060	0.4721
ext_3b649e2af80b	2	0.00249989	0.00249989	0	1.0000	0.4840
ext_63a8423dc6e9	4	0.00250002	0.00250002	0	1.0000	0.4480
ext_67aadea44346	2	0.00250002	0.00250002	0	1.0000	0.4840
ext_e68b8e858767	4176	0.675078	0.0449878	4.67145	0.0095	0.4733
ext_e5f604b975b0	2	0.00249932	0.00249932	0	1.0000	0.4340
ext_d5b7d1b558aa	4354	0.922596	0.0450026	15.2613	0.0029	0.4710
ext_031e03fb821c	2	0.00250014	0.00250014	0	1.0000	0.4840
ext_38bba9263870	4176	0.659912	0.0450033	4.15896	0.0107	0.4737
ext_daad8ba992a3	2	0.00250018	0.00250018	0	1.0000	0.4840
ext_cc24688d74ff	4300	0.980538	0.0449955	16.4355	0.0027	0.4709
ext_abdb754b539e	2	0.00249975	0.00249975	0	1.0000	0.4840
ext_a84d18722d57	4176	0.733209	0.0449941	6.73103	0.0066	0.4723
ext_9b1bdaa46bea	2	0.00249967	0.00249967	0	1.0000	0.4340
ext_efbac012289f	4212	0.670611	0.0449912	4.97903	0.0090	0.4731
ext_f54f17e16812	2	0.00249951	0.00249951	0	1.0000	0.4840
ext_ff64ac4bf888	88	10.1291	0.0450019	84.7552	0.0005	0.4668
ext_704b3bf1bf13	2	0.0025001	0.0025001	0	1.0000	0.4340
ext_6ea872031259	4176	0.697849	0.0450035	5.63534	0.0079	0.4727
ext_315cbd1a5ad1	2	0.00250019	0.00250019	0	1.0000	0.4840
ext_b94b54ae6e06	4258	1.03199	0.0449998	19.8907	0.0023	0.4707
ext_41c707ea8dc7	2	0.00249999	0.00249999	0	1.0000	0.4840
ext_0d609cff856c	4	0.00249991	0.00249991	0	1.0000	0.4480
ext_4994f846e0c7	2	0.00249991	0.00249991	0	1.0000	0.4840
ext_02ed7b3cd240	4260	1.02898	0.0449993	21.2093	0.0021	0.4707
ext_ecdedfe3761e	2	0.00249996	0.00249996	0	1.0000	0.4840
ext_21acd1732c1c	4260	0.958951	0.0449999	17.0522	0.0026	0.4709
ext_ea7070f9b995	2	0.00249999	0.00249999	0	1.0000	0.4840
ext_bea2e13982ae	4260	0.871622	0.0450021	15.8388	0.0028	0.4709
ext_9d6e2065ee35	2	0.00250012	0.00250012	0	1.0000	0.4840
ext_3f04f4f576d1	4260	0.957023	0.0450004	16.9321	0.0027	0.4709
ext_a65f099fd604	2	0.00250002	0.00250002	0	1.0000	0.4840
ext_8f82126bbacd	3900	0.682254	0.0449895	5.03203	0.0089	0.4731
ext_078a702e5e69	2	0.00249942	0.00249942	0	1.0000	0.4840
ext_22da1c2eac2f	4260	0.865207	0.0450041	16.1316	0.0028	0.4709
ext_d46aec26d732	2	0.00250023	0.00250023	0	1.0000	0.4840
ext_1497f5284daf	4178	0.657092	0.0450052	4.1863	0.0106	0.4737
ext_098b825ca6a7	2	0.00250029	0.00250029	0	1.0000	0.4840
ext_175b13fad373	4246	0.855727	0.0449887	13.4995	0.0033	0.4711
ext_4488e75dc48d	2	0.00249937	0.00249937	0	1.0000	0.4840
ext_76e8ad70747e	4496	0.666797	0.0449995	4.79681	0.0093	0.4732
ext_8bd08a3db740	2	0.00249997	0.00249997	0	1.0000	0.4840
ext_2862bfd519c7	4266	1.03031	0.0449981	16.8791	0.0027	0.4709
ext_1636c1b46ba7	2	0.00249989	0.00249989	0	1.0000	0.4840
ext_af5da27106b9	5172	NA	NA	NA	NA	0.0
ext_9cb146a9c827	2	NA	NA	NA	NA	0.0
