ext_id	bold_id	subject	session	task	run	bold_TR	bold_n_volumes	ext_n_transitions	ext_nr_trig_footer	ext_median_interval	trigger_count_abs_diff	score	decision_hint
ext_9ba8a41951ae	sub-001_ses-02_task-control_run-01	sub-001	ses-02	control	01	0.937	20	4260	2124	0.0449988	2104	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-control_run-03	sub-001	ses-02	control	03	0.937	20	4260	2124	0.0449988	2104	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-control_run-05	sub-001	ses-02	control	05	0.937	20	4260	2124	0.0449988	2104	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-fmri_run-01	sub-001	ses-02	fmri	01	0.937	226	4260	2124	0.0449988	1898	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-fmri_run-03	sub-001	ses-02	fmri	03	0.937	226	4260	2124	0.0449988	1898	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-fmri_run-05	sub-001	ses-02	fmri	05	0.937	226	4260	2124	0.0449988	1898	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-fmri_run-07	sub-001	ses-02	fmri	07	0.937	226	4260	2124	0.0449988	1898	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-movie_run-01	sub-001	ses-02	movie	01	0.937	210	4260	2124	0.0449988	1914	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-movie_run-03	sub-001	ses-02	movie	03	0.937	210	4260	2124	0.0449988	1914	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-movie_run-05	sub-001	ses-02	movie	05	0.937	210	4260	2124	0.0449988	1914	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-movie_run-07	sub-001	ses-02	movie	07	0.937	210	4260	2124	0.0449988	1914	0.0000	UNLIKELY
ext_9ba8a41951ae	sub-001_ses-02_task-rest_run-01	sub-001	ses-02	rest	01	0.937	320	4260	2124	0.0449988	1804	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-control_run-01	sub-001	ses-02	control	01	0.937	20	2	2124	0.00249993	2104	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-control_run-03	sub-001	ses-02	control	03	0.937	20	2	2124	0.00249993	2104	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-control_run-05	sub-001	ses-02	control	05	0.937	20	2	2124	0.00249993	2104	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-fmri_run-01	sub-001	ses-02	fmri	01	0.937	226	2	2124	0.00249993	1898	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-fmri_run-03	sub-001	ses-02	fmri	03	0.937	226	2	2124	0.00249993	1898	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-fmri_run-05	sub-001	ses-02	fmri	05	0.937	226	2	2124	0.00249993	1898	0.0000	UNLIKELY
ext_7656a8fc2629	sub-001_ses-02_task-fmri_run-07	sub-001	ses-02	fmri	07	0.937	226	2	2124	0.00249993	1898	0.0000	UNLIKELY
