participant_id	session_id	fmri_number	bids_run	ProtocolName	SeriesNumber	SeriesTime	source_mat	sha256	n_triggers	trigger_duration	protocol_expected	nifti_path	json_path	gates_passed	decision	already_has_events_in_bids	recommendation	events_stem	precomputed_events_tsv
sub-002	ses-01	1	07	fMRI1_AP	4		/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	0828f160937f2d60	226	210.833323	fMRI1	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-002_ses-01_task-fmri_run-07_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv
sub-011	ses-01	1	07	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_Matlab/2-Grating/Results/July-11-2023_12-39-39_PM__scan_info_for_subject_C11__selected_run_is_1__fmri_number_is1.mat	a6058d34a011d9ea	226	210.832785	fMRI1	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-011_ses-01_task-fmri_run-07_events	
sub-011	ses-01	4	03	fMRI4_AP	24		/lustre06/project/6001995/raw_original/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_Matlab/2-Grating/Results/July-11-2023_12-55-41_PM__scan_info_for_subject_c11__selected_run_is_5__fmri_number_is4.mat	c51ad65ecea4c289	226	210.834061	fMRI4	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-03_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-011_ses-01_task-fmri_run-03_events	
sub-012	ses-01	4	03	fMRI4_AP	23		/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/2-Grating/Results/July-12-2023_10-41-26_AM__scan_info_for_subject_SUBC12__selected_run_is_5__fmri_number_is4.mat	b37b61401f28c5fe	226	210.833845	fMRI4	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-012_ses-01_task-fmri_run-03_events	
sub-016	ses-02	1	07	fMRI1_AP	4		/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_MATLAB/2-Grating/Results/February-07-2024_ 9-38-43_AM__scan_info_for_subject_c16__selected_run_is_1__fmri_number_is1.mat	344fa7b533f25feb	226	210.833755	fMRI1	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-016_ses-02_task-fmri_run-07_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-016_ses-02_task-fmri_run-01_desc-matlabFMRI1_events.tsv
sub-020	ses-01	1	05	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC21-Session1-2023SEP09/SUBC021_Session01_2023SEP09_MATLAB/2-Grating/Results/September-09-2023_11-02-38_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat	2c8809f283848001	226	210.833987	fMRI1	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-020_ses-01_task-fmri_run-05_events	
sub-023	ses-01	1	07	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC24-Session01-2023OCT17/SUBC24-Session01-2023OCT17-MATLAB/2-Grating/Results/October-17-2023_ 5-37-15_PM__scan_info_for_subject_sub-c24__selected_run_is_1__fmri_number_is1.mat	6af75b73acc23aae	226	210.832782	fMRI1	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-023_ses-01_task-fmri_run-07_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-023_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv
sub-024	ses-02	1	07	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC25_Session02_2024APR23/SUBC25_Session02_2024APR23_MATLAB/2-Grating/Results/April-23-2024_10-43-44_AM__scan_info_for_subject_SUBC25__selected_run_is_1__fmri_number_is1.mat	7242e91fcd1249c7	226	210.833307	fMRI1	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-024_ses-02_task-fmri_run-07_events	
sub-024	ses-02	2	11	fMRI2_AP	8		/lustre06/project/6001995/raw_original/Control/SUBC25_Session02_2024APR23/SUBC25_Session02_2024APR23_MATLAB/2-Grating/Results/April-23-2024_10-47-59_AM__scan_info_for_subject_c25__selected_run_is_4__fmri_number_is2.mat	1b5370b9fc5d658c	226	210.833434	fMRI2	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_bold.nii.gz	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-024_ses-02_task-fmri_run-11_events	
sub-025	ses-01	1	07	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC26-Session1-2023OCT20/SUBC26-Session1-2023OCT20-MATLAB/2-Grating/Results/October-20-2023_ 4-01-38_PM__scan_info_for_subject_SUBC26__selected_run_is_1__fmri_number_is1.mat	f2d51720919b632b	226	210.832895	fMRI1	/home/alexrees/scratch/bids/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_FIRST_OF_2_BOLD_1_MATLAB,G6	AUTO_ACCEPT_FIRST_OF_DUPLICATE	False	INTEGRATE_EVENTS_FROM_MATLAB	sub-025_ses-01_task-fmri_run-07_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-025_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv
