participant	session	fmri_number	selected_run	status	message	events_dest	events_used	matlab_sha256	n_triggers	n_volumes	origin	actions
sub-002	ses-01	1	09	INTEGRATED	WRITTEN;PRECOMPUTED;MATLAB_OK;BOLD_OK	sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.tsv	sub-002_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	0828f160937f2d60	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-011	ses-01	1	07	INTEGRATED	WRITTEN;REGENERATED_FROM_MATLAB confidence=high;MATLAB_OK;BOLD_OK	sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.tsv	sub-011_ses-01_task-fmri_run-07_desc-matlabFMRI1_events.tsv	a6058d34a011d9ea	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-011	ses-01	4	05	INTEGRATED	WRITTEN;REGENERATED_FROM_MATLAB confidence=high;MATLAB_OK;BOLD_OK	sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.tsv	sub-011_ses-01_task-fmri_run-05_desc-matlabFMRI4_events.tsv	c51ad65ecea4c289	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-012	ses-01	4	03	INTEGRATED	WRITTEN;REGENERATED_FROM_MATLAB confidence=high;MATLAB_OK;BOLD_OK	sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.tsv	sub-012_ses-01_task-fmri_run-03_desc-matlabFMRI4_events.tsv	b37b61401f28c5fe	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-016	ses-02	1	09	INTEGRATED	WRITTEN;PRECOMPUTED;MATLAB_OK;BOLD_OK	sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.tsv	sub-016_ses-02_task-fmri_run-01_desc-matlabFMRI1_events.tsv	344fa7b533f25feb	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-020	ses-01	1	05	INTEGRATED	WRITTEN;REGENERATED_FROM_MATLAB confidence=high;MATLAB_OK;BOLD_OK	sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.tsv	sub-020_ses-01_task-fmri_run-05_desc-matlabFMRI1_events.tsv	2c8809f283848001	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-023	ses-01	1	09	INTEGRATED	WRITTEN;PRECOMPUTED;MATLAB_OK;BOLD_OK	sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.tsv	sub-023_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	6af75b73acc23aae	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-024	ses-02	1	07	INTEGRATED	WRITTEN;REGENERATED_FROM_MATLAB confidence=high;MATLAB_OK;BOLD_OK	sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_events.tsv	sub-024_ses-02_task-fmri_run-07_desc-matlabFMRI1_events.tsv	7242e91fcd1249c7	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-024	ses-02	2	11	INTEGRATED	WRITTEN;REGENERATED_FROM_MATLAB confidence=high;MATLAB_OK;BOLD_OK	sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_events.tsv	sub-024_ses-02_task-fmri_run-11_desc-matlabFMRI2_events.tsv	1b5370b9fc5d658c	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
sub-025	ses-01	1	09	INTEGRATED	WRITTEN;PRECOMPUTED;MATLAB_OK;BOLD_OK	sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_events.tsv	sub-025_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	f2d51720919b632b	226	226	FINAL_MAPPING_ACCEPT	WROTE_EVENTS_TSV;WROTE_EVENTS_JSON
