participant	session	fmri_number	matlab_source_basename	matlab_sha256	bold_target	events_source	selected_run	status
sub-002	ses-01	1	May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	0828f160937f2d60	sub-002_ses-01_task-fmri_run-09_bold.nii.gz	sub-002_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	09	INTEGRATED
sub-011	ses-01	1	July-11-2023_12-39-39_PM__scan_info_for_subject_C11__selected_run_is_1__fmri_number_is1.mat	a6058d34a011d9ea	sub-011_ses-01_task-fmri_run-07_bold.nii.gz	sub-011_ses-01_task-fmri_run-07_desc-matlabFMRI1_events.tsv	07	INTEGRATED
sub-011	ses-01	4	July-11-2023_12-55-41_PM__scan_info_for_subject_c11__selected_run_is_5__fmri_number_is4.mat	c51ad65ecea4c289	sub-011_ses-01_task-fmri_run-05_bold.nii.gz	sub-011_ses-01_task-fmri_run-05_desc-matlabFMRI4_events.tsv	05	INTEGRATED
sub-012	ses-01	4	July-12-2023_10-41-26_AM__scan_info_for_subject_SUBC12__selected_run_is_5__fmri_number_is4.mat	b37b61401f28c5fe	sub-012_ses-01_task-fmri_run-03_bold.nii.gz	sub-012_ses-01_task-fmri_run-03_desc-matlabFMRI4_events.tsv	03	INTEGRATED
sub-016	ses-02	1	February-07-2024_ 9-38-43_AM__scan_info_for_subject_c16__selected_run_is_1__fmri_number_is1.mat	344fa7b533f25feb	sub-016_ses-02_task-fmri_run-09_bold.nii.gz	sub-016_ses-02_task-fmri_run-01_desc-matlabFMRI1_events.tsv	09	INTEGRATED
sub-020	ses-01	1	September-09-2023_11-02-38_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat	2c8809f283848001	sub-020_ses-01_task-fmri_run-05_bold.nii.gz	sub-020_ses-01_task-fmri_run-05_desc-matlabFMRI1_events.tsv	05	INTEGRATED
sub-023	ses-01	1	October-17-2023_ 5-37-15_PM__scan_info_for_subject_sub-c24__selected_run_is_1__fmri_number_is1.mat	6af75b73acc23aae	sub-023_ses-01_task-fmri_run-09_bold.nii.gz	sub-023_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	09	INTEGRATED
sub-024	ses-02	1	April-23-2024_10-43-44_AM__scan_info_for_subject_SUBC25__selected_run_is_1__fmri_number_is1.mat	7242e91fcd1249c7	sub-024_ses-02_task-fmri_run-07_bold.nii.gz	sub-024_ses-02_task-fmri_run-07_desc-matlabFMRI1_events.tsv	07	INTEGRATED
sub-024	ses-02	2	April-23-2024_10-47-59_AM__scan_info_for_subject_c25__selected_run_is_4__fmri_number_is2.mat	1b5370b9fc5d658c	sub-024_ses-02_task-fmri_run-11_bold.nii.gz	sub-024_ses-02_task-fmri_run-11_desc-matlabFMRI2_events.tsv	11	INTEGRATED
sub-025	ses-01	1	October-20-2023_ 4-01-38_PM__scan_info_for_subject_SUBC26__selected_run_is_1__fmri_number_is1.mat	f2d51720919b632b	sub-025_ses-01_task-fmri_run-09_bold.nii.gz	sub-025_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	09	INTEGRATED
