onset	duration	trial_type
0.000000	9.369530	baseline
9.369530	7.496008	stim-03
16.865538	9.371062	baseline
26.236600	7.496247	stim-01
33.732847	9.369705	baseline
43.102552	7.497015	stim-07
50.599566	9.370079	baseline
59.969645	7.495954	stim-08
67.465600	9.370963	baseline
76.836563	7.495876	stim-09
84.332438	9.370415	baseline
93.702853	7.496576	stim-04
101.199429	9.370028	baseline
110.569458	7.496012	stim-12
118.065470	9.371036	baseline
127.436506	7.496011	stim-11
134.932518	9.371080	baseline
144.303598	7.495832	stim-06
151.799430	9.370056	baseline
161.169485	7.497275	stim-02
168.666760	9.369641	baseline
178.036401	7.496093	stim-10
185.532494	9.370855	baseline
194.903349	7.496107	stim-05
202.399456	9.365595	baseline
