participant_id	session_id	fmri_number	selected_bold_run	matlab_file	bold_file	decision	confidence	reason	volume_count	matlab_trigger_count	duration_match	duplicate_case	review_required	proposed_run_in_recommend	ProtocolName	SeriesNumber	run_changed_from_recommend	events_source	n_bold_candidates
sub-002	ses-01	1	09	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_bold.nii.gz	ACCEPT	HIGH	REDO_COMPLETE_ACQUISITION	226	226	YES	True	False	07	fMRI1_AP	7	True	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	2
sub-011	ses-01	1	07	/lustre06/project/6001995/raw_original/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_Matlab/2-Grating/Results/July-11-2023_12-39-39_PM__scan_info_for_subject_C11__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_bold.nii.gz	ACCEPT	HIGH	UNIQUE_PROTOCOL_MATCH	226	226	YES	False	False	07	fMRI1_AP	3	False		1
sub-011	ses-01	4	05	/lustre06/project/6001995/raw_original/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_Matlab/2-Grating/Results/July-11-2023_12-55-41_PM__scan_info_for_subject_c11__selected_run_is_5__fmri_number_is4.mat	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_bold.nii.gz	ACCEPT	HIGH	REDO_COMPLETE_ACQUISITION	226	226	YES	True	False	03	fMRI4_AP	27	True		2
sub-012	ses-01	4	03	/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/2-Grating/Results/July-12-2023_10-41-26_AM__scan_info_for_subject_SUBC12__selected_run_is_5__fmri_number_is4.mat	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_bold.nii.gz	ACCEPT	HIGH	SERIESNUMBER_EXACT_MATCH	226	226	YES	True	False	03	fMRI4_AP	23	False		2
sub-016	ses-02	1	09	/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_MATLAB/2-Grating/Results/February-07-2024_ 9-38-43_AM__scan_info_for_subject_c16__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_bold.nii.gz	ACCEPT	HIGH	REDO_COMPLETE_ACQUISITION	226	226	YES	True	False	07	fMRI1_AP	7	True	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-016_ses-02_task-fmri_run-01_desc-matlabFMRI1_events.tsv	2
sub-020	ses-01	1	05	/lustre06/project/6001995/raw_original/Control/SUBC21-Session1-2023SEP09/SUBC021_Session01_2023SEP09_MATLAB/2-Grating/Results/September-09-2023_11-02-38_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_bold.nii.gz	ACCEPT	HIGH	UNIQUE_PROTOCOL_MATCH	226	226	YES	False	False	05	fMRI1_AP	3	False		1
sub-023	ses-01	1	09	/lustre06/project/6001995/raw_original/Control/SUBC24-Session01-2023OCT17/SUBC24-Session01-2023OCT17-MATLAB/2-Grating/Results/October-17-2023_ 5-37-15_PM__scan_info_for_subject_sub-c24__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_bold.nii.gz	ACCEPT	HIGH	DUPLICATE_RESOLVED_BY_VOLUME_COUNT	226	226	YES	True	False	07	fMRI1_AP	7	True	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-023_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	2
sub-024	ses-02	1	07	/lustre06/project/6001995/raw_original/Control/SUBC25_Session02_2024APR23/SUBC25_Session02_2024APR23_MATLAB/2-Grating/Results/April-23-2024_10-43-44_AM__scan_info_for_subject_SUBC25__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_bold.nii.gz	ACCEPT	HIGH	SERIESNUMBER_EXACT_MATCH	226	226	YES	True	False	07	fMRI1_AP	3	False		2
sub-024	ses-02	2	11	/lustre06/project/6001995/raw_original/Control/SUBC25_Session02_2024APR23/SUBC25_Session02_2024APR23_MATLAB/2-Grating/Results/April-23-2024_10-47-59_AM__scan_info_for_subject_c25__selected_run_is_4__fmri_number_is2.mat	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_bold.nii.gz	ACCEPT	HIGH	SERIESNUMBER_EXACT_MATCH	226	226	YES	True	False	11	fMRI2_AP	8	False		2
sub-025	ses-01	1	09	/lustre06/project/6001995/raw_original/Control/SUBC26-Session1-2023OCT20/SUBC26-Session1-2023OCT20-MATLAB/2-Grating/Results/October-20-2023_ 4-01-38_PM__scan_info_for_subject_SUBC26__selected_run_is_1__fmri_number_is1.mat	/home/alexrees/scratch/bids/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_bold.nii.gz	ACCEPT	HIGH	DUPLICATE_RESOLVED_BY_VOLUME_COUNT	226	226	YES	True	False	07	fMRI1_AP	7	True	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-025_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	2
