participant_id	session_id	run
sub-051	ses-01	01
sub-051	ses-01	03
sub-051	ses-01	05
sub-051	ses-01	07
sub-013	ses-01	07
sub-032	ses-01	03
sub-032	ses-01	01
sub-038	ses-02	04
sub-025	ses-01	09
sub-083	ses-01	09
sub-046	ses-01	09
sub-081	ses-02	05
sub-081	ses-02	07
sub-081	ses-02	01
sub-081	ses-02	03
sub-057	ses-02	05
sub-057	ses-02	07
sub-057	ses-02	01
sub-057	ses-02	03
sub-043	ses-02	12
sub-043	ses-02	06
sub-002	ses-01	09
sub-047	ses-01	01
sub-047	ses-01	03
sub-047	ses-01	05
sub-047	ses-01	07
sub-011	ses-01	05
sub-011	ses-02	06
sub-023	ses-01	09
sub-024	ses-02	03
sub-016	ses-02	09
sub-061	ses-01	07
sub-078	ses-01	03
sub-078	ses-01	01
sub-078	ses-01	07
sub-078	ses-01	05
