SeriesUID	SeriesNumber	SeriesTime	ProtocolName	n_instances	matched_bids_run	SeriesTime_HHMMSS	AcquisitionTime	InstanceCreationTime	SeriesDescription	ImageType	mag_or_phase	ImagingFrequency	dicom_cohort	series_dir	StudyDate
1.3.12.2.1107.5.2.43.166092.2024072517281898465199521.0.0.0	15	172927.268000	fMRI3_AP	226	01	17:29:27.268	172824.425000	172927.271000	fMRI3_AP	ORIGINAL\PRIMARY\M\MB\ND\MOSAIC	magnitude	123.257831	2024JUL25_orphan	FMRI3_AP_0015	20240725
1.3.12.2.1107.5.2.43.166092.2025021914332960434830674.0.0.0	15	143429.422000	fMRI3_AP	226	02	14:34:29.422	143331.222500	143429.425000	fMRI3_AP	ORIGINAL\PRIMARY\M\MB\ND\MOSAIC	magnitude	123.257877	2025FEB19	FMRI3_AP_0015	20250219
1.3.12.2.1107.5.2.43.166092.2025021914332960435930675.0.0.0	16	143430.004000	fMRI3_AP	226		14:34:30.004	143331.222500	143430.006000	fMRI3_AP	ORIGINAL\PRIMARY\P\MB\ND\MOSAIC	phase	123.257877	2025FEB19	FMRI3_AP_0016	20250219
1.3.12.2.1107.5.2.43.166092.2024072517281898466399522.0.0.0	16	172927.435000	fMRI3_AP	226		17:29:27.435	172824.425000	172927.437000	fMRI3_AP	ORIGINAL\PRIMARY\P\MB\ND\MOSAIC	phase	123.257831	2024JUL25_orphan	FMRI3_AP_0016	20240725
1.3.12.2.1107.5.2.43.166092.2025021914332960307130672.0.0.0	17	143704.226000	fMRI3_AP	1		14:37:04.226		143704.228000	fMRI3_AP_PhysioLog	ORIGINAL\PRIMARY\RAWDATA\PHYSIO	other		2025FEB19	FMRI3_AP_PHYSIOLOG_0017	20250219
1.3.12.2.1107.5.2.43.166092.2024072517281898338399519.0.0.0	17	173156.840000	fMRI3_AP	1		17:31:56.840		173156.843000	fMRI3_AP_PhysioLog	ORIGINAL\PRIMARY\RAWDATA\PHYSIO	other		2024JUL25_orphan	FMRI3_AP_PHYSIOLOG_0017	20240725
1.3.12.2.1107.5.2.43.166092.2025021914332960335530673.0.0.0	14	143429.392000	fMRI3_AP	2		14:34:29.392	143319.977500	143429.396000	fMRI3_AP_SBRef	ORIGINAL\PRIMARY\M\ND\MOSAIC	sbref	123.257877	2025FEB19	FMRI3_AP_SBREF_0014	20250219
1.3.12.2.1107.5.2.43.166092.2024072517281898367699520.0.0.0	14	172927.225000	fMRI3_AP	2		17:29:27.225	172813.180000	172927.229000	fMRI3_AP_SBRef	ORIGINAL\PRIMARY\M\ND\MOSAIC	sbref	123.257831	2024JUL25_orphan	FMRI3_AP_SBREF_0014	20240725
1.3.12.2.1107.5.2.43.166092.2024072517321930375880342.0.0.0	19	173341.413000	fMRI4_AP	226	05	17:33:41.413	173231.790000	173341.416000	fMRI4_AP	ORIGINAL\PRIMARY\M\MB\ND\MOSAIC	magnitude	123.257835	2024JUL25_orphan	FMRI4_AP_0019	20240725
1.3.12.2.1107.5.2.43.166092.202502191437069811611495.0.0.0	19	143846.273000	fMRI4_AP	226	06	14:38:46.273	143744.175000	143846.276000	fMRI4_AP	ORIGINAL\PRIMARY\M\MB\ND\MOSAIC	magnitude	123.257881	2025FEB19	FMRI4_AP_0019	20250219
1.3.12.2.1107.5.2.43.166092.202502191437069812811496.0.0.0	20	143846.462000	fMRI4_AP	226		14:38:46.462	143744.175000	143846.464000	fMRI4_AP	ORIGINAL\PRIMARY\P\MB\ND\MOSAIC	phase	123.257881	2025FEB19	FMRI4_AP_0020	20250219
1.3.12.2.1107.5.2.43.166092.2024072517321930376980343.0.0.0	20	173341.637000	fMRI4_AP	226		17:33:41.637	173231.790000	173341.639000	fMRI4_AP	ORIGINAL\PRIMARY\P\MB\ND\MOSAIC	phase	123.257835	2024JUL25_orphan	FMRI4_AP_0020	20240725
1.3.12.2.1107.5.2.43.166092.202502191437069678011493.0.0.0	21	144116.958000	fMRI4_AP	1		14:41:16.958		144116.961000	fMRI4_AP_PhysioLog	ORIGINAL\PRIMARY\RAWDATA\PHYSIO	other		2025FEB19	FMRI4_AP_PHYSIOLOG_0021	20250219
1.3.12.2.1107.5.2.43.166092.2024072517321930247680340.0.0.0	21	173604.730000	fMRI4_AP	1		17:36:04.730		173604.732000	fMRI4_AP_PhysioLog	ORIGINAL\PRIMARY\RAWDATA\PHYSIO	other		2024JUL25_orphan	FMRI4_AP_PHYSIOLOG_0021	20240725
1.3.12.2.1107.5.2.43.166092.202502191437069710811494.0.0.0	18	143846.242000	fMRI4_AP	2		14:38:46.242	143732.930000	143846.247000	fMRI4_AP_SBRef	ORIGINAL\PRIMARY\M\ND\MOSAIC	sbref	123.257881	2025FEB19	FMRI4_AP_SBREF_0018	20250219
1.3.12.2.1107.5.2.43.166092.2024072517321930274980341.0.0.0	18	173341.372000	fMRI4_AP	2		17:33:41.372	173220.545000	173341.376000	fMRI4_AP_SBRef	ORIGINAL\PRIMARY\M\ND\MOSAIC	sbref	123.257835	2024JUL25_orphan	FMRI4_AP_SBREF_0018	20240725
