subject	session	matlab_fmri_n	scan_info	trigger_count	bids_runs_matching_ProtocolName	n_matches	all_bold_protocols
sub-002	ses-01	01	May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	226	07,09	2	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-002	ses-01	02	May-11-2023_ 3-13-44_PM__scan_info_for_subject_C02__selected_run_is_4__fmri_number_is2.mat	226	01	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-002	ses-01	03	May-11-2023_ 3-19-11_PM__scan_info_for_subject_C02__selected_run_is_2__fmri_number_is3.mat	226	03	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-002	ses-01	04	May-11-2023_ 3-23-57_PM__scan_info_for_subject_C02__selected_run_is_5__fmri_number_is4.mat	226	05	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-016	ses-02	01	February-07-2024_ 9-38-43_AM__scan_info_for_subject_c16__selected_run_is_1__fmri_number_is1.mat	226	07,09	2	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-016	ses-02	02	February-07-2024_ 9-43-02_AM__scan_info_for_subject_SUBC16-session2__selected_run_is_4__fmri_number_is2.mat	226	01	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-016	ses-02	03	February-07-2024_ 9-47-43_AM__scan_info_for_subject_SUBC16-session2__selected_run_is_2__fmri_number_is3.mat	226	03	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-016	ses-02	04	February-07-2024_ 9-53-38_AM__scan_info_for_subject_SUBC16-session2__selected_run_is_5__fmri_number_is4.mat	226	05	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-023	ses-01	01	October-17-2023_ 5-37-15_PM__scan_info_for_subject_sub-c24__selected_run_is_1__fmri_number_is1.mat	226	07,09	2	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-023	ses-01	02	October-17-2023_ 5-42-11_PM__scan_info_for_subject_sub-c24__selected_run_is_4__fmri_number_is2.mat	226	01	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-023	ses-01	03	October-17-2023_ 5-47-21_PM__scan_info_for_subject_sub-c24__selected_run_is_2__fmri_number_is3.mat	226	03	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-023	ses-01	04	October-17-2023_ 5-51-49_PM__scan_info_for_subject_sub-c24__selected_run_is_5__fmri_number_is4.mat	226	05	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-025	ses-01	01	October-20-2023_ 4-01-38_PM__scan_info_for_subject_SUBC26__selected_run_is_1__fmri_number_is1.mat	226	07,09	2	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-025	ses-01	02	October-20-2023_ 4-06-56_PM__scan_info_for_subject_SUBC26__selected_run_is_4__fmri_number_is2.mat	226	01	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-025	ses-01	03	October-20-2023_ 4-13-33_PM__scan_info_for_subject_SUBC26__selected_run_is_2__fmri_number_is3.mat	226	03	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-025	ses-01	04	October-20-2023_ 4-18-16_PM__scan_info_for_subject_SUBC26__selected_run_is_5__fmri_number_is4.mat	226	05	1	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
sub-032	ses-01	05	February-09-2024_ 2-39-03_PM__scan_info_for_subject_SUBC33__selected_run_is_3__fmri_number_is5.mat	226	NONE	0	run-01:fMRI3_AP; run-03:fMRI4_AP; run-05:fMRI1_AP; run-07:fMRI2_AP
sub-032	ses-01	06	February-09-2024_ 2-43-11_PM__scan_info_for_subject_SUBC33__selected_run_is_6__fmri_number_is6.mat	226	NONE	0	run-01:fMRI3_AP; run-03:fMRI4_AP; run-05:fMRI1_AP; run-07:fMRI2_AP
sub-032	ses-01	01	February-09-2024_ 2-48-32_PM__scan_info_for_subject_SUBC33__selected_run_is_1__fmri_number_is1.mat	226	05	1	run-01:fMRI3_AP; run-03:fMRI4_AP; run-05:fMRI1_AP; run-07:fMRI2_AP
sub-032	ses-01	02	February-09-2024_ 2-53-02_PM__scan_info_for_subject_SUBC33__selected_run_is_4__fmri_number_is2.mat	226	07	1	run-01:fMRI3_AP; run-03:fMRI4_AP; run-05:fMRI1_AP; run-07:fMRI2_AP
sub-046	ses-01	01	August-27-2024_11-42-15_AM__scan_info_for_subject_SUBC47-SCAN1-AUG27__selected_run_is_1__fmri_number_is1.mat	226	07,09	2	run-01:fMRI2_AP; run-03:fMRI3_AP; run-05:fMRI4_AP; run-07:fMRI1_AP; run-09:fMRI1_AP
