subject	session	bids_run	ProtocolName	matlab_fmri_n_from_protocol	n_scan_info_session	n_stim_session	n_scan_info_match_fmri_n	validation_events_created	validation_confidence	validation_message	tmp_events_files	gap_reason
sub-051	ses-01	01	fMRI3_AP	3	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-051	ses-01	03	fMRI4_AP	4	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-051	ses-01	05	fMRI1_AP	1	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-051	ses-01	07	fMRI2_AP	2	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-013	ses-01	07	fMRI2_AP	2	3	8	0	no	UNKNOWN	non-unique or missing sources (scan_info=0, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-032	ses-01	03	fMRI4_AP	4	4	8	0			NO_VALIDATION_ROW		NO_SCAN_INFO_FOR_PROTOCOL_fMRI_N
sub-032	ses-01	01	fMRI3_AP	3	4	8	0			NO_VALIDATION_ROW		NO_SCAN_INFO_FOR_PROTOCOL_fMRI_N
sub-038	ses-02	04	fMRI3_AP	3	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-038	ses-02	02	fMRI3_AP	3	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-041	ses-01	09	fMRI1_AP_REDO	1	5	9	2			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-041	ses-01	07	fMRI1_AP	1	5	9	2			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-025	ses-01	09	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-025	ses-01	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-083	ses-01	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-083	ses-01	09	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-046	ses-01	09	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-046	ses-01	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-012	ses-01	03	fMRI4_AP	4	5	10	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-081	ses-02	05	fMRI3_AP	3	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-081	ses-02	07	fMRI4_AP	4	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-081	ses-02	01	fMRI1_AP	1	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-081	ses-02	03	fMRI2_AP	2	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-057	ses-02	05	fMRI1_AP	1	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-057	ses-02	07	fMRI2_AP	2	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-057	ses-02	01	fMRI3_AP	3	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-057	ses-02	03	fMRI4_AP	4	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-020	ses-01	05	fMRI1_AP	1	5	9	2	no	UNKNOWN	non-unique or missing sources (scan_info=2, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-043	ses-02	12	fMRI2_AP	2	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-043	ses-02	06	fMRI4_AP	4	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-043	ses-02	05	fMRI4_AP	4	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-043	ses-02	11	fMRI2_AP	2	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-043	ses-02	01	fMRI3_AP	3	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-002	ses-01	09	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-002	ses-01	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-047	ses-01	01	fMRI3_AP	3	0	4	0	no	UNKNOWN	non-unique or missing sources (scan_info=0, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-047	ses-01	03	fMRI4_AP	4	0	4	0	no	UNKNOWN	non-unique or missing sources (scan_info=0, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-047	ses-01	05	fMRI1_AP	1	0	4	0	no	UNKNOWN	non-unique or missing sources (scan_info=0, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-047	ses-01	07	fMRI2_AP	2	0	4	0	no	UNKNOWN	non-unique or missing sources (scan_info=0, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-011	ses-01	03	fMRI4_AP	4	5	9	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-011	ses-01	05	fMRI4_AP	4	5	9	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-011	ses-01	07	fMRI1_AP	1	5	9	2	no	UNKNOWN	non-unique or missing sources (scan_info=2, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-011	ses-02	06	fMRI1_AP	1	5	9	2	no	UNKNOWN	non-unique or missing sources (scan_info=2, stim=1)		NONUNIQUE_OR_MISSING_MATLAB_SOURCES
sub-023	ses-01	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-023	ses-01	09	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-024	ses-02	11	fMRI2_AP	2	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-024	ses-02	03	fMRI2_AP_Rerun	2	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-024	ses-02	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-016	ses-02	09	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-016	ses-02	07	fMRI1_AP	1	4	8	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-061	ses-01	07	fMRI1_AP	1	5	10	1			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-061	ses-01	05	fMRI1_AP	1	5	10	1	no	UNKNOWN	no usable triggerTimes (n=1, tr=None)		NO_USABLE_TRIGGERTIMES
sub-040	ses-01	09	fMRI1_AP	1	7	14	2			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-040	ses-01	07	fMRI1_AP	1	7	14	2			NO_VALIDATION_ROW		MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN
sub-078	ses-01	03	fMRI4_AP	4	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-078	ses-01	01	fMRI3_AP	3	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-078	ses-01	07	fMRI2_AP	2	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
sub-078	ses-01	05	fMRI1_AP	1	0	0	0			NO_VALIDATION_ROW		NO_MATLAB_INVENTORY_FOR_SESSION
