bold_stem	subject	session	run	has_events	events_status	gap_reason	in_bids
sub-001_ses-01_task-fmri_run-01	sub-001	ses-01	01	yes	HAS_EVENTS		yes
sub-001_ses-01_task-fmri_run-03	sub-001	ses-01	03	yes	HAS_EVENTS		yes
sub-001_ses-01_task-fmri_run-05	sub-001	ses-01	05	yes	HAS_EVENTS		yes
sub-001_ses-01_task-fmri_run-07	sub-001	ses-01	07	yes	HAS_EVENTS		yes
sub-001_ses-02_task-fmri_run-01	sub-001	ses-02	01	yes	HAS_EVENTS		yes
sub-001_ses-02_task-fmri_run-03	sub-001	ses-02	03	yes	HAS_EVENTS		yes
sub-001_ses-02_task-fmri_run-05	sub-001	ses-02	05	yes	HAS_EVENTS		yes
sub-001_ses-02_task-fmri_run-07	sub-001	ses-02	07	yes	HAS_EVENTS		yes
sub-002_ses-01_task-fmri_run-01	sub-002	ses-01	01	yes	HAS_EVENTS		yes
sub-002_ses-01_task-fmri_run-03	sub-002	ses-01	03	yes	HAS_EVENTS		yes
sub-002_ses-01_task-fmri_run-05	sub-002	ses-01	05	yes	HAS_EVENTS		yes
sub-002_ses-01_task-fmri_run-07	sub-002	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-002_ses-01_task-fmri_run-09	sub-002	ses-01	09	yes	HAS_EVENTS		yes
sub-002_ses-02_task-fmri_run-01	sub-002	ses-02	01	yes	HAS_EVENTS		yes
sub-002_ses-02_task-fmri_run-03	sub-002	ses-02	03	yes	HAS_EVENTS		yes
sub-002_ses-02_task-fmri_run-05	sub-002	ses-02	05	yes	HAS_EVENTS		yes
sub-002_ses-02_task-fmri_run-07	sub-002	ses-02	07	yes	HAS_EVENTS		yes
sub-003_ses-01_task-fmri_run-01	sub-003	ses-01	01	yes	HAS_EVENTS		yes
sub-003_ses-01_task-fmri_run-03	sub-003	ses-01	03	yes	HAS_EVENTS		yes
