bold_stem	subject	session	run	has_events	events_status	gap_reason	in_bids
sub-002_ses-01_task-fmri_run-07	sub-002	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-011_ses-01_task-fmri_run-03	sub-011	ses-01	03	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-011_ses-02_task-fmri_run-06	sub-011	ses-02	06	no	NO_EVENTS	NONUNIQUE_OR_MISSING_MATLAB_SOURCES	yes
sub-013_ses-01_task-fmri_run-07	sub-013	ses-01	07	no	NO_EVENTS	NONUNIQUE_OR_MISSING_MATLAB_SOURCES	yes
sub-016_ses-02_task-fmri_run-07	sub-016	ses-02	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-023_ses-01_task-fmri_run-07	sub-023	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-024_ses-02_task-fmri_run-03	sub-024	ses-02	03	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-025_ses-01_task-fmri_run-07	sub-025	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-032_ses-01_task-fmri_run-01	sub-032	ses-01	01	no	NO_EVENTS	NO_SCAN_INFO_FOR_PROTOCOL_fMRI_N	yes
sub-032_ses-01_task-fmri_run-03	sub-032	ses-01	03	no	NO_EVENTS	NO_SCAN_INFO_FOR_PROTOCOL_fMRI_N	yes
sub-038_ses-02_task-fmri_run-02	sub-038	ses-02	02	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-041_ses-01_task-fmri_run-07	sub-041	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-043_ses-02_task-fmri_run-01	sub-043	ses-02	01	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-043_ses-02_task-fmri_run-05	sub-043	ses-02	05	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-043_ses-02_task-fmri_run-11	sub-043	ses-02	11	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-046_ses-01_task-fmri_run-07	sub-046	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-046_ses-01_task-fmri_run-09	sub-046	ses-01	09	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
sub-047_ses-01_task-fmri_run-01	sub-047	ses-01	01	no	NO_EVENTS	NONUNIQUE_OR_MISSING_MATLAB_SOURCES	yes
sub-047_ses-01_task-fmri_run-03	sub-047	ses-01	03	no	NO_EVENTS	NONUNIQUE_OR_MISSING_MATLAB_SOURCES	yes
sub-047_ses-01_task-fmri_run-05	sub-047	ses-01	05	no	NO_EVENTS	NONUNIQUE_OR_MISSING_MATLAB_SOURCES	yes
sub-047_ses-01_task-fmri_run-07	sub-047	ses-01	07	no	NO_EVENTS	NONUNIQUE_OR_MISSING_MATLAB_SOURCES	yes
sub-051_ses-01_task-fmri_run-01	sub-051	ses-01	01	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-051_ses-01_task-fmri_run-03	sub-051	ses-01	03	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-051_ses-01_task-fmri_run-05	sub-051	ses-01	05	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-051_ses-01_task-fmri_run-07	sub-051	ses-01	07	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-057_ses-02_task-fmri_run-01	sub-057	ses-02	01	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-057_ses-02_task-fmri_run-03	sub-057	ses-02	03	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-057_ses-02_task-fmri_run-05	sub-057	ses-02	05	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-057_ses-02_task-fmri_run-07	sub-057	ses-02	07	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-061_ses-01_task-fmri_run-05	sub-061	ses-01	05	no	NO_EVENTS	NO_USABLE_TRIGGERTIMES	yes
sub-078_ses-01_task-fmri_run-01	sub-078	ses-01	01	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-078_ses-01_task-fmri_run-03	sub-078	ses-01	03	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-078_ses-01_task-fmri_run-05	sub-078	ses-01	05	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-078_ses-01_task-fmri_run-07	sub-078	ses-01	07	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-081_ses-02_task-fmri_run-01	sub-081	ses-02	01	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-081_ses-02_task-fmri_run-03	sub-081	ses-02	03	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-081_ses-02_task-fmri_run-05	sub-081	ses-02	05	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-081_ses-02_task-fmri_run-07	sub-081	ses-02	07	no	NO_EVENTS	NO_MATLAB_INVENTORY_FOR_SESSION	yes
sub-083_ses-01_task-fmri_run-07	sub-083	ses-01	07	no	NO_EVENTS	MATLAB_EXISTS_BUT_NOT_MAPPED_TO_THIS_BIDS_RUN	yes
