bold_stem	subject	session	status	in_bids_bold	in_release_bold	in_bids_events	in_release_events
sub-001_ses-01_task-fmri_run-01	sub-001	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-01_task-fmri_run-03	sub-001	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-01_task-fmri_run-05	sub-001	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-01_task-fmri_run-07	sub-001	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-02_task-fmri_run-01	sub-001	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-02_task-fmri_run-03	sub-001	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-02_task-fmri_run-05	sub-001	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-001_ses-02_task-fmri_run-07	sub-001	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-01_task-fmri_run-01	sub-002	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-01_task-fmri_run-03	sub-002	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-01_task-fmri_run-05	sub-002	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-01_task-fmri_run-07	sub-002	ses-01	TRUE_GAP_NO_EVENTS	True	True	False	False
sub-002_ses-01_task-fmri_run-09	sub-002	ses-01	SYNC_GAP_EVENTS_IN_BIDS_NOT_RELEASE	True	True	True	False
sub-002_ses-02_task-fmri_run-01	sub-002	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-02_task-fmri_run-03	sub-002	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-02_task-fmri_run-05	sub-002	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-002_ses-02_task-fmri_run-07	sub-002	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-01_task-fmri_run-01	sub-003	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-01_task-fmri_run-03	sub-003	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-01_task-fmri_run-05	sub-003	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-01_task-fmri_run-07	sub-003	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-02_task-fmri_run-01	sub-003	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-02_task-fmri_run-03	sub-003	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-02_task-fmri_run-05	sub-003	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-003_ses-02_task-fmri_run-07	sub-003	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-01_task-fmri_run-01	sub-004	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-01_task-fmri_run-03	sub-004	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-01_task-fmri_run-05	sub-004	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-01_task-fmri_run-07	sub-004	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-02_task-fmri_run-01	sub-004	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-02_task-fmri_run-03	sub-004	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-02_task-fmri_run-05	sub-004	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-004_ses-02_task-fmri_run-07	sub-004	ses-02	OK_HAS_EVENTS	True	True	True	True
sub-005_ses-01_task-fmri_run-01	sub-005	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-005_ses-01_task-fmri_run-03	sub-005	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-005_ses-01_task-fmri_run-05	sub-005	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-005_ses-01_task-fmri_run-07	sub-005	ses-01	OK_HAS_EVENTS	True	True	True	True
sub-005_ses-02_task-fmri_run-01	sub-005	ses-02	OK_HAS_EVENTS	True	True	True	True
