bold_stem	subject	session	run	run_role	has_physio	physio_channels	has_events	events_note
sub-001_ses-01_task-rest_run-01	sub-001	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-001_ses-02_task-rest_run-01	sub-001	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-002_ses-01_task-rest_run-01	sub-002	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-002_ses-02_task-rest_run-01	sub-002	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-003_ses-01_task-rest_run-01	sub-003	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-003_ses-02_task-rest_run-01	sub-003	ses-02	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-004_ses-01_task-rest_run-01	sub-004	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-004_ses-02_task-rest_run-01	sub-004	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-005_ses-01_task-rest_run-01	sub-005	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-005_ses-02_task-rest_run-01	sub-005	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-006_ses-01_task-rest_run-01	sub-006	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-006_ses-02_task-rest_run-01	sub-006	ses-02	01	primary	yes	pulse;respiratory	no	intentional_absent_continuous_fixation
sub-007_ses-01_task-rest_run-01	sub-007	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-007_ses-02_task-rest_run-01	sub-007	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-008_ses-01_task-rest_run-01	sub-008	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-008_ses-02_task-rest_run-01	sub-008	ses-02	01	primary	yes	pulse;respiratory	no	intentional_absent_continuous_fixation
sub-009_ses-01_task-rest_run-01	sub-009	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-009_ses-02_task-rest_run-01	sub-009	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-010_ses-01_task-rest_run-01	sub-010	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-011_ses-01_task-rest_run-01	sub-011	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-011_ses-02_task-rest_run-01	sub-011	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-012_ses-01_task-rest_run-01	sub-012	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-012_ses-02_task-rest_run-01	sub-012	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-013_ses-01_task-rest_run-01	sub-013	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-014_ses-01_task-rest_run-01	sub-014	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-015_ses-01_task-rest_run-01	sub-015	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-015_ses-02_task-rest_run-01	sub-015	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-016_ses-01_task-rest_run-01	sub-016	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-016_ses-02_task-rest_run-01	sub-016	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-017_ses-01_task-rest_run-01	sub-017	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-017_ses-02_task-rest_run-01	sub-017	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-018_ses-01_task-rest_run-01	sub-018	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-019_ses-01_task-rest_run-01	sub-019	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-019_ses-02_task-rest_run-01	sub-019	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-020_ses-01_task-rest_run-01	sub-020	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-021_ses-01_task-rest_run-01	sub-021	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-021_ses-02_task-rest_run-01	sub-021	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-021_ses-02_task-rest_run-03	sub-021	ses-02	03	secondary_or_redo	no		no	intentional_absent_continuous_fixation
sub-022_ses-01_task-rest_run-01	sub-022	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-022_ses-02_task-rest_run-01	sub-022	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-023_ses-01_task-rest_run-01	sub-023	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-023_ses-02_task-rest_run-01	sub-023	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-024_ses-01_task-rest_run-01	sub-024	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-024_ses-02_task-rest_run-01	sub-024	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-025_ses-01_task-rest_run-01	sub-025	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-025_ses-02_task-rest_run-01	sub-025	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-026_ses-01_task-rest_run-01	sub-026	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-026_ses-02_task-rest_run-01	sub-026	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-027_ses-01_task-rest_run-01	sub-027	ses-01	01	primary	yes	pulse;respiratory	no	intentional_absent_continuous_fixation
sub-027_ses-02_task-rest_run-01	sub-027	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-028_ses-01_task-rest_run-01	sub-028	ses-01	01	primary	yes	pulse;respiratory	no	intentional_absent_continuous_fixation
sub-028_ses-02_task-rest_run-01	sub-028	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-029_ses-01_task-rest_run-01	sub-029	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-029_ses-02_task-rest_run-01	sub-029	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-030_ses-01_task-rest_run-01	sub-030	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-030_ses-02_task-rest_run-01	sub-030	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-031_ses-01_task-rest_run-01	sub-031	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-031_ses-02_task-rest_run-01	sub-031	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-032_ses-01_task-rest_run-01	sub-032	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-033_ses-01_task-rest_run-01	sub-033	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-034_ses-01_task-rest_run-01	sub-034	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-034_ses-02_task-rest_run-01	sub-034	ses-02	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-035_ses-01_task-rest_run-01	sub-035	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-035_ses-02_task-rest_run-01	sub-035	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-035_ses-02_task-rest_run-03	sub-035	ses-02	03	secondary_or_redo	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-036_ses-01_task-rest_run-01	sub-036	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-036_ses-02_task-rest_run-01	sub-036	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-037_ses-01_task-rest_run-01	sub-037	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-038_ses-01_task-rest_run-01	sub-038	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-038_ses-02_task-rest_run-01	sub-038	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-039_ses-01_task-rest_run-01	sub-039	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-039_ses-02_task-rest_run-01	sub-039	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-040_ses-01_task-rest_run-01	sub-040	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-040_ses-02_task-rest_run-01	sub-040	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-041_ses-01_task-rest_run-01	sub-041	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-041_ses-02_task-rest_run-01	sub-041	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-042_ses-01_task-rest_run-01	sub-042	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-043_ses-02_task-rest_run-01	sub-043	ses-02	01	primary	no		no	intentional_absent_continuous_fixation
sub-043_ses-02_task-rest_run-02	sub-043	ses-02	02	secondary_or_redo	no		no	intentional_absent_continuous_fixation
sub-044_ses-01_task-rest_run-01	sub-044	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-044_ses-02_task-rest_run-01	sub-044	ses-02	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-045_ses-01_task-rest_run-01	sub-045	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-046_ses-01_task-rest_run-01	sub-046	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-046_ses-02_task-rest_run-01	sub-046	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-047_ses-01_task-rest_run-01	sub-047	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-047_ses-02_task-rest_run-01	sub-047	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-048_ses-01_task-rest_run-01	sub-048	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-048_ses-02_task-rest_run-01	sub-048	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-049_ses-01_task-rest_run-01	sub-049	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-050_ses-01_task-rest_run-01	sub-050	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-051_ses-01_task-rest_run-01	sub-051	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-052_ses-01_task-rest_run-01	sub-052	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-052_ses-02_task-rest_run-01	sub-052	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-053_ses-01_task-rest_run-01	sub-053	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-054_ses-01_task-rest_run-01	sub-054	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-054_ses-02_task-rest_run-01	sub-054	ses-02	01	primary	no		no	intentional_absent_continuous_fixation
sub-056_ses-01_task-rest_run-01	sub-056	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-057_ses-01_task-rest_run-01	sub-057	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-057_ses-02_task-rest_run-01	sub-057	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-058_ses-01_task-rest_run-01	sub-058	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-059_ses-01_task-rest_run-01	sub-059	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-060_ses-01_task-rest_run-01	sub-060	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-061_ses-01_task-rest_run-01	sub-061	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-062_ses-01_task-rest_run-01	sub-062	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-063_ses-01_task-rest_run-01	sub-063	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-064_ses-01_task-rest_run-01	sub-064	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-064_ses-02_task-rest_run-01	sub-064	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-065_ses-01_task-rest_run-01	sub-065	ses-01	01	primary	no		no	intentional_absent_continuous_fixation
sub-066_ses-01_task-rest_run-01	sub-066	ses-01	01	primary	yes	respiratory;trigger	no	intentional_absent_continuous_fixation
sub-066_ses-02_task-rest_run-01	sub-066	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-067_ses-01_task-rest_run-01	sub-067	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-067_ses-02_task-rest_run-01	sub-067	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-068_ses-01_task-rest_run-01	sub-068	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-068_ses-02_task-rest_run-01	sub-068	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-069_ses-01_task-rest_run-01	sub-069	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-069_ses-02_task-rest_run-01	sub-069	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-070_ses-01_task-rest_run-01	sub-070	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-071_ses-01_task-rest_run-01	sub-071	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-072_ses-01_task-rest_run-01	sub-072	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-072_ses-02_task-rest_run-01	sub-072	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-073_ses-01_task-rest_run-01	sub-073	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-073_ses-02_task-rest_run-01	sub-073	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-074_ses-01_task-rest_run-01	sub-074	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-074_ses-02_task-rest_run-01	sub-074	ses-02	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-075_ses-01_task-rest_run-01	sub-075	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-076_ses-01_task-rest_run-01	sub-076	ses-01	01	primary	yes	pulse;trigger	no	intentional_absent_continuous_fixation
sub-077_ses-01_task-rest_run-01	sub-077	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-078_ses-01_task-rest_run-01	sub-078	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-079_ses-01_task-rest_run-01	sub-079	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-080_ses-01_task-rest_run-01	sub-080	ses-01	01	primary	yes	pulse;trigger	no	intentional_absent_continuous_fixation
sub-081_ses-01_task-rest_run-01	sub-081	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-081_ses-02_task-rest_run-01	sub-081	ses-02	01	primary	no		no	intentional_absent_continuous_fixation
sub-082_ses-01_task-rest_run-01	sub-082	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-083_ses-01_task-rest_run-01	sub-083	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
sub-084_ses-01_task-rest_run-01	sub-084	ses-01	01	primary	yes	pulse;respiratory;trigger	no	intentional_absent_continuous_fixation
