file_path	subject	session	variables	classification	potential_BIDS_destination	notes
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/Results/May-05-2023_ 2-07-14_PM  The Right Eye is _ eye =0 .mat	SUBC001	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC001/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Fri May  5 14:07:14 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/Results/May-05-2023_ 2-08-24_PM  The Right Eye is _ eye =0 .mat	SUBC001	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC001/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Fri May  5 14:08:24 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GreenLevel.mat	SUBC001	ses-01	GreenLevel:float64[3x1]	stimulus definition	sourcedata/stimuli/display_calibration/	format=MATLAB 7.3 (HDF5); created_on=Thu Oct  6 08:53:03 2022; RGB gun-level calibration for anaglyph/grating display; shared lab setting; BIDS: optional sourcedata only; not required for events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/RedLevel.mat	SUBC001	ses-01	RedLevel:float64[3x1]	stimulus definition	sourcedata/stimuli/display_calibration/	format=MATLAB 7.3 (HDF5); created_on=Thu Oct  6 08:53:11 2022; RGB gun-level calibration for anaglyph/grating display; shared lab setting; BIDS: optional sourcedata only; not required for events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-50-30_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	SUBC001	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBC001/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Fri May  5 14:50:30 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat	SUBC001	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBC001/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Fri May  5 14:55:37 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-56-09_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	SUBC001	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBC001/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Fri May  5 14:56:09 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat	SUBC001	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBC001/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Fri May  5 14:59:58 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-01-16_PM__Subject_is_050__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	SUBC001	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBC001/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Fri May  5 15:01:16 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat	SUBC001	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBC001/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Fri May  5 15:05:13 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
