file	relative_under_movie	folder_role	filename	extension	size_bytes	content_class	timing_keywords_in_content	identity_keywords_in_content	n_lines	notes
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/output.txt	output.txt	MovieRoot	output.txt	.txt	51418	DIARY_OTHER			1	encoding=utf-16; ptb_diag=False; triggerTimes_assign=False
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4743	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	3446	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/Results/February-10-2024_ 3-35-43_PM_Subject_is_G08_selected_run_id_3.mat	Results/February-10-2024_ 3-35-43_PM_Subject_is_G08_selected_run_id_3.mat	Results	February-10-2024_ 3-35-43_PM_Subject_is_G08_selected_run_id_3.mat	.mat	824	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/Results/February-10-2024_ 3-31-22_PM_Subject_is_G08_selected_run_id_2.mat	Results/February-10-2024_ 3-31-22_PM_Subject_is_G08_selected_run_id_2.mat	Results	February-10-2024_ 3-31-22_PM_Subject_is_G08_selected_run_id_2.mat	.mat	824	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/Results/February-10-2024_ 3-26-53_PM_Subject_is_G08_selected_run_id_1.mat	Results/February-10-2024_ 3-26-53_PM_Subject_is_G08_selected_run_id_1.mat	Results	February-10-2024_ 3-26-53_PM_Subject_is_G08_selected_run_id_1.mat	.mat	823	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_MATLAB/3-Movie_Data/Results/February-10-2024_ 3-40-13_PM_Subject_is_G08_selected_run_id_4.mat	Results/February-10-2024_ 3-40-13_PM_Subject_is_G08_selected_run_id_4.mat	Results	February-10-2024_ 3-40-13_PM_Subject_is_G08_selected_run_id_4.mat	.mat	824	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/SUBG10_Session01_2024SEP13_Matlab/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	3446	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/SUBG10_Session01_2024SEP13_Matlab/3-Movie_Data/output.txt	output.txt	MovieRoot	output.txt	.txt	51475	DIARY_OTHER			1	encoding=utf-16; ptb_diag=False; triggerTimes_assign=False
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/SUBG10_Session01_2024SEP13_Matlab/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4743	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/SUBG10_Session01_2024SEP13_Matlab/3-Movie_Data/Results/September-13-2024_ 6-19-56_PM_Subject_is_SUBG10_Session01_2024SEP13_selected_run_id_4.mat	Results/September-13-2024_ 6-19-56_PM_Subject_is_SUBG10_Session01_2024SEP13_selected_run_id_4.mat	Results	September-13-2024_ 6-19-56_PM_Subject_is_SUBG10_Session01_2024SEP13_selected_run_id_4.mat	.mat	873	MAT_IDENTITY_ONLY				
