file	line	text	classification
session#2151c17bc86a/output.txt	53	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#2151c17bc86a/output.txt	61	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#2151c17bc86a/output.txt	63	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#2151c17bc86a/output.txt	64	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.557678 ms [60.394942 Hz]. (50 valid samples taken, stddev=0.487463 ms.)	PTB_WARNING
session#2151c17bc86a/output.txt	74	WARNING: Couldn't compute a reliable estimate of monitor refresh interval! Trouble with VBL syncing?!?	PTB_WARNING
session#2151c17bc86a/output.txt	80	of Psychtoolbox to the vertical retrace (VBL) is not working on your setup.	DEBUG_ONLY
session#2151c17bc86a/output.txt	115	PTB-ERROR: Screen('Flip'); beamposition timestamping computed an *impossible stimulus onset value* of 4558.603554 secs, which would indicate that	PTB_WARNING
session#2151c17bc86a/output.txt	116	PTB-ERROR: stimulus onset happened *before* it was actually requested! (Earliest theoretically possible 4558.612718 secs).	PTB_WARNING
session#2151c17bc86a/output.txt	118	PTB-ERROR: Some more diagnostic values (only for experts): rawTimestamp = 4558.614500, scanline = 396	PTB_WARNING
session#2151c17bc86a/output.txt	119	PTB-ERROR: Some more diagnostic values (only for experts): line_pre_swaprequest = 329, line_post_swaprequest = 342, time_post_swaprequest = 4558.613060	PTB_WARNING
session#2151c17bc86a/output.txt	120	PTB-ERROR: Some more diagnostic values (only for experts): preflip_vblcount = 0, preflip_vbltimestamp = 4558.603638	PTB_WARNING
session#2151c17bc86a/output.txt	121	PTB-ERROR: Some more diagnostic values (only for experts): postflip_vblcount = 0, postflip_vbltimestamp = -1.000000, vbltimestampquery_retrycount = 0	PTB_WARNING
session#2151c17bc86a/output.txt	124	PTB-ERROR: Very unlikely: Something is broken in your systems beamposition timestamping. I've disabled high precision	PTB_WARNING
session#2151c17bc86a/output.txt	125	PTB-ERROR: timestamping for now. Returned timestamps will be less robust and accurate.	PTB_WARNING
session#2151c17bc86a/output.txt	127	PTB-ERROR: The most likely cause would be that Synchronization of stimulus onset (buffer swap) to the	PTB_WARNING
session#2151c17bc86a/output.txt	128	PTB-ERROR: vertical blank interval VBL is not working properly, or swap completion signalling to PTB is broken.	PTB_WARNING
session#2151c17bc86a/output.txt	129	PTB-ERROR: Please run the script PerceptualVBLSyncTest to check this. With non-working sync to VBL, all stimulus timing	PTB_WARNING
session#2151c17bc86a/output.txt	133	INFO: PTB's Screen('Flip', 10) command seems to have missed the requested stimulus presentation deadline	PTB_WARNING
session#2151c17bc86a/output.txt	134	INFO: a total of 255 times out of a total of 11809 flips during this <REDACTED_SESSION>.	DEBUG_ONLY
session#2151c17bc86a/output.txt	137	INFO: if you provided requested stimulus onset times with the 'when' argument of Screen('Flip', window [, when]);	DEBUG_ONLY
session#2151c17bc86a/output.txt	138	INFO: If you called Screen('Flip', window); without the 'when' argument, this count is more of a ''mild'' indicator	DEBUG_ONLY
session#2151c17bc86a/output.txt	188	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#2151c17bc86a/output.txt	196	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#2151c17bc86a/output.txt	198	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#2151c17bc86a/output.txt	199	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.589326 ms [60.279724 Hz]. (50 valid samples taken, stddev=0.123622 ms.)	PTB_WARNING
session#2151c17bc86a/output.txt	249	PTB-ERROR: Screen('Flip'); beamposition timestamping computed an *impossible stimulus onset value* of 4799.326246 secs, which would indicate that	PTB_WARNING
session#2151c17bc86a/output.txt	250	PTB-ERROR: stimulus onset happened *before* it was actually requested! (Earliest theoretically possible 4799.332275 secs).	PTB_WARNING
session#2151c17bc86a/output.txt	252	PTB-ERROR: Some more diagnostic values (only for experts): rawTimestamp = 4799.333751, scanline = 271	PTB_WARNING
session#2151c17bc86a/output.txt	253	PTB-ERROR: Some more diagnostic values (only for experts): line_pre_swaprequest = 216, line_post_swaprequest = 257, time_post_swaprequest = 4799.333383	PTB_WARNING
session#2151c17bc86a/output.txt	254	PTB-ERROR: Some more diagnostic values (only for experts): preflip_vblcount = 0, preflip_vbltimestamp = 4799.326309	PTB_WARNING
session#2151c17bc86a/output.txt	255	PTB-ERROR: Some more diagnostic values (only for experts): postflip_vblcount = 0, postflip_vbltimestamp = -1.000000, vbltimestampquery_retrycount = 0	PTB_WARNING
session#2151c17bc86a/output.txt	258	PTB-ERROR: Very unlikely: Something is broken in your systems beamposition timestamping. I've disabled high precision	PTB_WARNING
session#2151c17bc86a/output.txt	259	PTB-ERROR: timestamping for now. Returned timestamps will be less robust and accurate.	PTB_WARNING
session#2151c17bc86a/output.txt	261	PTB-ERROR: The most likely cause would be that Synchronization of stimulus onset (buffer swap) to the	PTB_WARNING
session#2151c17bc86a/output.txt	262	PTB-ERROR: vertical blank interval VBL is not working properly, or swap completion signalling to PTB is broken.	PTB_WARNING
session#2151c17bc86a/output.txt	263	PTB-ERROR: Please run the script PerceptualVBLSyncTest to check this. With non-working sync to VBL, all stimulus timing	PTB_WARNING
session#890529843cd2/output.txt	53	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#890529843cd2/output.txt	61	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#890529843cd2/output.txt	63	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#890529843cd2/output.txt	64	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.570484 ms [60.348267 Hz]. (50 valid samples taken, stddev=0.314730 ms.)	PTB_WARNING
session#890529843cd2/output.txt	74	WARNING: Couldn't compute a reliable estimate of monitor refresh interval! Trouble with VBL syncing?!?	PTB_WARNING
session#890529843cd2/output.txt	80	of Psychtoolbox to the vertical retrace (VBL) is not working on your setup.	DEBUG_ONLY
session#890529843cd2/output.txt	115	PTB-ERROR: Screen('Flip'); beamposition timestamping computed an *impossible stimulus onset value* of 1113802.610613 secs, which would indicate that	PTB_WARNING
session#890529843cd2/output.txt	116	PTB-ERROR: stimulus onset happened *before* it was actually requested! (Earliest theoretically possible 1113802.623277 secs).	PTB_WARNING
session#890529843cd2/output.txt	118	PTB-ERROR: Some more diagnostic values (only for experts): rawTimestamp = 1113802.624943, scanline = 518	PTB_WARNING
session#890529843cd2/output.txt	119	PTB-ERROR: Some more diagnostic values (only for experts): line_pre_swaprequest = 455, line_post_swaprequest = 471, time_post_swaprequest = 1113802.623716	PTB_WARNING
session#890529843cd2/output.txt	120	PTB-ERROR: Some more diagnostic values (only for experts): preflip_vblcount = 0, preflip_vbltimestamp = 1113802.610703	PTB_WARNING
session#890529843cd2/output.txt	121	PTB-ERROR: Some more diagnostic values (only for experts): postflip_vblcount = 0, postflip_vbltimestamp = -1.000000, vbltimestampquery_retrycount = 0	PTB_WARNING
session#890529843cd2/output.txt	124	PTB-ERROR: Very unlikely: Something is broken in your systems beamposition timestamping. I've disabled high precision	PTB_WARNING
session#890529843cd2/output.txt	125	PTB-ERROR: timestamping for now. Returned timestamps will be less robust and accurate.	PTB_WARNING
session#890529843cd2/output.txt	127	PTB-ERROR: The most likely cause would be that Synchronization of stimulus onset (buffer swap) to the	PTB_WARNING
session#890529843cd2/output.txt	128	PTB-ERROR: vertical blank interval VBL is not working properly, or swap completion signalling to PTB is broken.	PTB_WARNING
session#890529843cd2/output.txt	129	PTB-ERROR: Please run the script PerceptualVBLSyncTest to check this. With non-working sync to VBL, all stimulus timing	PTB_WARNING
session#890529843cd2/output.txt	133	INFO: PTB's Screen('Flip', 10) command seems to have missed the requested stimulus presentation deadline	PTB_WARNING
session#890529843cd2/output.txt	134	INFO: a total of 286 times out of a total of 11809 flips during this <REDACTED_SESSION>.	DEBUG_ONLY
session#890529843cd2/output.txt	137	INFO: if you provided requested stimulus onset times with the 'when' argument of Screen('Flip', window [, when]);	DEBUG_ONLY
session#890529843cd2/output.txt	138	INFO: If you called Screen('Flip', window); without the 'when' argument, this count is more of a ''mild'' indicator	DEBUG_ONLY
session#890529843cd2/output.txt	188	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#890529843cd2/output.txt	196	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#890529843cd2/output.txt	198	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#890529843cd2/output.txt	199	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.582618 ms [60.304109 Hz]. (50 valid samples taken, stddev=0.229811 ms.)	PTB_WARNING
session#890529843cd2/output.txt	209	WARNING: Couldn't compute a reliable estimate of monitor refresh interval! Trouble with VBL syncing?!?	PTB_WARNING
session#890529843cd2/output.txt	215	of Psychtoolbox to the vertical retrace (VBL) is not working on your setup.	DEBUG_ONLY
session#890529843cd2/output.txt	257	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#890529843cd2/output.txt	265	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#890529843cd2/output.txt	267	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#890529843cd2/output.txt	268	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.582726 ms [60.303716 Hz]. (50 valid samples taken, stddev=0.218851 ms.)	PTB_WARNING
session#890529843cd2/output.txt	278	WARNING: Couldn't compute a reliable estimate of monitor refresh interval! Trouble with VBL syncing?!?	PTB_WARNING
session#890529843cd2/output.txt	284	of Psychtoolbox to the vertical retrace (VBL) is not working on your setup.	DEBUG_ONLY
session#890529843cd2/output.txt	326	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#890529843cd2/output.txt	334	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#890529843cd2/output.txt	336	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#890529843cd2/output.txt	337	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.582042 ms [60.306204 Hz]. (50 valid samples taken, stddev=0.117512 ms.)	PTB_WARNING
session#890529843cd2/output.txt	387	PTB-ERROR: Screen('Flip'); beamposition timestamping computed an *impossible stimulus onset value* of 1114070.672804 secs, which would indicate that	PTB_WARNING
session#890529843cd2/output.txt	388	PTB-ERROR: stimulus onset happened *before* it was actually requested! (Earliest theoretically possible 1114070.685859 secs).	PTB_WARNING
session#890529843cd2/output.txt	390	PTB-ERROR: Some more diagnostic values (only for experts): rawTimestamp = 1114070.686369, scanline = 490	PTB_WARNING
session#890529843cd2/output.txt	391	PTB-ERROR: Some more diagnostic values (only for experts): line_pre_swaprequest = 471, line_post_swaprequest = 480, time_post_swaprequest = 1114070.686097	PTB_WARNING
session#890529843cd2/output.txt	392	PTB-ERROR: Some more diagnostic values (only for experts): preflip_vblcount = 0, preflip_vbltimestamp = 1114070.672835	PTB_WARNING
session#890529843cd2/output.txt	393	PTB-ERROR: Some more diagnostic values (only for experts): postflip_vblcount = 0, postflip_vbltimestamp = -1.000000, vbltimestampquery_retrycount = 0	PTB_WARNING
session#890529843cd2/output.txt	396	PTB-ERROR: Very unlikely: Something is broken in your systems beamposition timestamping. I've disabled high precision	PTB_WARNING
session#890529843cd2/output.txt	397	PTB-ERROR: timestamping for now. Returned timestamps will be less robust and accurate.	PTB_WARNING
session#890529843cd2/output.txt	399	PTB-ERROR: The most likely cause would be that Synchronization of stimulus onset (buffer swap) to the	PTB_WARNING
session#890529843cd2/output.txt	400	PTB-ERROR: vertical blank interval VBL is not working properly, or swap completion signalling to PTB is broken.	PTB_WARNING
session#890529843cd2/output.txt	401	PTB-ERROR: Please run the script PerceptualVBLSyncTest to check this. With non-working sync to VBL, all stimulus timing	PTB_WARNING
session#f7a7f7029717/output.txt	66	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#f7a7f7029717/output.txt	74	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#f7a7f7029717/output.txt	76	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#f7a7f7029717/output.txt	77	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.589928 ms [60.277537 Hz]. (50 valid samples taken, stddev=0.164973 ms.)	PTB_WARNING
session#f7a7f7029717/output.txt	127	PTB-ERROR: Screen('Flip'); beamposition timestamping computed an *impossible stimulus onset value* of 289490.063365 secs, which would indicate that	PTB_WARNING
session#f7a7f7029717/output.txt	128	PTB-ERROR: stimulus onset happened *before* it was actually requested! (Earliest theoretically possible 289490.075752 secs).	PTB_WARNING
session#f7a7f7029717/output.txt	130	PTB-ERROR: Some more diagnostic values (only for experts): rawTimestamp = 289490.076853, scanline = 487	PTB_WARNING
session#f7a7f7029717/output.txt	131	PTB-ERROR: Some more diagnostic values (only for experts): line_pre_swaprequest = 446, line_post_swaprequest = 455, time_post_swaprequest = 289490.075993	PTB_WARNING
session#f7a7f7029717/output.txt	132	PTB-ERROR: Some more diagnostic values (only for experts): preflip_vblcount = 0, preflip_vbltimestamp = 289490.063413	PTB_WARNING
session#f7a7f7029717/output.txt	133	PTB-ERROR: Some more diagnostic values (only for experts): postflip_vblcount = 0, postflip_vbltimestamp = -1.000000, vbltimestampquery_retrycount = 0	PTB_WARNING
session#f7a7f7029717/output.txt	136	PTB-ERROR: Very unlikely: Something is broken in your systems beamposition timestamping. I've disabled high precision	PTB_WARNING
session#f7a7f7029717/output.txt	137	PTB-ERROR: timestamping for now. Returned timestamps will be less robust and accurate.	PTB_WARNING
session#f7a7f7029717/output.txt	139	PTB-ERROR: The most likely cause would be that Synchronization of stimulus onset (buffer swap) to the	PTB_WARNING
session#f7a7f7029717/output.txt	140	PTB-ERROR: vertical blank interval VBL is not working properly, or swap completion signalling to PTB is broken.	PTB_WARNING
session#f7a7f7029717/output.txt	141	PTB-ERROR: Please run the script PerceptualVBLSyncTest to check this. With non-working sync to VBL, all stimulus timing	PTB_WARNING
session#631985c900cb/output.txt	53	PTB-INFO: that i couldn't detect the duration of the vertical blank interval and won't be able to correct timestamps	PTB_WARNING
session#631985c900cb/output.txt	61	PTB-INFO: VBL startline = 600 , VBL Endline = 599	PTB_WARNING
session#631985c900cb/output.txt	63	PTB-INFO: Will use beamposition query for accurate Flip time stamping.	PTB_WARNING
session#631985c900cb/output.txt	64	PTB-INFO: Measured monitor refresh interval from VBLsync = 16.594890 ms [60.259514 Hz]. (50 valid samples taken, stddev=0.306893 ms.)	PTB_WARNING
session#631985c900cb/output.txt	74	WARNING: Couldn't compute a reliable estimate of monitor refresh interval! Trouble with VBL syncing?!?	PTB_WARNING
session#631985c900cb/output.txt	80	of Psychtoolbox to the vertical retrace (VBL) is not working on your setup.	DEBUG_ONLY
session#631985c900cb/output.txt	115	PTB-ERROR: Screen('Flip'); beamposition timestamping computed an *impossible stimulus onset value* of 79143.657464 secs, which would indicate that	PTB_WARNING
session#631985c900cb/output.txt	116	PTB-ERROR: stimulus onset happened *before* it was actually requested! (Earliest theoretically possible 79143.670662 secs).	PTB_WARNING
session#631985c900cb/output.txt	118	PTB-ERROR: Some more diagnostic values (only for experts): rawTimestamp = 79143.673921, scanline = 594	PTB_WARNING
