file	ProtocolName	SeriesNumber	Channels	has_EXT_or_trigger	interpretation
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-01_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-01_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-01_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-03_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-03_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-03_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-05_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-05_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-05_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-07_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-07_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-001/ses-02/func/sub-001_ses-02_task-movie_run-07_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-01_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-01_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-01_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-03_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-03_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-03_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-05_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-05_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-05_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-07_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-07_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-002/ses-02/func/sub-002_ses-02_task-movie_run-07_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-003/ses-02/func/sub-003_ses-02_task-movie_run-01_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-003/ses-02/func/sub-003_ses-02_task-movie_run-01_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-003/ses-02/func/sub-003_ses-02_task-movie_run-03_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-003/ses-02/func/sub-003_ses-02_task-movie_run-03_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-003/ses-02/func/sub-003_ses-02_task-movie_run-05_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
