bids_root	participant_id	session_id	bids_run	bold_path	events_tsv	status	stim_file	eye	movie_label	matlab_run_id	mapping_confidence	mapping_method	ProtocolName	observed_n_volumes	observed_TR	onset	duration
/home/alexrees/scratch/bids	sub-001	ses-01	run-01	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-01_bold.nii.gz	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-01_events.tsv	WRITTEN	Movie1A.mp4	left	Movie1	1	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-01	run-03	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-03_bold.nii.gz	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-03_events.tsv	WRITTEN	Movie2A.mp4	right	Movie2	2	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-01	run-05	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-05_bold.nii.gz	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-05_events.tsv	WRITTEN	Movie1B.mp4	right	Movie3	3	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-01	run-07	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-07_bold.nii.gz	sub-001/ses-01/func/sub-001_ses-01_task-movie_run-07_events.tsv	WRITTEN	Movie2B.mp4	left	Movie4	4	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-02	run-01	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-01_bold.nii.gz	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-01_events.tsv	WRITTEN	Movie1A.mp4	left	Movie1	1	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-02	run-03	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-03_bold.nii.gz	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-03_events.tsv	WRITTEN	Movie2A.mp4	right	Movie2	2	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-02	run-05	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-05_bold.nii.gz	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-05_events.tsv	WRITTEN	Movie1B.mp4	right	Movie3	3	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-001	ses-02	run-07	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-07_bold.nii.gz	sub-001/ses-02/func/sub-001_ses-02_task-movie_run-07_events.tsv	WRITTEN	Movie2B.mp4	left	Movie4	4	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-002	ses-01	run-01	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-01_bold.nii.gz	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-01_events.tsv	WRITTEN	Movie1A.mp4	left	Movie1	1	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-002	ses-01	run-03	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-03_bold.nii.gz	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-03_events.tsv	WRITTEN	Movie2A.mp4	right	Movie2	2	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-002	ses-01	run-05	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-05_bold.nii.gz	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-05_events.tsv	WRITTEN	Movie1B.mp4	right	Movie3	3	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP		0.937	0.0	196.821333
/home/alexrees/scratch/bids	sub-002	ses-01	run-07	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-07_bold.nii.gz	sub-002/ses-01/func/sub-002_ses-01_task-movie_run-07_events.tsv	WRITTEN	Movie2B.mp4	left	Movie4	4	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP		0.937	0.0	196.821333
