archive_path	internal_filename	reason_flagged	possible_timing_relevance
<RAW>/Control/SUBC51_Session01_2024OCT15/SUBC051_Session01_2024OCT15_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC51_Session01_2024OCT15/SUBC051_SESSION1_2024OCT15-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC31_Session01_2024FEB01/SUBC31_Session01_2024FEB01_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC33_Session01_2024FEB09/SUBC33_Session02_2024FEB09_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC09_Session02_2023DEC02/SUBC09_Session02_2023DEC02_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC54_Session01_2024NOV29/SUBC054_SESSION01_2024NOV29-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC27-Session2-2024JUL17/SUBC27-Session2-2024JUL17-recording.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC47_Session1_2024AUG27/SUBC47_2024AUG27_session1.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC47_Session1_2024AUG27/SUBC47-session1-recording.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC04-SESSION2-2023NOV19/SUBC04-Session2-2023NOV19_EYETRACKING.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC42_Session01_2024MAY06/SUBC42_Session01_2024MAY06_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC35_SESSION01_2024FEB20/SUBC35_Session1_2024FEB20_Eyetracking_Data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC17_Session02_2024APR09/SUBC17_Session02_2024APR09_EYETRACKING.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC53_Session01_2024NOV08/SUBC53_Session01_2024NOV08-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC53_Session01_2024NOV08/eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC57_Session01_2025AUG11/SUBC057_SESSION01_2025AUG11data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024JAN10_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC16-Session1-2023AUG08/SUBC16_Session01_2023AUG08_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC34_Session1_2024FEB12/SUBC34_Session1_2024FEB12_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC55_SESSION01_2025FEB11/SUBC55-dicom-complete.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC39_Session2_2024SEP08/eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC29-Session2-2024JUL14/SUBC29_Session02_2024JULY14_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC44_SESSION01_2024JUL25/SUBC044_Session1_2024JUL25_EYETRACKING.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC44_Session02_2025FEB19/SUBC44_Session02_2025FEB19-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC30-SESSION2-2024JUL20/SUBC30-Session2-2024JUL20-recordings.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC30_Session01_2024JAN19/SUBC30_Session01_2024JAN19_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC39_Session01_2024MAR10/SUBC39_Session1_2024MAR10_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC13-Session1-2023JUL17/eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC13-Session1-2023JUL17/SUBC13_Session01_2023JUL17_Matlab/SUBC13-Matlab-eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC10-Session1-2023JUL05/SUBC10_Session01_2023JUL05_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC15-Session1-2023AUG07/SUBC15_Session_2023AUG07_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC45_Session01_29JUL2024/SUBC045_Session01_29JUL2024-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC45_Session01_29JUL2024/Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC33_Session02_2024AUG15/SUBC033_Session02_2024AUG15_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC24-Session01-2023OCT17/SUBC24-Session01-2023OCT17-Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC55_SESSION02_2025AUG14/SUBC55_SESSION02_2025AUG14-eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC43_SESSION01_2024MAY13/SUBC43_SESSION01_2024MAY13_EYETRACKING.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC43_SESSION01_2024MAY13/SUBC43_SESSION01_2024MAY13_DATA.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC12_Session02_2024JAN09/SUBC12-Session2_2024JAN09_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC38_Session01_2024MAR07/SUBC38_Session01_2024MAR07_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC43_SESSION02_2024NOV13_2/SUBC43_SESSION02_2024NOV13_2-eyetracking.zip	SUBC043_Session02_2024NOV13_eyetracking_Events.txt	event	MEDIUM
<RAW>/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC04-SESSION01-2023MAY22/SUBC04-Session2-2023MAY22_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC20_Session02_2024MAR05/SUBC20_Session02_2024MAR5_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-tracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB08_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-eye-recording.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC22-Session1-2023SEPT28/SUBC22-Session1-2023SEPT28-EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC08-Session1-2023Jun02/SUBC08_Session01_2023JUN02_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC36_SESSION01_27_FEB2024/SUBC36_Session01_27FEB2024_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC26_Session2_2024APR19/SUBC26_Session2_2024APR19_tracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC11-Session1-2023JUL11/SUBC011_Session01_2023JUL11_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC24-SESSION2-2024APR27/SUBC24-session2-2024-APR-27-Recording.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC26-Session1-2023OCT20/SUBC26-Session1-2023OCT20-recordings.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC06-Session1-2023MAY25/SUBC06_Session01_2023MAY25_EYETRACKING.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_eyetracking.zip	SUBC03_Session01_2023MAY19_eyetracking/SUBC03-re_Events.txt	event	MEDIUM
<RAW>/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_eyetracking.zip	SUBC03_Session01_2023MAY19_eyetracking/SUBC03_2_Events.txt	event	MEDIUM
<RAW>/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_eyetracking.zip	SUBC03_Session01_2023MAY19_eyetracking/SUBC03_Events.txt	event	MEDIUM
<RAW>/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_eyetracking.zip	SUBC03_Session01_2023MAY19_eyetracking/SUBC03_Restarted_2023MAY19_Events.txt	event	MEDIUM
<RAW>/Control/SUBC25_Session02_2024APR23/SUBC25_Session02_2024APR23_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC23_Session02_2024APR22/SUBC23_Session02_2024APR22_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC46_Session01_2024AUG23/SUBC046_Session01_2024AUG23-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC46_Session01_2024AUG23/SUBC046_Session01_2024AUG23_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC32_Session01_2024FEB03/SUBC32_Session01_2024FEB03_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC40_SESSION01_2024MAR18/SUBC40_SESSION01_2024MAR18_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC41_Session02_2024OCT04/eyetracking.zip	eyetracking/SUBC041_Session02_eyetracking_Events.txt	event	MEDIUM
<RAW>/Control/SUBC41_Session02_2024OCT04/eyetracking.zip	eyetracking/SUBC041_Session02_maindata_2_Events.txt	event	MEDIUM
<RAW>/Control/SUBC41_Session02_2024OCT04/eyetracking.zip	eyetracking/SUBC041_Session02_maindata_Events.txt	event	MEDIUM
<RAW>/Control/SUBC49_Session2_2025March21/SUBC49_SESSION02_2025MAR21_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC40_Session02_2024OCT05/SUBC040-Session2-2024OCT05-eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC05-Session1-2023MAY24/SUBC05_Session01_2023MAY24_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC50_Session01_2024OCT11/SUBC050_Session01_2024OCT11_data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
