subject	session	protocol	series_number	series_time	has_EXT	sampling_frequency	start_time	n_samples	trigger_count	first_trigger	last_trigger	trigger_interval_mean	trigger_interval_std	unique_values	usable_for_sync	usable_for_stimulus_onset	comments	filepath
sub-027	ses-01	Movie4_AP	41	120739.553000	no	125.000000	17384943	0	0						FALSE	FALSE		<RAW>/Control/SUBC028_Session01_2023DEC09/SUBC28_SESSION01_2023DEC09_NII/MOVIE4_AP_PHYSIOLOG_0041/SUBC028-SESSION1-2023DEC09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2024.02.05.18.27.59.726983.2567249.IMA
sub-027	ses-01	Movie2_AP	29	115840.512000	no	125.000000	17169090	0	0						FALSE	FALSE		<RAW>/Control/SUBC028_Session01_2023DEC09/SUBC28_SESSION01_2023DEC09_NII/MOVIE2_AP_PHYSIOLOG_0029/SUBC028-SESSION1-2023DEC09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2024.02.05.18.27.59.726983.2463817.IMA
sub-027	ses-01	Movie3_AP	37	120345.524000	no	125.000000	17291235	0	0						FALSE	FALSE		<RAW>/Control/SUBC028_Session01_2023DEC09/SUBC28_SESSION01_2023DEC09_NII/MOVIE3_AP_PHYSIOLOG_0037/SUBC028-SESSION1-2023DEC09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2024.02.05.18.27.59.726983.2517077.IMA
sub-027	ses-01	Movie1_AP	25	115435.713000	no	125.000000	17071361	0	0						FALSE	FALSE		<RAW>/Control/SUBC028_Session01_2023DEC09/SUBC28_SESSION01_2023DEC09_NII/MOVIE1_AP_PHYSIOLOG_0025/SUBC028-SESSION1-2023DEC09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2024.02.05.18.27.59.726983.2413639.IMA
sub-028	ses-01	Movie1_AP	25	122928.382000	no	125.000000	17908475	0	0						FALSE	FALSE		<RAW>/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/MOVIE1_AP_PHYSIOLOG_0025/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.12.16.13.47.11.921404.6329415.IMA
sub-002	ses-01	Movie3_AP	37	152807.935000	yes	125.000000	22196284	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE3_AP_PHYSIOLOG_0037/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.05.16.13.09.02.852597.124946537.IMA
sub-002	ses-01	Movie1_AP	29	151858.532000	yes	125.000000	21976235	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE1_AP_PHYSIOLOG_0029/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.05.16.13.09.02.852597.124847199.IMA
sub-001	ses-01	Movie4_AP	37	151615.272000	yes	125.000000	21910919	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE4_AP_PHYSIOLOG_0037/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.05.08.12.17.15.267862.121821267.IMA
sub-002	ses-01	Movie4_AP	41	153313.723000	yes	125.000000	22318292	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE4_AP_PHYSIOLOG_0041/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.05.16.13.09.02.852597.124996709.IMA
sub-002	ses-01	Movie2_AP	33	152306.858000	yes	125.000000	22075548	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE2_AP_PHYSIOLOG_0033/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0033.0001.2023.05.16.13.09.02.852597.124897377.IMA
sub-001	ses-01	Movie2_AP	29	150820.641000	yes	125.000000	21721113	453	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE2_AP_PHYSIOLOG_0029/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.05.08.12.17.15.267862.121722953.IMA
sub-001	ses-01	Movie1_AP	25	150418.773000	yes	125.000000	21624413	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE1_AP_PHYSIOLOG_0025/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.05.08.12.17.15.267862.121671751.IMA
sub-001	ses-01	Movie3_AP	33	151218.136000	yes	125.000000	21816388	458	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE3_AP_PHYSIOLOG_0033/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0033.0001.2023.05.08.12.17.15.267862.121771083.IMA
