subject	session	bids_run	ProtocolName	n_volumes	TR	PhysioLog_available	EXT_available	EXT_usable_for_scanner_sync	MATLAB_timing_available	Peripheral_EXT_available	DICOM_stimulus_trigger_available	flag_A_matlab_full	flag_B_physio_ext_sync	flag_C_peripheral	flag_D_dicom_stim	classification
sub-001	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-001	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-002	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-003	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	no	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	no	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	no	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-004	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	no	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-005	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-09	Movie4_AP_redo_cuz_gogle_moved		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
