task_id	participant	session	slurm_state	elapsed	n_html	n_t1_json	n_bold_json	expected_t1w	expected_bold	status
1	sub-001	ses-01	COMPLETED	00:49:13	15	3	12	3	12	COMPLETE
2	sub-001	ses-02	COMPLETED	00:53:13	15	3	12	3	12	COMPLETE
3	sub-002	ses-01	COMPLETED	00:50:39	15	3	12	3	13	COMPLETE
4	sub-002	ses-02	COMPLETED	00:52:17	15	3	12	3	12	COMPLETE
5	sub-003	ses-01	COMPLETED	00:55:58	15	3	12	3	12	COMPLETE
6	sub-003	ses-02	COMPLETED	00:50:21	15	3	12	3	12	COMPLETE
7	sub-004	ses-01	COMPLETED	00:51:47	15	3	12	3	12	COMPLETE
8	sub-004	ses-02	COMPLETED	00:50:44	15	3	12	3	12	COMPLETE
9	sub-005	ses-01	COMPLETED	00:51:40	16	3	13	3	13	COMPLETE
10	sub-005	ses-02	COMPLETED	00:49:36	15	3	12	3	12	COMPLETE
11	sub-006	ses-01	COMPLETED	00:51:44	15	3	12	3	12	COMPLETE
12	sub-006	ses-02	COMPLETED	00:50:07	15	3	12	3	12	COMPLETE
13	sub-007	ses-01	COMPLETED	00:54:31	14	3	11	3	13	COMPLETE
14	sub-007	ses-02	COMPLETED	00:52:08	6	3	3	3	12	COMPLETE
15	sub-008	ses-01	COMPLETED	00:52:55	13	3	10	3	14	COMPLETE
16	sub-008	ses-02	COMPLETED	01:00:32	13	2	11	3	12	COMPLETE
17	sub-009	ses-01	COMPLETED	00:48:47	15	3	12	3	12	COMPLETE
18	sub-009	ses-02	COMPLETED	00:54:47	15	3	12	3	12	COMPLETE
19	sub-010	ses-01	COMPLETED	00:39:14	10	3	7	3	10	COMPLETE
20	sub-011	ses-01	COMPLETED	00:52:40	5	3	2	3	13	COMPLETE
21	sub-011	ses-02	FAILED	00:49:18	5	3	2	3	12	FAILED_BUT_HAS_OUTPUT
22	sub-012	ses-01	RUNNING	17:00:23	0	3	0	3	13	RUNNING
23	sub-012	ses-02	RUNNING	17:00:23	0	3	0	3	12	RUNNING
24	sub-013	ses-01	RUNNING	17:00:23	0	2	2	3	12	RUNNING
25	sub-014	ses-01	RUNNING	17:00:23	0	3	0	3	12	RUNNING
26	sub-015	ses-01	RUNNING	17:00:23	0	3	0	3	13	RUNNING
27	sub-015	ses-02	RUNNING	17:00:22	0	3	0	3	12	RUNNING
28	sub-016	ses-01	RUNNING	16:54:23	0	3	0	3	12	RUNNING
29	sub-016	ses-02	RUNNING	16:54:23	0	3	0	3	13	RUNNING
30	sub-017	ses-01	RUNNING	16:54:23	0	3	0	3	12	RUNNING
31	sub-017	ses-02	RUNNING	16:54:23	0	3	0	3	12	RUNNING
32	sub-018	ses-01	RUNNING	16:54:23	0	2	0	2	12	RUNNING
33	sub-019	ses-01	RUNNING	16:54:23	0	3	0	3	12	RUNNING
34	sub-019	ses-02	RUNNING	16:54:23	0	3	0	3	12	RUNNING
35	sub-020	ses-01	RUNNING	16:54:23	0	3	0	3	12	RUNNING
36	sub-021	ses-01	RUNNING	16:54:22	0	3	0	3	12	RUNNING
37	sub-021	ses-02	RUNNING	16:42:22	0	0	0	3	13	RUNNING
38	sub-022	ses-01	RUNNING	16:42:22	6	2	4	2	12	RUNNING
39	sub-022	ses-02	RUNNING	16:42:22	0	0	0	3	12	RUNNING
40	sub-023	ses-01	RUNNING	16:42:22	0	3	0	3	13	RUNNING
41	sub-023	ses-02	FAILED	00:00:04	0	0	0	3	12	SLURM_FAILED
42	sub-024	ses-01	FAILED	00:00:01	0	0	0	1	9	SLURM_FAILED
43	sub-024	ses-02	FAILED	00:00:01	0	0	0	3	14	SLURM_FAILED
44	sub-025	ses-01	COMPLETED	00:56:25	16	3	13	3	13	COMPLETE
45	sub-025	ses-02	COMPLETED	00:53:12	15	3	12	3	12	COMPLETE
46	sub-026	ses-01	COMPLETED	01:00:47	6	3	3	3	12	COMPLETE
47	sub-026	ses-02	COMPLETED	00:51:23	7	3	4	3	12	COMPLETE
48	sub-027	ses-01	COMPLETED	00:53:36	15	3	12	3	12	COMPLETE
49	sub-027	ses-02	COMPLETED	00:52:54	14	3	11	3	12	COMPLETE
50	sub-028	ses-01	COMPLETED	00:54:31	15	3	12	3	12	COMPLETE
51	sub-028	ses-02	COMPLETED	00:48:21	15	3	12	3	12	COMPLETE
52	sub-029	ses-01	COMPLETED	00:49:11	13	3	10	3	12	COMPLETE
53	sub-029	ses-02	COMPLETED	00:49:29	6	3	3	3	12	COMPLETE
54	sub-030	ses-01	COMPLETED	00:49:30	9	3	6	3	12	COMPLETE
55	sub-030	ses-02	COMPLETED	00:49:33	11	3	8	3	12	COMPLETE
56	sub-031	ses-01	COMPLETED	00:51:10	15	3	12	3	12	COMPLETE
57	sub-031	ses-02	COMPLETED	00:54:35	15	3	12	3	12	COMPLETE
58	sub-032	ses-01	COMPLETED	00:52:06	15	3	12	3	12	COMPLETE
59	sub-033	ses-01	COMPLETED	00:50:35	9	2	7	2	12	COMPLETE
60	sub-034	ses-01	COMPLETED	00:46:47	15	3	12	3	12	COMPLETE
61	sub-034	ses-02	RUNNING	00:39:14	0	3	0	3	12	RUNNING
