subject	session	stem	size_mb
sub-002	ses-01	sub-002_ses-01_task-fmri_run-07_bold	5.514043
sub-007	ses-01	sub-007_ses-01_task-movie_run-07_bold	299.121579
sub-007	ses-01	sub-007_ses-01_task-rest_run-01_bold	455.928894
sub-007	ses-02	sub-007_ses-02_task-fmri_run-01_bold	319.227428
sub-007	ses-02	sub-007_ses-02_task-fmri_run-03_bold	319.725692
sub-007	ses-02	sub-007_ses-02_task-fmri_run-05_bold	322.161282
sub-007	ses-02	sub-007_ses-02_task-fmri_run-07_bold	322.326561
sub-007	ses-02	sub-007_ses-02_task-movie_run-01_bold	297.070824
sub-007	ses-02	sub-007_ses-02_task-movie_run-03_bold	297.114465
sub-007	ses-02	sub-007_ses-02_task-movie_run-05_bold	296.865088
sub-007	ses-02	sub-007_ses-02_task-movie_run-07_bold	297.474431
sub-007	ses-02	sub-007_ses-02_task-rest_run-01_bold	453.431319
sub-008	ses-01	sub-008_ses-01_task-fmri_run-03_bold	336.18833
sub-008	ses-01	sub-008_ses-01_task-fmri_run-05_bold	335.095619
sub-008	ses-01	sub-008_ses-01_task-movie_run-01_bold	312.647743
sub-008	ses-01	sub-008_ses-01_task-rest_run-01_bold	477.017302
sub-008	ses-02	sub-008_ses-02_task-fmri_run-07_bold	336.357987
sub-010	ses-01	sub-010_ses-01_task-fmri_run-05_bold	321.404287
sub-010	ses-01	sub-010_ses-01_task-movie_run-01_bold	75.597081
sub-010	ses-01	sub-010_ses-01_task-movie_run-03_bold	50.185181
sub-011	ses-01	sub-011_ses-01_task-control_run-01_bold	28.272966
sub-011	ses-01	sub-011_ses-01_task-fmri_run-01_bold	321.670178
sub-011	ses-01	sub-011_ses-01_task-fmri_run-03_bold	4.269428
sub-011	ses-01	sub-011_ses-01_task-fmri_run-05_bold	321.743915
sub-011	ses-01	sub-011_ses-01_task-fmri_run-07_bold	320.582624
sub-011	ses-01	sub-011_ses-01_task-fmri_run-09_bold	320.834022
sub-011	ses-01	sub-011_ses-01_task-movie_run-01_bold	300.488643
sub-011	ses-01	sub-011_ses-01_task-movie_run-03_bold	301.77685
sub-011	ses-01	sub-011_ses-01_task-movie_run-05_bold	301.281179
