board	metric	n	median	p95
BOLD	Head motion (fd_mean)	1494	0.1757721882075032	0.3667686748652885
BOLD	Temporal SNR	1494	20.637632498284802	32.30452826383989
BOLD	Signal-to-noise (SNR)	1494	1.3936631432072124	1.9409444825972444
BOLD	Global correlation (GCOR)	1494	0.00275447	0.0087356325
BOLD	Ghost-to-signal GSR (PE)	1494	0.040779352188110296	0.11215305998921384
BOLD	Ghost-to-signal GSR (X)	1494	0.00363315781578415	0.041108566150069144
T1w	Contrast-to-noise (CNR)	354	1.5116479374369436	1.9182792606471308
T1w	Coeff. of joint variation (CJV)	354	0.6282663227363043	0.9531147402819174
T1w	Entropy-focus criterion (EFC)	354	0.544	0.616355
T1w	Intensity non-uniformity (INU med)	354	0.9803913682699203	1.125503396987915
