modality	iqm	description	direction	unit	n	mean	median	sd	min	max
T1w	cjv	Coefficient of joint variation (GM/WM)	↓ better	a.u.	354	0.6912986600760787	0.6282663227363043	0.1704883633942157	0.4021875210842482	1.166911801242236
T1w	cnr	Contrast-to-noise ratio	↑ better	a.u.	354	1.4018018146383926	1.5116479374369436	0.3844544099495182	0.5301255633916225	2.17359158623553
T1w	efc	Entropy focus criterion	↓ better	a.u.	354	0.5447590395480225	0.544	0.043244051354436874	0.4117	0.6614
T1w	fber	Foreground–background energy ratio	↑ better	a.u.	354	6856.416731638421	6442.8027	6466.722754375104	43.5667	27062.5035
T1w	fwhm_avg	Spatial smoothness (FWHM average)	context	mm	354	4.156966682846743	4.558562545424179	0.8717536161880092	2.5689766666666665	6.003158389708594
T1w	fwhm_x	Spatial smoothness FWHM x	context	mm	354	4.107608515114137	4.501194018292071	0.8485469907213287	2.50619	5.8718628499903
T1w	fwhm_y	Spatial smoothness FWHM y	context	mm	354	4.128144620099144	4.484574933174626	0.8228672797477634	2.6445	5.817699913309516
T1w	fwhm_z	Spatial smoothness FWHM z	context	mm	354	4.235146913326956	4.66095618054634	0.9536776073637231	2.51975	6.319912405825966
T1w	icvs_csf	Intracranial volume fraction CSF	context	fraction	354	0.26109753897477095	0.2606149949770509	0.009526567698494677	0.22329459618890612	0.28768831423515356
T1w	icvs_gm	Intracranial volume fraction GM	context	fraction	354	0.3752348514326729	0.37490755598428693	0.011866000853730728	0.3134854261293206	0.3997428759545873
T1w	icvs_wm	Intracranial volume fraction WM	context	fraction	354	0.3636676095925566	0.3604816697936766	0.012904542774202464	0.3401163935430749	0.46321997768177325
T1w	inu_med	Intensity non-uniformity (median)	↓ better	a.u.	354	0.844855530450573	0.9803913682699203	0.2515128503737305	0.3581337034702301	1.3532723188400269
T1w	inu_range	Intensity non-uniformity (range)	↓ better	a.u.	354	0.4142754568471069	0.2254111520946026	0.38074053868140967	0.016735923290252752	1.2592585414648054
T1w	qi_1	Mortamet QI1 (air artifact)	↓ better	a.u.	354	0.0	0.0	0.0	0.0	0.0
T1w	qi_2	Mortamet QI2 (air artifact)	↓ better	a.u.	354	0.0007171748837016212	0.0005723237437072696	0.0005348247324511836	1.9847048457400966e-05	0.0024419995133428854
T1w	rpve_csf	Residual partial volume CSF	↓ better	a.u.	354	6.496035245281639	6.429168290191981	0.6503626485866193	5.036386314483979	8.480091680873338
T1w	rpve_gm	Residual partial volume GM	↓ better	a.u.	354	6.393489123108083	6.347532069088351	0.6424115449485613	4.974046403176211	8.379469998822612
T1w	rpve_wm	Residual partial volume WM	↓ better	a.u.	354	6.498199070503976	6.478272813281445	0.6302332909760253	5.148171252242812	8.458212044037007
T1w	snr_csf	SNR in CSF	↑ better	a.u.	354	1.9429930494021588	1.9363693434532592	0.18383924162486276	1.1914318295906454	2.64486767954165
T1w	snr_gm	SNR in GM	↑ better	a.u.	354	4.533911879936402	5.104312444770276	1.7125181058027237	1.2369878451691838	7.723753424173406
T1w	snr_total	SNR total	↑ better	a.u.	354	4.638355101819965	5.519750688142798	2.1312202196227625	1.0066333272961039	8.582648104211811
T1w	snr_wm	SNR in WM	↑ better	a.u.	354	7.438160376121328	9.523549307885213	4.786849355755475	0.18724405881318873	16.360823950955464
T1w	snrd_csf	Dietrich SNR CSF	↑ better	a.u.	354	17.477182554757402	15.163246837334261	13.029351748899021	1.2299203096572782	69.26919898089172
T1w	snrd_gm	Dietrich SNR GM	↑ better	a.u.	354	26.51231482547366	19.65647571714011	23.569157039955293	2.360631508984831	123.51616203821656
T1w	snrd_total	Dietrich SNR total	↑ better	a.u.	354	23.68665370817423	15.753411499074673	22.62663781965239	2.175124196966161	118.39747424203823
T1w	snrd_wm	Dietrich SNR WM	↑ better	a.u.	354	27.070463744291544	12.680905269628546	34.546135515402	0.24575498359082998	162.40706170700636
T1w	tpm_overlap_csf	Tissue probability map overlap CSF	↑ better	Dice-like	354	0.2247518450805305	0.21311883796986225	0.035275736121802334	0.15477545795468298	0.2913566832354577
T1w	tpm_overlap_gm	Tissue probability map overlap GM	↑ better	Dice-like	354	0.5303199063495245	0.5294283954313935	0.013352036753990295	0.4202355386651884	0.5666758801740771
T1w	tpm_overlap_wm	Tissue probability map overlap WM	↑ better	Dice-like	354	0.5263530708969157	0.535481518920297	0.028928388452521006	0.4193707083065285	0.5726100523751538
T1w	wm2max	WM median / max intensity	context	ratio	354	0.4395212811737909	0.40333367415225296	0.32026315660592336	0.011185505286206984	0.9052755233667373
BOLD	aor	AFNI outlier ratio	↓ better	fraction	1494	0.00409863799615209	0.0009921816499394976	0.005761981381930253	0.00023471337579617836	0.079537
BOLD	aqi	AFNI quality index	↓ better	a.u.	1494	0.012454561750257519	0.00954916123635383	0.009681943043387592	0.004055860555555556	0.11310513539823008
