subject	n_outlier_flags	publication_note
sub-012	102	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-080	34	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-084	32	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-040	25	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-031	24	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-006	22	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-027	22	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-053	17	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-066	16	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-069	15	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-030	14	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-064	14	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-076	13	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-052	13	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-018	13	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-048	12	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-072	12	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-002	11	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-022	11	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-054	10	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-005	10	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-025	10	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-023	9	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-075	9	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-055	9	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-011	9	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-014	9	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-043	8	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-032	8	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-042	8	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-038	8	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-081	8	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-007	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-008	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-036	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-028	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-041	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-026	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-009	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-015	7	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-051	6	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-079	6	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-078	6	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-044	6	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-049	6	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-003	6	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-035	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-056	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-019	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-039	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-083	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-074	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-068	5	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-016	4	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-071	4	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-034	4	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-062	4	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-059	4	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-065	4	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-010	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-050	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-013	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-001	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-017	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-045	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
sub-070	3	Exploratory within-dataset outlier flags (z>3 and/or Tukey IQR); not automatic exclusions
