participant	session	modality	nifti_path	json_path	release_json_relative	json_exists	status	detail
sub-001	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.json	sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.json	yes	OK	
sub-001	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.json	sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.json	yes	OK	
sub-001	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.json	sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.json	yes	OK	
sub-001	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.json	sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.json	yes	OK	
sub-001	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.json	sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.json	yes	OK	
sub-001	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.json	sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.json	yes	OK	
sub-002	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.json	sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.json	yes	OK	
sub-002	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.json	sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.json	yes	OK	
sub-002	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.json	sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.json	yes	OK	
sub-002	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.json	sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.json	yes	OK	
sub-002	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.json	sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.json	yes	OK	
sub-002	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.json	sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.json	yes	OK	
sub-003	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.json	sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.json	yes	OK	
sub-003	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.json	sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.json	yes	OK	
sub-003	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.json	sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.json	yes	OK	
sub-003	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.json	sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.json	yes	OK	
sub-003	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.json	sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.json	yes	OK	
sub-003	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.json	sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.json	yes	OK	
sub-004	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.json	sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.json	yes	OK	
sub-004	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.json	sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.json	yes	OK	
sub-004	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.json	sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.json	yes	OK	
sub-004	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.json	sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.json	yes	OK	
sub-004	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.json	sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.json	yes	OK	
sub-004	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.json	sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.json	yes	OK	
sub-005	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.json	sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.json	yes	OK	
sub-005	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.json	sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.json	yes	OK	
sub-005	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.json	sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.json	yes	OK	
sub-005	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.json	sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.json	yes	OK	
sub-005	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.json	sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.json	yes	OK	
sub-005	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.json	sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.json	yes	OK	
sub-006	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.json	sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.json	yes	OK	
sub-006	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.json	sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.json	yes	OK	
sub-006	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.json	sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.json	yes	OK	
sub-006	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-01_T1w.json	sub-006/ses-02/anat/sub-006_ses-02_run-01_T1w.json	yes	OK	
sub-006	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-02_T1w.json	sub-006/ses-02/anat/sub-006_ses-02_run-02_T1w.json	yes	OK	
sub-006	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-02/anat/sub-006_ses-02_run-03_T1w.json	sub-006/ses-02/anat/sub-006_ses-02_run-03_T1w.json	yes	OK	
sub-007	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-01_T1w.json	sub-007/ses-01/anat/sub-007_ses-01_run-01_T1w.json	yes	OK	
sub-007	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-02_T1w.json	sub-007/ses-01/anat/sub-007_ses-01_run-02_T1w.json	yes	OK	
sub-007	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-01/anat/sub-007_ses-01_run-03_T1w.json	sub-007/ses-01/anat/sub-007_ses-01_run-03_T1w.json	yes	OK	
sub-007	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-01_T1w.json	sub-007/ses-02/anat/sub-007_ses-02_run-01_T1w.json	yes	OK	
sub-007	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-02_T1w.json	sub-007/ses-02/anat/sub-007_ses-02_run-02_T1w.json	yes	OK	
sub-007	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-007/ses-02/anat/sub-007_ses-02_run-03_T1w.json	sub-007/ses-02/anat/sub-007_ses-02_run-03_T1w.json	yes	OK	
sub-008	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.json	sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.json	yes	OK	
sub-008	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.json	sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.json	yes	OK	
sub-008	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-01/anat/sub-008_ses-01_run-03_T1w.json	sub-008/ses-01/anat/sub-008_ses-01_run-03_T1w.json	yes	OK	
sub-008	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-01_T1w.json	sub-008/ses-02/anat/sub-008_ses-02_run-01_T1w.json	yes	OK	
sub-008	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.json	sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.json	yes	OK	
sub-008	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-008/ses-02/anat/sub-008_ses-02_run-03_T1w.json	sub-008/ses-02/anat/sub-008_ses-02_run-03_T1w.json	yes	OK	
sub-009	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-01_T1w.json	sub-009/ses-01/anat/sub-009_ses-01_run-01_T1w.json	yes	OK	
sub-009	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-02_T1w.json	sub-009/ses-01/anat/sub-009_ses-01_run-02_T1w.json	yes	OK	
sub-009	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-01/anat/sub-009_ses-01_run-03_T1w.json	sub-009/ses-01/anat/sub-009_ses-01_run-03_T1w.json	yes	OK	
sub-009	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-01_T1w.json	sub-009/ses-02/anat/sub-009_ses-02_run-01_T1w.json	yes	OK	
sub-009	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-02_T1w.json	sub-009/ses-02/anat/sub-009_ses-02_run-02_T1w.json	yes	OK	
sub-009	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-009/ses-02/anat/sub-009_ses-02_run-03_T1w.json	sub-009/ses-02/anat/sub-009_ses-02_run-03_T1w.json	yes	OK	
sub-010	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-01_T1w.json	sub-010/ses-01/anat/sub-010_ses-01_run-01_T1w.json	yes	OK	
sub-010	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-02_T1w.json	sub-010/ses-01/anat/sub-010_ses-01_run-02_T1w.json	yes	OK	
sub-010	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-010/ses-01/anat/sub-010_ses-01_run-03_T1w.json	sub-010/ses-01/anat/sub-010_ses-01_run-03_T1w.json	yes	OK	
sub-011	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-01_T1w.json	sub-011/ses-01/anat/sub-011_ses-01_run-01_T1w.json	yes	OK	
sub-011	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.json	sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.json	yes	OK	
sub-011	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.json	sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.json	yes	OK	
sub-011	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-01_T1w.json	sub-011/ses-02/anat/sub-011_ses-02_run-01_T1w.json	yes	OK	
sub-011	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.json	sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.json	yes	OK	
sub-011	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-011/ses-02/anat/sub-011_ses-02_run-03_T1w.json	sub-011/ses-02/anat/sub-011_ses-02_run-03_T1w.json	yes	OK	
sub-012	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-01_T1w.json	sub-012/ses-01/anat/sub-012_ses-01_run-01_T1w.json	yes	OK	
sub-012	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.json	sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.json	yes	OK	
sub-012	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	yes	OK	
sub-012	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.json	sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.json	yes	OK	
sub-012	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.json	sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.json	yes	OK	
sub-012	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.json	sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.json	yes	OK	
