subject	session	release_relative_path	original_release_size	replacement_file	status	json_source	notes
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-01_TB1TFL.nii.gz	84415	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84415 -> 84084
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-02_TB1TFL.nii.gz	78689	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78689 -> 23635
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-01_TB1TFL.nii.gz	85257	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85257 -> 83270
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-02_TB1TFL.nii.gz	79885	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79885 -> 23856
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-01_TB1TFL.nii.gz	81443	/home/alexrees/scratch/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 81443 -> 74134
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-02_TB1TFL.nii.gz	77327	/home/alexrees/scratch/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77327 -> 20047
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-01_TB1TFL.nii.gz	82390	/home/alexrees/scratch/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82390 -> 73259
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-02_TB1TFL.nii.gz	78955	/home/alexrees/scratch/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78955 -> 18324
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-01_TB1TFL.nii.gz	84358	/home/alexrees/scratch/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84358 -> 83835
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-02_TB1TFL.nii.gz	77923	/home/alexrees/scratch/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77923 -> 16013
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-01_TB1TFL.nii.gz	83416	/home/alexrees/scratch/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83416 -> 81538
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-02_TB1TFL.nii.gz	78700	/home/alexrees/scratch/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78700 -> 19474
sub-004	ses-01	sub-004/ses-01/anat/sub-004_ses-01_run-01_TB1TFL.nii.gz	86402	/home/alexrees/scratch/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 86402 -> 84920
sub-004	ses-01	sub-004/ses-01/anat/sub-004_ses-01_run-02_TB1TFL.nii.gz	79747	/home/alexrees/scratch/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79747 -> 24112
sub-004	ses-02	sub-004/ses-02/anat/sub-004_ses-02_run-01_TB1TFL.nii.gz	84892	/home/alexrees/scratch/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84892 -> 85133
sub-004	ses-02	sub-004/ses-02/anat/sub-004_ses-02_run-02_TB1TFL.nii.gz	79076	/home/alexrees/scratch/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79076 -> 26782
sub-005	ses-01	sub-005/ses-01/anat/sub-005_ses-01_run-01_TB1TFL.nii.gz	83310	/home/alexrees/scratch/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83310 -> 79540
sub-005	ses-01	sub-005/ses-01/anat/sub-005_ses-01_run-02_TB1TFL.nii.gz	78889	/home/alexrees/scratch/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78889 -> 20232
sub-005	ses-02	sub-005/ses-02/anat/sub-005_ses-02_run-01_TB1TFL.nii.gz	81522	/home/alexrees/scratch/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 81522 -> 77204
sub-005	ses-02	sub-005/ses-02/anat/sub-005_ses-02_run-02_TB1TFL.nii.gz	77107	/home/alexrees/scratch/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77107 -> 15900
sub-006	ses-01	sub-006/ses-01/anat/sub-006_ses-01_run-01_TB1TFL.nii.gz	84481	/home/alexrees/scratch/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84481 -> 83491
sub-006	ses-01	sub-006/ses-01/anat/sub-006_ses-01_run-02_TB1TFL.nii.gz	81275	/home/alexrees/scratch/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 81275 -> 21125
sub-006	ses-02	sub-006/ses-02/anat/sub-006_ses-02_run-01_TB1TFL.nii.gz	84907	/home/alexrees/scratch/derivatives/defacing/sub-006/ses-02/anat/sub-006_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84907 -> 84903
sub-006	ses-02	sub-006/ses-02/anat/sub-006_ses-02_run-02_TB1TFL.nii.gz	79177	/home/alexrees/scratch/derivatives/defacing/sub-006/ses-02/anat/sub-006_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79177 -> 22961
sub-007	ses-01	sub-007/ses-01/anat/sub-007_ses-01_run-01_TB1TFL.nii.gz	83505	/home/alexrees/scratch/derivatives/defacing/sub-007/ses-01/anat/sub-007_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83505 -> 80998
sub-007	ses-01	sub-007/ses-01/anat/sub-007_ses-01_run-02_TB1TFL.nii.gz	80490	/home/alexrees/scratch/derivatives/defacing/sub-007/ses-01/anat/sub-007_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80490 -> 17455
sub-007	ses-02	sub-007/ses-02/anat/sub-007_ses-02_run-01_TB1TFL.nii.gz	85548	/home/alexrees/scratch/derivatives/defacing/sub-007/ses-02/anat/sub-007_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85548 -> 82031
sub-007	ses-02	sub-007/ses-02/anat/sub-007_ses-02_run-02_TB1TFL.nii.gz	77857	/home/alexrees/scratch/derivatives/defacing/sub-007/ses-02/anat/sub-007_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77857 -> 18217
sub-008	ses-01	sub-008/ses-01/anat/sub-008_ses-01_run-01_TB1TFL.nii.gz	82838	/home/alexrees/scratch/derivatives/defacing/sub-008/ses-01/anat/sub-008_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82838 -> 81067
sub-008	ses-01	sub-008/ses-01/anat/sub-008_ses-01_run-02_TB1TFL.nii.gz	79261	/home/alexrees/scratch/derivatives/defacing/sub-008/ses-01/anat/sub-008_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79261 -> 21456
sub-009	ses-01	sub-009/ses-01/anat/sub-009_ses-01_run-01_TB1TFL.nii.gz	83437	/home/alexrees/scratch/derivatives/defacing/sub-009/ses-01/anat/sub-009_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83437 -> 83715
sub-009	ses-01	sub-009/ses-01/anat/sub-009_ses-01_run-02_TB1TFL.nii.gz	79471	/home/alexrees/scratch/derivatives/defacing/sub-009/ses-01/anat/sub-009_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79471 -> 14685
sub-009	ses-02	sub-009/ses-02/anat/sub-009_ses-02_run-01_TB1TFL.nii.gz	82404	/home/alexrees/scratch/derivatives/defacing/sub-009/ses-02/anat/sub-009_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82404 -> 82367
sub-009	ses-02	sub-009/ses-02/anat/sub-009_ses-02_run-02_TB1TFL.nii.gz	79297	/home/alexrees/scratch/derivatives/defacing/sub-009/ses-02/anat/sub-009_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79297 -> 25184
sub-010	ses-01	sub-010/ses-01/anat/sub-010_ses-01_run-01_TB1TFL.nii.gz	85156	/home/alexrees/scratch/derivatives/defacing/sub-010/ses-01/anat/sub-010_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85156 -> 84985
sub-010	ses-01	sub-010/ses-01/anat/sub-010_ses-01_run-02_TB1TFL.nii.gz	77962	/home/alexrees/scratch/derivatives/defacing/sub-010/ses-01/anat/sub-010_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77962 -> 17022
sub-011	ses-01	sub-011/ses-01/anat/sub-011_ses-01_run-01_TB1TFL.nii.gz	84645	/home/alexrees/scratch/derivatives/defacing/sub-011/ses-01/anat/sub-011_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84645 -> 85162
sub-011	ses-01	sub-011/ses-01/anat/sub-011_ses-01_run-02_TB1TFL.nii.gz	77967	/home/alexrees/scratch/derivatives/defacing/sub-011/ses-01/anat/sub-011_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77967 -> 15346
sub-011	ses-02	sub-011/ses-02/anat/sub-011_ses-02_run-01_TB1TFL.nii.gz	85200	/home/alexrees/scratch/derivatives/defacing/sub-011/ses-02/anat/sub-011_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85200 -> 83158
sub-011	ses-02	sub-011/ses-02/anat/sub-011_ses-02_run-02_TB1TFL.nii.gz	79388	/home/alexrees/scratch/derivatives/defacing/sub-011/ses-02/anat/sub-011_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79388 -> 16118
sub-012	ses-01	sub-012/ses-01/anat/sub-012_ses-01_run-01_TB1TFL.nii.gz	83962	/home/alexrees/scratch/derivatives/defacing/sub-012/ses-01/anat/sub-012_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83962 -> 83751
sub-012	ses-01	sub-012/ses-01/anat/sub-012_ses-01_run-02_TB1TFL.nii.gz	78807	/home/alexrees/scratch/derivatives/defacing/sub-012/ses-01/anat/sub-012_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78807 -> 18347
sub-012	ses-02	sub-012/ses-02/anat/sub-012_ses-02_run-01_TB1TFL.nii.gz	85428	/home/alexrees/scratch/derivatives/defacing/sub-012/ses-02/anat/sub-012_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85428 -> 83834
sub-012	ses-02	sub-012/ses-02/anat/sub-012_ses-02_run-02_TB1TFL.nii.gz	80390	/home/alexrees/scratch/derivatives/defacing/sub-012/ses-02/anat/sub-012_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80390 -> 18141
sub-013	ses-01	sub-013/ses-01/anat/sub-013_ses-01_run-01_TB1TFL.nii.gz	85623	/home/alexrees/scratch/derivatives/defacing/sub-013/ses-01/anat/sub-013_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85623 -> 93222
sub-013	ses-01	sub-013/ses-01/anat/sub-013_ses-01_run-02_TB1TFL.nii.gz	79045	/home/alexrees/scratch/derivatives/defacing/sub-013/ses-01/anat/sub-013_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79045 -> 26708
sub-014	ses-01	sub-014/ses-01/anat/sub-014_ses-01_run-01_TB1TFL.nii.gz	86353	/home/alexrees/scratch/derivatives/defacing/sub-014/ses-01/anat/sub-014_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 86353 -> 83710
sub-014	ses-01	sub-014/ses-01/anat/sub-014_ses-01_run-02_TB1TFL.nii.gz	78816	/home/alexrees/scratch/derivatives/defacing/sub-014/ses-01/anat/sub-014_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78816 -> 15497
sub-015	ses-01	sub-015/ses-01/anat/sub-015_ses-01_run-01_TB1TFL.nii.gz	82761	/home/alexrees/scratch/derivatives/defacing/sub-015/ses-01/anat/sub-015_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82761 -> 83953
sub-015	ses-01	sub-015/ses-01/anat/sub-015_ses-01_run-02_TB1TFL.nii.gz	78036	/home/alexrees/scratch/derivatives/defacing/sub-015/ses-01/anat/sub-015_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78036 -> 24688
sub-015	ses-02	sub-015/ses-02/anat/sub-015_ses-02_run-01_TB1TFL.nii.gz	82842	/home/alexrees/scratch/derivatives/defacing/sub-015/ses-02/anat/sub-015_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82842 -> 84812
sub-015	ses-02	sub-015/ses-02/anat/sub-015_ses-02_run-02_TB1TFL.nii.gz	78479	/home/alexrees/scratch/derivatives/defacing/sub-015/ses-02/anat/sub-015_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78479 -> 22895
