physio_uid	subject	session	channels_available	physio_protocol_name	physio_series_number	recommended_bold_stem	recommended_bold_series_number	seriesnumber_distance	bold_immediately_after_physio	confidence_reason	decision	reason	StartTime	filepath	bold_path
1.3.12.2.1107.5.2.43.166092.2023080710462872158356026.0.0.0	sub-015	ses-01	PULS;RESP;EXT	Control3_PA	53.0	sub-015_ses-01_task-control_run-05	55.0	2	yes	protocol+seriesnumber_close+after	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.320000	/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SUBC15_Session01_2023AUG07_Data/CONTROL3_PA_PHYSIOLOG_0053/SUBC015_CONTROL_SESSION01_2023AUG07.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0053.0001.2023.08.08.14.34.24.73131.20425840.IMA	/home/alexrees/scratch/bids/sub-015/ses-01/func/sub-015_ses-01_task-control_run-05_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2023080710484470687663511.0.0.0	sub-015	ses-01	PULS;RESP;EXT	Control3_PA	57.0	sub-015_ses-01_task-control_run-07	59.0	2	yes	protocol+seriesnumber_close+after	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SUBC15_Session01_2023AUG07_Data/CONTROL3_PA_PHYSIOLOG_0057/SUBC015_CONTROL_SESSION01_2023AUG07.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0057.0001.2023.08.08.14.34.24.73131.20430962.IMA	/home/alexrees/scratch/bids/sub-015/ses-01/func/sub-015_ses-01_task-control_run-07_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024020709334232586700348.0.0.0	sub-016	ses-02	PULS;RESP;EXT	fMRI1_AP	2.0	sub-016_ses-02_task-fmri_run-07	4.0	2	yes	protocol+seriesnumber_close+after	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_NII/FMRI1_AP_PHYSIOLOG_0002/SUBC016-SESSION2-2024FEB07.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0002.0001.2024.02.07.10.25.58.223681.20598864.IMA	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-07_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024020709344954743807055.0.0.0	sub-016	ses-02	PULS;RESP;EXT	fMRI1_AP	9.0	sub-016_ses-02_task-fmri_run-09	7.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_NII/FMRI1_AP_PHYSIOLOG_0009/SUBC016-SESSION2-2024FEB07.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0009.0001.2024.02.07.10.25.58.223681.20654485.IMA	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024032512013333915732349.0.0.0	sub-021	ses-02	PULS;RESP;EXT	REST1_AP	46.0	sub-021_ses-02_task-rest_run-01	44.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC22_Session02_2024MAR25/SUBC22_SESSION02_2024MAR25_NII/REST1_AP_PHYSIOLOG_0046/SUBC22_SESSION02_2024MAR25.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0046.0001.2024.03.25.12.50.09.853583.49140782.IMA	/home/alexrees/scratch/bids/sub-021/ses-02/func/sub-021_ses-02_task-rest_run-01_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.202408241003427674332340.0.0.0	sub-035	ses-02	PULS;RESP;EXT	REST1_AP	42.0	sub-035_ses-02_task-rest_run-01	44.0	2	yes	protocol+seriesnumber_close+after	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.320000	/lustre06/project/6001995/raw_original/Control/SUBC36_Session02_2024AUG24/RUNHAUSER_TAIS_24_08_24-09_23_03-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_FINAL_PROTOCOL_20240824_092435_364000/REST1_AP_PHYSIOLOG_0042/GRUNHAUSER_TAIS.MR.DR_SHMUEL_FINAL_PROTOCOL.0042.0001.2024.08.24.10.35.43.301804.144127078.IMA	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-rest_run-01_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024082410051817597448079.0.0.0	sub-035	ses-02	PULS;RESP;EXT	REST1_AP	49.0	sub-035_ses-02_task-rest_run-03	47.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC36_Session02_2024AUG24/RUNHAUSER_TAIS_24_08_24-09_23_03-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_FINAL_PROTOCOL_20240824_092435_364000/REST1_AP_PHYSIOLOG_0049/GRUNHAUSER_TAIS.MR.DR_SHMUEL_FINAL_PROTOCOL.0049.0001.2024.08.24.10.35.43.301804.144210943.IMA	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-rest_run-03_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024090810210688112177711.0.0.0	sub-038	ses-02	PULS;RESP;EXT	fMRI3_AP	16.0	sub-038_ses-02_task-fmri_run-02	18.0	2	yes	protocol+seriesnumber_close+after	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC39_Session2_2024SEP08/AN2-08-09-2024_24_09_08-09_03_46-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_FINAL_PROTOCOL_20240908_091929_269000/FMRI3_AP_PHYSIOLOG_0016/SUBC039-SCAN2-08-09-2024.MR.DR_SHMUEL_FINAL_PROTOCOL.0016.0001.2024.09.09.11.39.00.192930.155783258.IMA	/home/alexrees/scratch/bids/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-02_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.202409081022215602788270.0.0.0	sub-038	ses-02	PULS;RESP;EXT	fMRI3_AP	23.0	sub-038_ses-02_task-fmri_run-04	21.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC39_Session2_2024SEP08/AN2-08-09-2024_24_09_08-09_03_46-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_FINAL_PROTOCOL_20240908_091929_269000/FMRI3_AP_PHYSIOLOG_0023/SUBC039-SCAN2-08-09-2024.MR.DR_SHMUEL_FINAL_PROTOCOL.0023.0001.2024.09.09.11.39.00.192930.155841951.IMA	/home/alexrees/scratch/bids/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024032115585183596112880.0.0.0	sub-040	ses-01	PULS;RESP;EXT	fMRI1_AP	5.0	sub-040_ses-01_task-fmri_run-07	3.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.320000	/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_SESSION01_2024MAR21_DATA/FMRI1_AP_PHYSIOLOG_0005/SUBC41_SESSION01_2024MAR21.MR.DR_SHMUEL_FINAL_PROTOCOL.0005.0001.2024.03.21.17.40.50.813898.46875049.IMA	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-07_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2024032116082563870593710.0.0.0	sub-040	ses-01	PULS;RESP;EXT	fMRI1_AP	10.0	sub-040_ses-01_task-fmri_run-09	8.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_SESSION01_2024MAR21_DATA/FMRI1_AP_PHYSIOLOG_0010/SUBC41_SESSION01_2024MAR21.MR.DR_SHMUEL_FINAL_PROTOCOL.0010.0001.2024.03.21.17.40.50.813898.46931367.IMA	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-09_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.202505171159103977831840.0.0.0	sub-060	ses-01	PULS;RESP;EXT	Movie1_AP	29.0	sub-060_ses-01_task-movie_run-01	27.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Data_ON/SUBON04-Session1-2025MAY17/SUBON04_SESSION01_2025MAY17_SUBON04_SESSION01_2025MAY17/DR_SHMUEL_FINAL_PROTOCOL_20250517_111229_563000/MOVIE1_AP_PHYSIOLOG_0029/SUBON04_SESSION01_2025MAY17.MR.DR_SHMUEL_FINAL_PROTOCOL.0029.0001.2025.05.17.12.41.25.191823.324001867.IMA	/home/alexrees/scratch/bids/sub-060/ses-01/func/sub-060_ses-01_task-movie_run-01_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2025051712043478757606974.0.0.0	sub-060	ses-01	PULS;RESP;EXT	Movie1_AP	34.0	sub-060_ses-01_task-movie_run-03	32.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.320000	/lustre06/project/6001995/raw_original/Data_ON/SUBON04-Session1-2025MAY17/SUBON04_SESSION01_2025MAY17_SUBON04_SESSION01_2025MAY17/DR_SHMUEL_FINAL_PROTOCOL_20250517_111229_563000/MOVIE1_AP_PHYSIOLOG_0034/SUBON04_SESSION01_2025MAY17.MR.DR_SHMUEL_FINAL_PROTOCOL.0034.0001.2025.05.17.12.41.25.191823.324054101.IMA	/home/alexrees/scratch/bids/sub-060/ses-01/func/sub-060_ses-01_task-movie_run-03_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2025020614310330567096095.0.0.0	sub-082	ses-01	PULS;RESP;EXT	Movie3_AP	34.0	sub-082_ses-01_task-movie_run-05	36.0	2	yes	protocol+seriesnumber_close+after	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.317500	/lustre06/project/6001995/raw_original/Glaucoma/SUBG17_Session01_2025FEB06/ON01_2025FEB06_25_02_06-13_36_34-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_FINAL_PROTOCOL_20250206_133737_534000/MOVIE3_AP_PHYSIOLOG_0034/SUBG17_SESSION01_2025FEB06.MR.DR_SHMUEL_FINAL_PROTOCOL.0034.0001.2025.02.06.15.12.38.66648.250437772.IMA	/home/alexrees/scratch/bids/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-05_bold.nii.gz
1.3.12.2.1107.5.2.43.166092.2025020614420775086614224.0.0.0	sub-082	ses-01	PULS;RESP;EXT	Movie3_AP	41.0	sub-082_ses-01_task-movie_run-07	39.0	2	no	protocol+seriesnumber_leq2	ACCEPT_HIGH	spotcheck_pass_protocol+dsn<=2+csa_ok+no_existing	-11.320000	/lustre06/project/6001995/raw_original/Glaucoma/SUBG17_Session01_2025FEB06/ON01_2025FEB06_25_02_06-13_36_34-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_FINAL_PROTOCOL_20250206_133737_534000/MOVIE3_AP_PHYSIOLOG_0041/SUBG17_SESSION01_2025FEB06.MR.DR_SHMUEL_FINAL_PROTOCOL.0041.0001.2025.02.06.15.12.38.66648.250495881.IMA	/home/alexrees/scratch/bids/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-07_bold.nii.gz
