subject	session	physio_series_uid	exclusion_class	channels_available	matched_bold	duration	sampling_frequency	start_time_available	reason_fr	recoverability	recovery_note	mapping_confidence	resolution_status	resolution_note	resolved_date
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114205390633277906.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-control_run-01	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053115152513369539574.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-control_run-03	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053115174116171047063.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-control_run-05	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114121921574316264.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-fmri_run-05	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.202305311416412430097085.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-fmri_run-07	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114220190616785391.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-fmri_run-01	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114255694787466212.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-fmri_run-03	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114305561939647033.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-movie_run-01	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114343084085022158.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-movie_run-03	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114384168918997283.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-movie_run-05	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
