subject	n_physiolog_status_rows	n_excluded_rows	n_peripheral_files	peripheral_extensions	exclusion_classes	cause	recoverability	recommended_path
sub-007	13	13	0		NO_SAMPLETIME_AND_NO_STARTTIME	ses-01 PhysioLog DICOM CSA incomplete (no SampleTime / first-channel tick); no ses-01 peripheral .puls/.resp in raw_original	DEFINITIVE_LOSS	Document exclusion; no BIDS run-wise physio. See RESOLUTION_NO_SAMPLETIME_AND_NO_STARTTIME.md
sub-008	11	11	0		NO_SAMPLETIME_AND_NO_STARTTIME	ses-01 PhysioLog DICOM CSA incomplete (no SampleTime / first-channel tick); no ses-01 peripheral .puls/.resp in raw_original	DEFINITIVE_LOSS	Document exclusion; no BIDS run-wise physio. See RESOLUTION_NO_SAMPLETIME_AND_NO_STARTTIME.md
sub-009	12	12	0		NO_SAMPLETIME_AND_NO_STARTTIME	ses-01 PhysioLog DICOM CSA incomplete (no SampleTime / first-channel tick); no ses-01 peripheral .puls/.resp in raw_original	DEFINITIVE_LOSS	Document exclusion; no BIDS run-wise physio. See RESOLUTION_NO_SAMPLETIME_AND_NO_STARTTIME.md
sub-010	10	10	0		EXT_ONLY_NO_STARTTIME;MAPPING_AMBIGUOUS	PhysioLog present but EXT-only (no PULS/RESP); StartTime missing	DEFINITIVE_FOR_CARD_RESP	Document absence; optional EXT-as-trigger only (not recommended)
sub-013	12	12	0		EXT_ONLY_NO_STARTTIME	PhysioLog present but EXT-only (no PULS/RESP); StartTime missing	DEFINITIVE_FOR_CARD_RESP	Document absence; optional EXT-as-trigger only (not recommended)
sub-014	12	12	0		EXT_ONLY_NO_STARTTIME	PhysioLog present but EXT-only (no PULS/RESP); StartTime missing	DEFINITIVE_FOR_CARD_RESP	Document absence; optional EXT-as-trigger only (not recommended)
sub-042	2	2	6	.ecg;.ext;.ext2;.pmu;.puls;.resp	NO_SAMPLETIME_AND_NO_STARTTIME	2 control PhysioLogs fail SampleTime/StartTime gates; other runs already have BIDS physio; peripheral session-wide lacks confirmed ADC SF	DEFINITIVE_LOSS_FOR_2_UIDS; OTHER_RUNS_OK	Keep existing BIDS physio; exclude 2 control UIDs; do not convert peripheral without site SF confirmation. See RESOLUTION_NO_SAMPLETIME_AND_NO_STARTTIME.md
sub-056	0	0	0			No PhysioLog DICOM and no peripheral PMU files in inventory	DEFINITIVE_ABSENT_AT_SOURCE	Confirm with acquisition log / re-export from scanner archive if any backup exists
sub-061	0	0	6	.ecg;.ext;.ext2;.pmu;.puls;.resp		No PhysioLog DICOM; session-wide peripheral PMU (.puls/.resp/.ecg/.ext) only	POLICY_BLOCKED_PERIPHERAL_PMU	Requires confirmed ADC SamplingFrequency + run segmentation method; ethics for ECG
sub-062	0	0	6	.ecg;.ext;.ext2;.pmu;.puls;.resp		No PhysioLog DICOM; session-wide peripheral PMU (.puls/.resp/.ecg/.ext) only	POLICY_BLOCKED_PERIPHERAL_PMU	Requires confirmed ADC SamplingFrequency + run segmentation method; ethics for ECG
sub-063	0	0	4	.ext;.ext2;.puls;.resp		No PhysioLog DICOM; session-wide peripheral PMU (.puls/.resp/.ecg/.ext) only	POLICY_BLOCKED_PERIPHERAL_PMU	Requires confirmed ADC SamplingFrequency + run segmentation method; ethics for ECG
