filepath	filename	extension	parse_status	sampling_frequency	n_channels	n_samples	start_timestamp	log_stop_mdh_time	log_start_mpcu_time	log_stop_mpcu_time	trigger_info	acquisition_markers	physiological_rate_freq_per	logversion	header_tokens	metadata_source_files	bids_match_status	bids_match_path	n_candidate_runs	candidate_runs
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.ecg	sub-C01-Scan2-08-11-2023.ecg	.ecg	parsed_text	NA	NA	13739	33224695	33233267	33224377	33232950	NrTrig=0;NrMP=0;NrArr=0;AcqWin=0	NA	NA	LOGVERSION	1 1 2 40 280	SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat [Hz] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-001/ses-02	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.ext	sub-C01-Scan2-08-11-2023.ext	.ext	parsed_text	NA	NA	NA	33226237	37531105	33225917	37530637	NrTrig=2124;NrMP=0;NrArr=0;AcqWin=0	trigger_on(5000)=2128;marker(6000)=2128	NA	NA	NA	SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat [Hz] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-001/ses-02	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.ext2	sub-C01-Scan2-08-11-2023.ext2	.ext2	parsed_text	NA	NA	NA	33226240	37531105	33225920	37530637	NrTrig=2124;NrMP=0;NrArr=0;AcqWin=0	NA	NA	NA	NA	SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat [Hz] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-001/ses-02	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.pmu	sub-C01-Scan2-08-11-2023.pmu	.pmu	binary_pmu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VSN 15.26 20-Apr-2010	NA	SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat [Hz] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-001/ses-02	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.puls	sub-C01-Scan2-08-11-2023.puls	.puls	parsed_text	NA	NA	1722197	33225725	37531102	33225405	37530637	NrTrig=2124;NrMP=0;NrArr=0;AcqWin=0	trigger_on(5000)=5355;marker(6000)=0	freq=71;per=835	LOGVERSION_PULS	1 2 40 280	SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat [Hz] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-001/ses-02	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.resp	sub-C01-Scan2-08-11-2023.resp	.resp	parsed_text	NA	NA	1722403	33225212	37531105	33224895	37530637	NrTrig=2124;NrMP=0;NrArr=0;AcqWin=0	trigger_on(5000)=978;marker(6000)=0	freq=19;per=3140	LOGVERSION_RESP	1 2 20 2	SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat [TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat [Hz] ; SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat [Hz,TR] ; SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-001/ses-02	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.ecg	SUBC28-Session1-2023DEC09.ecg	.ecg	parsed_text	NA	NA	9647	41399595	41405610	41399187	41405202	NrTrig=0;NrMP=0;NrArr=0;AcqWin=0	NA	NA	LOGVERSION	1 1 2 40 280	SUBC028_Session01_2023DEC09_MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-36-46_AM__scan_info_for_subject_SUBC028__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-50-45_AM__scan_info_for_subject_SUBC028__selected_run_is_5__fmri_number_is4.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-41-00_AM__scan_info_for_subject_SUBC028__selected_run_is_4__fmri_number_is2.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/runs_random.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-027/ses-01	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.ext	SUBC28-Session1-2023DEC09.ext	.ext	parsed_text	NA	NA	NA	41401137	44335535	41400727	44334962	NrTrig=0;NrMP=0;NrArr=0;AcqWin=0	NA	NA	NA	NA	SUBC028_Session01_2023DEC09_MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-36-46_AM__scan_info_for_subject_SUBC028__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-50-45_AM__scan_info_for_subject_SUBC028__selected_run_is_5__fmri_number_is4.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-41-00_AM__scan_info_for_subject_SUBC028__selected_run_is_4__fmri_number_is2.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/runs_random.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-027/ses-01	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.ext2	SUBC28-Session1-2023DEC09.ext2	.ext2	parsed_text	NA	NA	NA	41401137	44335535	41400727	44334962	NrTrig=0;NrMP=0;NrArr=0;AcqWin=0	NA	NA	NA	NA	SUBC028_Session01_2023DEC09_MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-36-46_AM__scan_info_for_subject_SUBC028__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-50-45_AM__scan_info_for_subject_SUBC028__selected_run_is_5__fmri_number_is4.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-41-00_AM__scan_info_for_subject_SUBC028__selected_run_is_4__fmri_number_is2.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/runs_random.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-027/ses-01	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.pmu	SUBC28-Session1-2023DEC09.pmu	.pmu	binary_pmu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VSN 15.26 20-Apr-2010	NA	SUBC028_Session01_2023DEC09_MATLAB/3-Movie_Data/output.txt [Hz,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/GreenLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/RedLevel.mat [TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSine.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/CheckerFlickerSquare.m [Frequency] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/main.m [StartTime,Timestamp] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-36-46_AM__scan_info_for_subject_SUBC028__selected_run_is_1__fmri_number_is1.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-50-45_AM__scan_info_for_subject_SUBC028__selected_run_is_5__fmri_number_is4.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/December-09-2023_11-41-00_AM__scan_info_for_subject_SUBC028__selected_run_is_4__fmri_number_is2.mat [Hz,TR] ; SUBC028_Session01_2023DEC09_MATLAB/2-Grating/Results/runs_random.mat [Hz] ; SUBC028_Session01_2023DEC09_MATLAB/4-resting state/main.m [TR]	ambiguous	/lustre07/scratch/alexrees/bids/sub-027/ses-01	24	task-control_run-01;task-control_run-02;task-control_run-03;task-control_run-04;task-control_run-05;task-control_run-06;task-fmri_run-01;task-fmri_run-02;task-fmri_run-03;task-fmri_run-04;task-fmri_run-05;task-fmri_run-06;task-fmri_run-07;task-fmri_run-08;task-movie_run-01;task-movie_run-02;task-movie_run-03;task-movie_run-04;task-movie_run-05;task-movie_run-06;task-movie_run-07;task-movie_run-08;task-rest_run-01;task-rest_run-02
