source_type	filepath	subject	session	sampling_confidence	starttime_confidence	runmap_confidence	recoverable	reason
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/FMRI1_AP_PHYSIOLOG_0002/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0002.0001.2023.05.16.13.09.02.852597.124579942.IMA	sub-002	ses-01	MEDIUM	LOW	AMBIGUOUS	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | 2 BOLD runs share ProtocolName=fMRI1_AP
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/CONTROL2_PA_PHYSIOLOG_0067/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0067.0001.2023.05.08.12.17.15.267862.122019990.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control2_PA → sub-001_ses-01_task-control_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/CONTROL1_PA_PHYSIOLOG_0010/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0010.0001.2023.05.08.12.17.15.267862.121514068.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control1_PA → sub-001_ses-01_task-control_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/CONTROL1_PA_PHYSIOLOG_0014/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0014.0001.2023.05.16.13.09.02.852597.124688492.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control1_PA → sub-002_ses-01_task-control_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/CONTROL3_AP_PHYSIOLOG_0063/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0063.0001.2023.05.08.12.17.15.267862.122007698.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control3_AP → sub-001_ses-01_task-control_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC28_SESSION01_2023DEC09_NII/CONTROL2_AP_PHYSIOLOG_0049/SUBC028-SESSION1-2023DEC09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0049.0001.2024.02.05.18.27.59.726983.2660462.IMA	sub-027	ses-01	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (PULS=2;RESP=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control2_AP → sub-027_ses-01_task-control_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-dicom/CONTROL3_PA_PHYSIOLOG_0053/SUB-C01-SCAN2-08-11-2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0053.0001.2023.11.08.10.44.50.626527.65288304.IMA	sub-001	ses-02	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (PULS=2;RESP=8;EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control3_PA → sub-001_ses-02_task-control_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-dicom/CONTROL1_PA_PHYSIOLOG_0010/SUB-C01-SCAN2-08-11-2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0010.0001.2023.11.08.10.44.50.626527.64876628.IMA	sub-001	ses-02	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (PULS=2;RESP=8;EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control1_PA → sub-001_ses-02_task-control_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/CONTROL2_AP_PHYSIOLOG_0049/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0049.0001.2023.12.16.13.47.11.921404.6574188.IMA	sub-028	ses-01	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (RESP=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control2_AP → sub-028_ses-01_task-control_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-dicom/CONTROL2_AP_PHYSIOLOG_0049/SUB-C01-SCAN2-08-11-2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0049.0001.2023.11.08.10.44.50.626527.65281134.IMA	sub-001	ses-02	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (PULS=2;RESP=8;EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control2_AP → sub-001_ses-02_task-control_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/CONTROL3_PA_PHYSIOLOG_0053/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0053.0001.2023.12.16.13.47.11.921404.6582384.IMA	sub-028	ses-01	MEDIUM	MEDIUM	CONFIRMED	YES	CSA SampleTime present (RESP=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO volume0 ACQ_START_TICS and physio ACQ_TIME_TICS share CSA clock; BIDS StartTime = (physio_first_tick - vol0_start_tick) * tick_seconds | Unique BIDS ProtocolName match: Control3_PA → sub-028_ses-01_task-control_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/CONTROL3_AP_PHYSIOLOG_0052/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0052.0001.2023.05.16.13.09.02.852597.125089922.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control3_AP → sub-002_ses-01_task-control_run-03_bold.json
