filepath	extension	size	subject	session	sequence	candidate_type
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10.ecg	.ecg	46914	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_ecg
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10_final.puls	.puls	6005559	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_puls
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10_final.pmu	.pmu	2296	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_pmu
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10_final.ext2	.ext2	2417893	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_ext2
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10_final.ext	.ext	2438758	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_ext
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10.resp	.resp	1223517	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_resp
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10_final.resp	.resp	5845697	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_resp
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10_final.ecg	.ecg	24269	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_ecg
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10.ext2	.ext2	506905	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_ext2
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10.puls	.puls	1266520	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_puls
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10.pmu	.pmu	2296	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_pmu
/lustre06/project/6001995/raw_original/Glaucoma/SUBG08_Session01_2024FEB10/SUBG08_Session01_2024FEB10_Peripheral/SUBG08_Session01_2024FEB10.ext	.ext	506908	sub-073	ses-01	SUBG08_Session01_2024FEB10_Peripheral	pmu_ext
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/peripheral/SUBG10-Session1-2024SEPT13.puls	.puls	5074956	sub-075	ses-01	peripheral	pmu_puls
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/peripheral/SUBG10-Session1-2024SEPT13.pmu	.pmu	2296	sub-075	ses-01	peripheral	pmu_pmu
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/peripheral/SUBG10-Session1-2024SEPT13.ext2	.ext2	2042347	sub-075	ses-01	peripheral	pmu_ext2
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/peripheral/SUBG10-Session1-2024SEPT13.ext	.ext	2063210	sub-075	ses-01	peripheral	pmu_ext
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/peripheral/SUBG10-Session1-2024SEPT13.ecg	.ecg	47832	sub-075	ses-01	peripheral	pmu_ecg
/lustre06/project/6001995/raw_original/Glaucoma/SUBG10_Session01_2024SEP13/peripheral/SUBG10-Session1-2024SEPT13.resp	.resp	4915059	sub-075	ses-01	peripheral	pmu_resp
/lustre06/project/6001995/raw_original/Glaucoma/SUBG13-Session1-2024NOV25/peripheral recording/SUBG13-Session1-2024NOV25.resp	.resp	6447454	sub-078	ses-01	peripheral recording	pmu_resp
/lustre06/project/6001995/raw_original/Glaucoma/SUBG13-Session1-2024NOV25/peripheral recording/SUBG13-Session1-2024NOV25.ext	.ext	2633083	sub-078	ses-01	peripheral recording	pmu_ext
/lustre06/project/6001995/raw_original/Glaucoma/SUBG13-Session1-2024NOV25/peripheral recording/SUBG13-Session1-2024NOV25.pmu	.pmu	2296	sub-078	ses-01	peripheral recording	pmu_pmu
/lustre06/project/6001995/raw_original/Glaucoma/SUBG13-Session1-2024NOV25/peripheral recording/SUBG13-Session1-2024NOV25.ext2	.ext2	2612200	sub-078	ses-01	peripheral recording	pmu_ext2
/lustre06/project/6001995/raw_original/Glaucoma/SUBG13-Session1-2024NOV25/peripheral recording/SUBG13-Session1-2024NOV25.ecg	.ecg	39302	sub-078	ses-01	peripheral recording	pmu_ecg
/lustre06/project/6001995/raw_original/Glaucoma/SUBG13-Session1-2024NOV25/peripheral recording/SUBG13-Session1-2024NOV25.puls	.puls	6534987	sub-078	ses-01	peripheral recording	pmu_puls
/lustre06/project/6001995/raw_original/Glaucoma/SUBG15_Session01_2024DEC08/peripheral recording/SUBG15-Session1-2024NOV08.puls	.puls	5640356	sub-080	ses-01	peripheral recording	pmu_puls
/lustre06/project/6001995/raw_original/Glaucoma/SUBG15_Session01_2024DEC08/peripheral recording/SUBG15-Session1-2024NOV08.ext	.ext	2280434	sub-080	ses-01	peripheral recording	pmu_ext
/lustre06/project/6001995/raw_original/Glaucoma/SUBG15_Session01_2024DEC08/peripheral recording/SUBG15-Session1-2024NOV08.ext2	.ext2	2259565	sub-080	ses-01	peripheral recording	pmu_ext2
/lustre06/project/6001995/raw_original/Glaucoma/SUBG15_Session01_2024DEC08/peripheral recording/SUBG15-Session1-2024NOV08.pmu	.pmu	2296	sub-080	ses-01	peripheral recording	pmu_pmu
/lustre06/project/6001995/raw_original/Glaucoma/SUBG15_Session01_2024DEC08/peripheral recording/SUBG15-Session1-2024NOV08.resp	.resp	5645383	sub-080	ses-01	peripheral recording	pmu_resp
/lustre06/project/6001995/raw_original/Glaucoma/SUBG15_Session01_2024DEC08/peripheral recording/SUBG15-Session1-2024NOV08.ecg	.ecg	81025	sub-080	ses-01	peripheral recording	pmu_ecg
/lustre06/project/6001995/raw_original/Glaucoma/SUBG18_SESSION01_2025MAR14/peripheral/SUBG18_SESSION01_2025MAR14.ecg	.ecg	70578	sub-083	ses-01	peripheral	pmu_ecg
