bold_stem	subject	session	task	run	has_pulse	has_resp
sub-001_ses-01_task-control_run-01	sub-001	ses-01	control	01	0	0
sub-001_ses-01_task-control_run-03	sub-001	ses-01	control	03	0	0
sub-001_ses-01_task-control_run-05	sub-001	ses-01	control	05	0	0
sub-001_ses-01_task-fmri_run-01	sub-001	ses-01	fmri	01	0	0
sub-001_ses-01_task-fmri_run-03	sub-001	ses-01	fmri	03	0	0
sub-001_ses-01_task-fmri_run-05	sub-001	ses-01	fmri	05	0	0
sub-001_ses-01_task-fmri_run-07	sub-001	ses-01	fmri	07	0	0
sub-001_ses-01_task-movie_run-01	sub-001	ses-01	movie	01	0	0
sub-001_ses-01_task-movie_run-03	sub-001	ses-01	movie	03	0	0
sub-001_ses-01_task-movie_run-05	sub-001	ses-01	movie	05	0	0
sub-001_ses-01_task-movie_run-07	sub-001	ses-01	movie	07	0	0
sub-001_ses-01_task-rest_run-01	sub-001	ses-01	rest	01	0	0
sub-002_ses-01_task-control_run-01	sub-002	ses-01	control	01	0	0
sub-002_ses-01_task-control_run-03	sub-002	ses-01	control	03	0	0
sub-002_ses-01_task-control_run-05	sub-002	ses-01	control	05	0	0
sub-002_ses-01_task-fmri_run-01	sub-002	ses-01	fmri	01	0	0
sub-002_ses-01_task-fmri_run-03	sub-002	ses-01	fmri	03	0	0
sub-002_ses-01_task-fmri_run-05	sub-002	ses-01	fmri	05	0	0
sub-002_ses-01_task-fmri_run-07	sub-002	ses-01	fmri	07	0	0
sub-002_ses-01_task-fmri_run-09	sub-002	ses-01	fmri	09	0	0
sub-002_ses-01_task-movie_run-01	sub-002	ses-01	movie	01	0	0
sub-002_ses-01_task-movie_run-03	sub-002	ses-01	movie	03	0	0
sub-002_ses-01_task-movie_run-05	sub-002	ses-01	movie	05	0	0
sub-002_ses-01_task-movie_run-07	sub-002	ses-01	movie	07	0	0
sub-002_ses-01_task-rest_run-01	sub-002	ses-01	rest	01	0	0
sub-003_ses-01_task-control_run-01	sub-003	ses-01	control	01	0	0
sub-003_ses-01_task-control_run-03	sub-003	ses-01	control	03	0	0
sub-003_ses-01_task-control_run-05	sub-003	ses-01	control	05	0	0
sub-003_ses-01_task-fmri_run-01	sub-003	ses-01	fmri	01	0	0
sub-003_ses-01_task-fmri_run-03	sub-003	ses-01	fmri	03	0	0
sub-003_ses-01_task-fmri_run-05	sub-003	ses-01	fmri	05	0	0
sub-003_ses-01_task-fmri_run-07	sub-003	ses-01	fmri	07	0	0
sub-003_ses-01_task-movie_run-01	sub-003	ses-01	movie	01	0	0
sub-003_ses-01_task-movie_run-03	sub-003	ses-01	movie	03	0	0
sub-003_ses-01_task-movie_run-05	sub-003	ses-01	movie	05	0	0
sub-003_ses-01_task-movie_run-07	sub-003	ses-01	movie	07	0	0
sub-003_ses-01_task-rest_run-01	sub-003	ses-01	rest	01	0	0
sub-004_ses-01_task-control_run-01	sub-004	ses-01	control	01	0	0
sub-004_ses-01_task-control_run-03	sub-004	ses-01	control	03	0	0
sub-004_ses-01_task-control_run-05	sub-004	ses-01	control	05	0	0
sub-004_ses-01_task-fmri_run-01	sub-004	ses-01	fmri	01	0	0
sub-004_ses-01_task-fmri_run-03	sub-004	ses-01	fmri	03	0	0
sub-004_ses-01_task-fmri_run-05	sub-004	ses-01	fmri	05	0	0
sub-004_ses-01_task-fmri_run-07	sub-004	ses-01	fmri	07	0	0
sub-004_ses-01_task-movie_run-01	sub-004	ses-01	movie	01	0	0
sub-004_ses-01_task-movie_run-03	sub-004	ses-01	movie	03	0	0
sub-004_ses-01_task-movie_run-05	sub-004	ses-01	movie	05	0	0
sub-004_ses-01_task-movie_run-07	sub-004	ses-01	movie	07	0	0
sub-004_ses-01_task-rest_run-01	sub-004	ses-01	rest	01	0	0
sub-005_ses-01_task-control_run-01	sub-005	ses-01	control	01	0	0
sub-005_ses-01_task-control_run-03	sub-005	ses-01	control	03	0	0
sub-005_ses-01_task-control_run-05	sub-005	ses-01	control	05	0	0
sub-005_ses-01_task-control_run-07	sub-005	ses-01	control	07	0	0
sub-005_ses-01_task-fmri_run-01	sub-005	ses-01	fmri	01	0	0
