subject	session	physio_uid	target_stem	target_bold_exists	target_already_has_trigger	start_time_missing	ambiguous
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050514503246786661989.0.0.0	sub-001_ses-01_task-control_run-01	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050516511632509348136.0.0.0	sub-001_ses-01_task-control_run-05	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.202305051649173319740653.0.0.0	sub-001_ses-01_task-control_run-03	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050514415648251600347.0.0.0	sub-001_ses-01_task-fmri_run-05	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050514454334799981168.0.0.0	sub-001_ses-01_task-fmri_run-07	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050514513883800269474.0.0.0	sub-001_ses-01_task-fmri_run-01	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050514554365362650295.0.0.0	sub-001_ses-01_task-fmri_run-03	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.202305051500457862031116.0.0.0	sub-001_ses-01_task-movie_run-01	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050515045018007606241.0.0.0	sub-001_ses-01_task-movie_run-03	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050515084849627781366.0.0.0	sub-001_ses-01_task-movie_run-05	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050515124536070056491.0.0.0	sub-001_ses-01_task-movie_run-07	True	False	True	False
sub-001	ses-01	1.3.12.2.1107.5.2.43.166092.2023050515170547378131616.0.0.0	sub-001_ses-01_task-rest_run-01	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115042683836053391.0.0.0	sub-002_ses-01_task-control_run-01	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115564579187247406.0.0.0	sub-002_ses-01_task-control_run-05	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115543076689739917.0.0.0	sub-002_ses-01_task-control_run-03	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051114541253368489638.0.0.0				True	True
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051114550789818991749.0.0.0				True	True
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051114595856308772570.0.0.0	sub-002_ses-01_task-fmri_run-01	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115053342701160876.0.0.0	sub-002_ses-01_task-fmri_run-03	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.202305111510124601641697.0.0.0	sub-002_ses-01_task-fmri_run-05	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115152619939322518.0.0.0	sub-002_ses-01_task-movie_run-01	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115193536439197643.0.0.0	sub-002_ses-01_task-movie_run-03	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115243651812172768.0.0.0	sub-002_ses-01_task-movie_run-05	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115293929297347893.0.0.0	sub-002_ses-01_task-movie_run-07	True	False	True	False
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115342921485923018.0.0.0	sub-002_ses-01_task-rest_run-01	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.202305191323364913261989.0.0.0	sub-003_ses-01_task-control_run-01	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914111460627056025.0.0.0	sub-003_ses-01_task-control_run-05	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051914080762240648540.0.0.0	sub-003_ses-01_task-control_run-03	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913152399289400347.0.0.0	sub-003_ses-01_task-fmri_run-05	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913194638664881168.0.0.0	sub-003_ses-01_task-fmri_run-07	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.202305191324426551969474.0.0.0	sub-003_ses-01_task-fmri_run-01	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913285498779650295.0.0.0	sub-003_ses-01_task-fmri_run-03	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913335446266731116.0.0.0	sub-003_ses-01_task-movie_run-01	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913375689690806241.0.0.0	sub-003_ses-01_task-movie_run-03	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913412899585781366.0.0.0	sub-003_ses-01_task-movie_run-05	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913455728457056491.0.0.0	sub-003_ses-01_task-movie_run-07	True	False	True	False
sub-003	ses-01	1.3.12.2.1107.5.2.43.166092.2023051913495585601031616.0.0.0	sub-003_ses-01_task-rest_run-01	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214452179190761989.0.0.0	sub-004_ses-01_task-control_run-01	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215433740984356025.0.0.0	sub-004_ses-01_task-control_run-05	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052215380787059148532.0.0.0	sub-004_ses-01_task-control_run-03	True	False	True	False
sub-004	ses-01	1.3.12.2.1107.5.2.43.166092.2023052214362229709900347.0.0.0	sub-004_ses-01_task-fmri_run-05	True	False	True	False
