subject	session	protocol_name	embedded_logs	ext_only	verdict	n	n_hi
sub-002	ses-01	fMRI1_AP	EXT	1	UNUSABLE_FLATLINE	10	0
sub-001	ses-01	Control2_PA	EXT	1	UNUSABLE_FLATLINE	44	0
sub-001	ses-01	Control1_PA	EXT	1	UNUSABLE_FLATLINE	43	0
sub-002	ses-01	Control1_PA	EXT	1	UNUSABLE_FLATLINE	43	0
sub-001	ses-01	Control3_AP	EXT	1	UNUSABLE_FLATLINE	43	0
sub-002	ses-01	Control3_AP	EXT	1	UNUSABLE_FLATLINE	43	0
sub-002	ses-01	Control2_PA	EXT	1	UNUSABLE_FLATLINE	43	0
sub-001	ses-01	Movie3_AP	EXT	1	UNUSABLE_FLATLINE	457	0
sub-002	ses-01	Movie1_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-001	ses-01	fMRI4_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-002	ses-01	Movie4_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-002	ses-01	fMRI1_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-001	ses-01	Movie1_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-001	ses-01	fMRI1_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-001	ses-01	fMRI2_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-002	ses-01	Movie3_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-001	ses-01	Movie4_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-002	ses-01	fMRI4_AP	EXT	1	UNUSABLE_FLATLINE	497	0
sub-002	ses-01	fMRI3_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-001	ses-01	Movie2_AP	EXT	1	UNUSABLE_FLATLINE	452	0
sub-002	ses-01	Movie2_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-003	ses-01	Control3_AP	EXT	1	UNUSABLE_FLATLINE	44	0
sub-003	ses-01	Control2_PA	EXT	1	UNUSABLE_FLATLINE	44	0
sub-003	ses-01	Control1_PA	EXT	1	UNUSABLE_FLATLINE	44	0
sub-002	ses-01	fMRI2_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-001	ses-01	fMRI3_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-001	ses-01	REST1_AP	EXT	1	UNUSABLE_FLATLINE	688	0
sub-002	ses-01	REST1_AP	EXT	1	UNUSABLE_FLATLINE	697	0
sub-003	ses-01	fMRI3_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-003	ses-01	fMRI1_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-003	ses-01	fMRI4_AP	EXT	1	UNUSABLE_FLATLINE	486	0
sub-003	ses-01	Movie2_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-003	ses-01	Movie3_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-003	ses-01	Movie1_AP	EXT	1	UNUSABLE_FLATLINE	460	0
sub-003	ses-01	fMRI2_AP	EXT	1	UNUSABLE_FLATLINE	497	0
sub-003	ses-01	Movie4_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-034	ses-02	Control2_AP	EXT	1	UNUSABLE_FLATLINE	45	0
sub-034	ses-02	Control3_PA	EXT	1	UNUSABLE_FLATLINE	45	0
sub-003	ses-01	REST1_AP	EXT	1	UNUSABLE_FLATLINE	688	0
sub-004	ses-01	Control1_PA	EXT	1	UNUSABLE_FLATLINE	43	0
sub-004	ses-01	Control2_PA	EXT	1	UNUSABLE_FLATLINE	43	0
sub-004	ses-01	Control3_AP	EXT	1	UNUSABLE_FLATLINE	43	0
sub-004	ses-01	fMRI2_AP	EXT	1	UNUSABLE_FLATLINE	498	0
sub-005	ses-01	Control1_PA	EXT	1	UNUSABLE_FLATLINE	43	0
sub-005	ses-01	Control2_AP	EXT	1	UNUSABLE_FLATLINE	44	0
sub-004	ses-01	Movie1_AP	EXT	1	UNUSABLE_FLATLINE	451	0
sub-004	ses-01	Movie2_AP	EXT	1	UNUSABLE_FLATLINE	451	0
