filepath	subject_candidate	session_candidate	extension	size_bytes	version	header_tokens	log_start_mdh_time	log_stop_mdh_time	log_start_mpcu_time	log_stop_mpcu_time	nr_trig	nr_mp	nr_arr	acq_win	ecg_freq_per	puls_freq_per	resp_freq_per	ext_freq_per	ext2_freq_per	footer_complete	notes
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.ecg	SUBC01	ses-02	.ecg	79989	LOGVERSION	1 1 2 40 280	33224695	33233267	33224377	33232950	0	0	0	0	0 0	80 750	9 6220	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.puls	SUBC01	ses-02	.puls	8602732	LOGVERSION_PULS	1 2 40 280	33225725	37531102	33225405	37530637	2124	0	0	0	0 0	71 835	19 3140	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.resp	SUBC01	ses-02	.resp	8475309	LOGVERSION_RESP	1 2 20 2	33225212	37531105	33224895	37530637	2124	0	0	0	0 0	71 843	19 3140	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.ecg	SUBC28	ses-01	.ecg	56444	LOGVERSION	1 1 2 40 280	41399595	41405610	41399187	41405202	0	0	0	0	0 0	67 891	18 3160	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.puls	SUBC28	ses-01	.puls	5871818	LOGVERSION_PULS	1 2 40 280	41400622	44335532	41400212	44334962	0	0	0	0	0 0	64 927	15 3920	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.resp	SUBC28	ses-01	.resp	5797463	LOGVERSION_RESP	1 2 20 2	41400112	44335535	41399705	44334962	0	0	0	0	0 0	61 973	15 3920	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_Physio/SUBC28_SESSION01_2023DEC16.ecg	SUBC28	ses-01	.ecg	70662	LOGVERSION	1 1 2 40 280	43426700	43434260	43426730	43434290	0	0	0	0	0 0	53 1116	11 5120	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_Physio/SUBC28_SESSION01_2023DEC16.puls	SUBC28	ses-01	.puls	6085386	LOGVERSION_PULS	1 2 40 280	43427727	46470912	43427755	46471332	0	0	0	0	0 0	0 0	15 3940	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_Physio/SUBC28_SESSION01_2023DEC16.resp	SUBC28	ses-01	.resp	5938955	LOGVERSION_RESP	1 2 20 2	43427217	46470915	43427245	46471332	0	0	0	0	0 0	0 0	15 3940	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_physio/SUBC02_SESSION02_20NOV2023.ecg	SUBC02	ses-02	.ecg	82320	LOGVERSION	1 1 2 40 280	52918857	52927685	52918297	52927125	0	0	0	0	0 0	80 743	18 3300	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_physio/SUBC02_SESSION02_20NOV2023.puls	SUBC02	ses-02	.puls	17253552	LOGVERSION_PULS	1 2 40 280	52919887	61573917	52919325	61574172	2125	0	0	0	0 0	0 0	0 0	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_physio/SUBC02_SESSION02_20NOV2023.resp	SUBC02	ses-02	.resp	16899351	LOGVERSION_RESP	1 2 20 2	52919375	61573920	52918815	61574172	2125	0	0	0	0 0	0 0	0 0	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.ecg	SUBC31	ses-02	.ecg	86047	LOGVERSION	1 1 2 40 280	34175900	34185132	34175780	34185010	0	0	0	0	0 0	67 885	10 5560	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.puls	SUBC31	ses-02	.puls	5674584	LOGVERSION_PULS	1 2 40 280	34176927	37014515	34176805	37013907	2084	0	0	0	0 0	68 870	0 0	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.resp	SUBC31	ses-02	.resp	5611511	LOGVERSION_RESP	1 2 20 2	34176417	37014517	34176295	37013907	2084	0	0	0	0 0	68 870	0 0	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ecg	SUBC037	ses-02	.ecg	35099	LOGVERSION	1 1 2 40 280	34103805	34107500	34103902	34107597	0	0	0	0	0 0	67 891	15 3860	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.puls	SUBC037	ses-02	.puls	5204261	LOGVERSION_PULS	1 2 40 280	34104835	36713355	34104930	36712907	2084	0	0	201	0 0	66 906	15 3780	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.resp	SUBC037	ses-02	.resp	5100624	LOGVERSION_RESP	1 2 20 2	34104325	36713357	34104420	36712907	2084	0	0	201	0 0	66 901	15 3780	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ecg	SUBC03	ses-02	.ecg	43483	LOGVERSION	1 1 2 40 280	54605585	54610190	54606395	54611000	0	0	0	0	0 0	0 0	15 3840	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.puls	SUBC03	ses-02	.puls	6494737	LOGVERSION_PULS	1 2 40 280	54606615	57854082	54607422	57854640	2084	0	0	0	0 0	0 0	14 4200	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.resp	SUBC03	ses-02	.resp	6484786	LOGVERSION_RESP	1 2 20 2	54606102	57854082	54606910	57854640	2084	0	0	0	0 0	0 0	14 4200	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ecg	SUBC04	ses-02	.ecg	39046	LOGVERSION	1 1 2 40 280	44994867	44998990	44994960	44999082	0	0	0	0	0 0	73 820	21 2780	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.puls	SUBC04	ses-02	.puls	6259778	LOGVERSION_PULS	1 2 40 280	44995895	48137750	44995985	48138482	2085	0	0	273	0 0	62 966	14 4060	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
/lustre07/scratch/alexrees/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.resp	SUBC04	ses-02	.resp	6285964	LOGVERSION_RESP	1 2 20 2	44995385	48137752	44995475	48138482	2085	0	0	273	0 0	62 965	14 4060	0 0	0 0	yes	Freq Per values are physiological rate/period summaries, not acquisition sampling frequencies. MDH/MPCU values are literal scanner-clock ticks, not BIDS StartTime.
