physio_file	candidate_source	variable	value	units	confidence	notes
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.ecg					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.puls					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.resp					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.ecg					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.puls					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_Peripheral/SUBC28-Session1-2023DEC09.resp					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_Physio/SUBC28_SESSION01_2023DEC16.ecg					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_Physio/SUBC28_SESSION01_2023DEC16.puls					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_Physio/SUBC28_SESSION01_2023DEC16.resp					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_physio/SUBC02_SESSION02_20NOV2023.ecg					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_physio/SUBC02_SESSION02_20NOV2023.puls					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_physio/SUBC02_SESSION02_20NOV2023.resp					NONE	No explicit ECG/RESP/PULS acquisition sampling-rate label with units was found. Freq Per, bpm, period, TR, display fps, and unlabeled PMU preamble values were rejected.
