subject	session	filename	stored_artifact_probability	n_mc	n_artifact_votes	artifact_probability	classification	soft_art_mean	soft_art_std	soft_art_min	soft_art_max	n_unique_softmax_rows	all_mc_identical	official_collate_class	official_collate_majority_prob	official_collate_count	official_collate_total
sub-073	ses-01	sub-073_ses-01_run-03_T1w.nii.gz	100	10	10	100.0	artifact	0.8690057992935181	0.10494155436754227	0.6501035690307617	0.9937816262245178	10	False	artifact	100.0	10	10
sub-066	ses-02	sub-066_ses-02_run-01_T1w.nii.gz	100	10	10	100.0	artifact	0.9844233393669128	0.016479741781949997	0.9377627968788147	0.9951344132423401	10	False	artifact	100.0	10	10
sub-025	ses-01	sub-025_ses-01_run-02_T1w.nii.gz	10	10	4	40.0	clean	0.42845696210861206	0.30178767442703247	0.03968507796525955	0.8700748085975647	10	False	clean	60.0	6	10
sub-054	ses-02	sub-054_ses-02_run-03_T1w.nii.gz	30	10	4	40.0	clean	0.4655916094779968	0.3415074348449707	0.0074659488163888454	0.9166885018348694	10	False	clean	60.0	6	10
sub-008	ses-01	sub-008_ses-01_run-01_T1w.nii.gz	20	10	4	40.0	clean	0.4656201899051666	0.25300493836402893	0.12512142956256866	0.9517603516578674	10	False	clean	60.0	6	10
sub-040	ses-02	sub-040_ses-02_run-03_T1w.nii.gz	100	10	10	100.0	artifact	0.9130027890205383	0.07904598116874695	0.7040847539901733	0.996091902256012	10	False	artifact	100.0	10	10
sub-043	ses-02	sub-043_ses-02_run-03_T1w.nii.gz	100	10	5	50.0	artifact	0.4881340563297272	0.28989627957344055	0.057953622192144394	0.9146727323532104	10	False	clean	50.0	5	10
sub-041	ses-01	sub-041_ses-01_run-01_T1w.nii.gz	10	10	5	50.0	artifact	0.46792072057724	0.36220166087150574	0.0006877495907247066	0.9637022614479065	10	False	clean	50.0	5	10
sub-016	ses-02	sub-016_ses-02_run-01_T1w.nii.gz	80	10	8	80.0	artifact	0.7086057662963867	0.33955302834510803	0.03312565013766289	0.9987475872039795	10	False	artifact	80.0	8	10
sub-014	ses-01	sub-014_ses-01_run-01_T1w.nii.gz	60	10	10	100.0	artifact	0.8902794122695923	0.12433627992868423	0.6130916476249695	0.9994449019432068	10	False	artifact	100.0	10	10
sub-043	ses-02	sub-043_ses-02_run-04_T1w.nii.gz	20	10	4	40.0	clean	0.4423958659172058	0.319529265165329	0.036135077476501465	0.9184321165084839	10	False	clean	60.0	6	10
sub-081	ses-02	sub-081_ses-02_run-01_T1w.nii.gz	90	10	10	100.0	artifact	0.9355867505073547	0.08866900205612183	0.6932333707809448	0.999777615070343	10	False	artifact	100.0	10	10
sub-021	ses-01	sub-021_ses-01_run-01_T1w.nii.gz	40	10	8	80.0	artifact	0.6555798053741455	0.22074654698371887	0.23736390471458435	0.9064842462539673	10	False	artifact	80.0	8	10
sub-010	ses-01	sub-010_ses-01_run-01_T1w.nii.gz	100	10	10	100.0	artifact	0.9768873453140259	0.025164945051074028	0.9174661636352539	0.9985877275466919	10	False	artifact	100.0	10	10
sub-081	ses-02	sub-081_ses-02_run-02_T1w.nii.gz	90	10	10	100.0	artifact	0.9482318162918091	0.08145410567522049	0.7309976816177368	0.9996764659881592	10	False	artifact	100.0	10	10
sub-052	ses-01	sub-052_ses-01_run-01_T1w.nii.gz	90	10	9	90.0	artifact	0.8248478174209595	0.1832638829946518	0.3495430648326874	0.9990987777709961	10	False	artifact	90.0	9	10
sub-069	ses-02	sub-069_ses-02_run-03_T1w.nii.gz	90	10	10	100.0	artifact	0.9332464933395386	0.07087234407663345	0.7738754153251648	0.9965965151786804	10	False	artifact	100.0	10	10
sub-051	ses-01	sub-051_ses-01_run-01_T1w.nii.gz	90	10	10	100.0	artifact	0.9771620035171509	0.04050813987851143	0.872770369052887	0.9998862743377686	10	False	artifact	100.0	10	10
sub-035	ses-02	sub-035_ses-02_run-02_T1w.nii.gz	90	10	10	100.0	artifact	0.9427841305732727	0.05330764502286911	0.8158801198005676	0.9965090155601501	10	False	artifact	100.0	10	10
sub-027	ses-01	sub-027_ses-01_run-01_T1w.nii.gz	100	10	9	90.0	artifact	0.8407338261604309	0.1561562418937683	0.4805985987186432	0.9815757274627686	10	False	artifact	90.0	9	10
