subject	session	filename	stored_artifact_probability	mc10_artifact_probability	mc10_classification	mc10_soft_art_std	mc10_n_unique_softmax	mc10_all_identical	mc25_artifact_probability	mc25_classification	mc25_soft_art_std	mc25_n_unique_softmax	mc25_all_identical	mc50_artifact_probability	mc50_classification	mc50_soft_art_std	mc50_n_unique_softmax	mc50_all_identical	mc100_artifact_probability	mc100_classification	mc100_soft_art_std	mc100_n_unique_softmax	mc100_all_identical
sub-073	ses-01	sub-073_ses-01_run-03_T1w.nii.gz	100	100.0	artifact	0.10494155436754227	10	False	100.0	artifact	0.08123714476823807	25	False	100.0	artifact	0.09620870649814606	50	False	100.0	artifact	0.09808196127414703	100	False
sub-066	ses-02	sub-066_ses-02_run-01_T1w.nii.gz	100	100.0	artifact	0.020826430991292	10	False	100.0	artifact	0.018219925463199615	25	False	100.0	artifact	0.017121098935604095	50	False	100.0	artifact	0.02241731807589531	100	False
sub-025	ses-01	sub-025_ses-01_run-02_T1w.nii.gz	10	60.0	artifact	0.30960625410079956	10	False	52.0	artifact	0.2958599030971527	25	False	36.0	clean	0.26899734139442444	50	False	32.0	clean	0.27734825015068054	100	False
sub-054	ses-02	sub-054_ses-02_run-03_T1w.nii.gz	30	60.0	artifact	0.3545640707015991	10	False	56.0	artifact	0.33187445998191833	25	False	52.0	artifact	0.32867974042892456	50	False	47.0	clean	0.3455508053302765	100	False
sub-008	ses-01	sub-008_ses-01_run-01_T1w.nii.gz	20	70.0	artifact	0.28787142038345337	10	False	56.0	artifact	0.33368250727653503	25	False	58.0	artifact	0.32209065556526184	50	False	58.0	artifact	0.3277519941329956	100	False
sub-040	ses-02	sub-040_ses-02_run-03_T1w.nii.gz	100	100.0	artifact	0.03033551387488842	10	False	100.0	artifact	0.0910978764295578	25	False	100.0	artifact	0.087282195687294	50	False	99.0	artifact	0.10761969536542892	100	False
sub-043	ses-02	sub-043_ses-02_run-03_T1w.nii.gz	100	60.0	artifact	0.3037087619304657	10	False	60.0	artifact	0.29163751006126404	25	False	76.0	artifact	0.25791725516319275	50	False	77.0	artifact	0.29399624466896057	100	False
sub-041	ses-01	sub-041_ses-01_run-01_T1w.nii.gz	10	60.0	artifact	0.433681458234787	10	False	48.0	clean	0.4437198042869568	25	False	40.0	clean	0.40649428963661194	50	False	36.0	clean	0.39175400137901306	100	False
sub-016	ses-02	sub-016_ses-02_run-01_T1w.nii.gz	80	100.0	artifact	0.16689248383045197	10	False	84.0	artifact	0.2687947452068329	25	False	80.0	artifact	0.29852670431137085	50	False	82.0	artifact	0.29231539368629456	100	False
sub-014	ses-01	sub-014_ses-01_run-01_T1w.nii.gz	60	90.0	artifact	0.21055035293102264	10	False	88.0	artifact	0.23080332577228546	25	False	82.0	artifact	0.25135475397109985	50	False	88.0	artifact	0.22179652750492096	100	False
