n	n_pos	n_neg	roc_auc	accuracy	balanced_accuracy	f1	mcc	exclusion	task	n_excluded	n_kept
264	132	132	0.9643021120293848	0.9053030303030303	0.9053030303030303	0.9070631970260222	0.811188216970585	none	norm_vs_nonNORM	0	264
264	173	91	0.9620148637489678	0.8901515151515151	0.8901416502572572	0.9139465875370919	0.7644940963705239	none	qc_fail_pizarro_ge50	0	264
256	124	132	0.9517350928641252	0.89453125	0.8947947214076246	0.8924302788844621	0.7892278926141353	low_cnr_mpr_run01	norm_vs_nonNORM	8	256
256	165	91	0.9690975690975691	0.88671875	0.88008658008658	0.9113149847094802	0.7548380184404033	low_cnr_mpr_run01	qc_fail_pizarro_ge50	8	256
259	131	128	0.9438215648854962	0.888030888030888	0.8877027671755725	0.8921933085501859	0.777029130619138	uncertain_50_50	norm_vs_nonNORM	5	259
259	170	89	0.9771315267680106	0.9227799227799228	0.9170852610707204	0.9408284023668638	0.8298487911772932	uncertain_50_50	qc_fail_pizarro_ge50	5	259
251	123	128	0.9402311991869918	0.8725099601593626	0.8726181402439024	0.8709677419354839	0.7450943171984917	low_cnr_plus_uncertain	norm_vs_nonNORM	13	251
251	162	89	0.9728117630739354	0.8844621513944223	0.8851782494104592	0.9079365079365078	0.7554148326944019	low_cnr_plus_uncertain	qc_fail_pizarro_ge50	13	251
251	123	128	0.9402311991869918	0.8725099601593626	0.8726181402439024	0.8709677419354839	0.7450943171984917	all_listed_in_transfer	norm_vs_nonNORM	13	251
251	162	89	0.9728117630739354	0.8844621513944223	0.8851782494104592	0.9079365079365078	0.7554148326944019	all_listed_in_transfer	qc_fail_pizarro_ge50	13	251
