rank	subject	session	filename	artifact_probability	uncertainty	confidence
1	sub-084	ses-01	sub-084_ses-01_run-03_T1w.nii.gz	100	0	100
2	sub-084	ses-01	sub-084_ses-01_run-02_T1w.nii.gz	100	0	100
3	sub-084	ses-01	sub-084_ses-01_run-01_T1w.nii.gz	100	0	100
4	sub-083	ses-01	sub-083_ses-01_run-03_T1w.nii.gz	100	0	100
5	sub-083	ses-01	sub-083_ses-01_run-02_T1w.nii.gz	100	0	100
6	sub-082	ses-01	sub-082_ses-01_run-03_T1w.nii.gz	100	0	100
7	sub-082	ses-01	sub-082_ses-01_run-02_T1w.nii.gz	100	0	100
8	sub-082	ses-01	sub-082_ses-01_run-01_T1w.nii.gz	100	0	100
9	sub-081	ses-01	sub-081_ses-01_run-03_T1w.nii.gz	100	0	100
10	sub-080	ses-01	sub-080_ses-01_run-03_T1w.nii.gz	100	0	100
