subject	n_t1w_images	n_sessions	mean_artifact_probability	max_artifact_probability	mean_uncertainty	max_uncertainty	mean_confidence	n_inference_errors
sub-001	6	2	41.6667	100	0.239991	0.970951	91.6667	0
sub-002	6	2	68.3333	100	0.465039	0.970951	85	0
sub-003	6	2	68.3333	100	0.652142	1	71.6667	0
sub-004	6	2	91.6667	100	0.267203	0.881291	91.6667	0
sub-005	6	2	41.6667	100	0.711175	0.970951	75	0
sub-006	6	2	71.6667	100	0.590853	0.970951	78.3333	0
sub-007	6	2	51.6667	100	0.605145	1	78.3333	0
sub-008	6	2	53.3333	100	0.526979	1	80	0
sub-009	6	2	35	90	0.605145	1	78.3333	0
sub-010	3	1	96.6667	100	0.156332	0.468996	96.6667	0
sub-011	6	2	68.3333	100	0.465039	0.970951	85	0
sub-012	6	2	83.3333	100	0.43387	1	83.3333	0
sub-013	3	1	86.6667	100	0.450095	0.881291	86.6667	0
sub-014	3	1	86.6667	100	0.32365	0.970951	86.6667	0
sub-015	6	2	73.3333	100	0.161825	0.970951	93.3333	0
sub-016	6	2	46.6667	80	0.706333	0.881291	80	0
sub-017	6	2	75	100	0.573324	1	75	0
sub-018	2	1	60	80	0.846439	0.970951	70	0
sub-019	6	2	81.6667	100	0.54935	0.970951	81.6667	0
sub-020	3	1	13.3333	40	0.32365	0.970951	86.6667	0
sub-021	6	2	78.3333	100	0.308707	0.970951	88.3333	0
sub-022	5	2	48	60	0.876369	1	64	0
sub-023	6	2	50	100	0.402468	0.970951	86.6667	0
sub-024	4	2	40	100	0.367249	1	85	0
sub-025	6	2	46.6667	100	0.479982	0.970951	83.3333	0
sub-026	6	2	38.3333	90	0.548046	1	81.6667	0
sub-027	6	2	86.6667	100	0.386873	0.970951	86.6667	0
sub-028	6	2	58.3333	100	0.602471	0.970951	78.3333	0
sub-029	6	2	68.3333	100	0.73096	1	71.6667	0
sub-030	6	2	40	100	0.507194	0.970951	83.3333	0
sub-031	6	2	80	100	0.406658	1	83.3333	0
sub-032	3	1	40	100	0.240643	0.721928	93.3333	0
sub-033	2	1	30	30	0.881291	0.881291	70	0
sub-034	6	2	86.6667	100	0.225048	0.881291	93.3333	0
sub-035	6	2	63.3333	100	0.396975	0.721928	90	0
sub-036	6	2	71.6667	100	0.318809	0.721928	91.6667	0
sub-037	3	1	60	100	0.627097	1	73.3333	0
sub-038	6	2	66.6667	100	0.406658	1	83.3333	0
sub-039	6	2	71.6667	100	0.711175	0.970951	75	0
sub-040	6	2	78.3333	100	0.308707	0.970951	88.3333	0
sub-041	6	2	40	100	0.276653	0.721928	93.3333	0
sub-042	3	1	33.3333	100	0	0	100	0
sub-043	6	1	71.6667	100	0.429028	0.970951	85	0
sub-044	6	2	23.3333	100	0.312664	0.468996	93.3333	0
sub-045	2	1	90	90	0.468996	0.468996	90	0
sub-046	6	2	61.6667	100	0.622255	1	75	0
sub-047	6	2	65	100	0.58536	0.970951	81.6667	0
sub-048	6	2	93.3333	100	0.225048	0.881291	93.3333	0
sub-049	3	1	90	100	0.293764	0.881291	90	0
sub-050	3	1	50	100	0.534406	0.881291	83.3333	0
sub-051	3	1	80	100	0.489665	1	80	0
sub-052	5	2	72	100	0.575978	0.970951	80	0
sub-053	3	1	90	100	0.293764	0.881291	90	0
sub-054	5	2	78	100	0.370448	0.970951	86	0
sub-056	2	1	100	100	0	0	100	0
sub-057	6	2	53.3333	100	0.658918	1	76.6667	0
sub-058	3	1	56.6667	70	0.96043	1	56.6667	0
sub-059	3	1	36.6667	70	0.775049	0.881291	76.6667	0
sub-060	3	1	33.3333	100	0	0	100	0
sub-061	2	1	85	90	0.595462	0.721928	85	0
sub-062	3	1	50	100	0.534406	0.881291	83.3333	0
sub-063	2	1	30	30	0.881291	0.881291	70	0
sub-064	5	2	98	100	0.0937991	0.468996	98	0
sub-065	3	1	73.3333	100	0.627097	1	73.3333	0
sub-066	6	2	96.6667	100	0.120321	0.721928	96.6667	0
sub-067	6	2	68.3333	100	0.701073	1	75	0
sub-068	6	2	68.3333	100	0.522137	0.970951	81.6667	0
sub-069	6	2	65	100	0.605145	1	78.3333	0
sub-070	2	1	100	100	0	0	100	0
sub-071	3	1	100	100	0	0	100	0
sub-072	6	2	83.3333	100	0.402468	0.970951	86.6667	0
sub-073	6	2	66.6667	100	0.595695	1	76.6667	0
sub-074	6	2	68.3333	100	0.470532	0.970951	81.6667	0
sub-075	3	1	53.3333	100	0.564293	0.970951	80	0
sub-076	2	1	95	100	0.234498	0.468996	95	0
sub-077	3	1	76.6667	80	0.775049	0.881291	76.6667	0
sub-078	3	1	53.3333	70	0.950747	1	60	0
sub-079	3	1	36.6667	90	0.396975	0.721928	90	0
sub-080	3	1	43.3333	100	0.293764	0.881291	90	0
sub-081	6	2	75	100	0.605145	1	78.3333	0
sub-082	3	1	100	100	0	0	100	0
sub-083	3	1	96.6667	100	0.156332	0.468996	96.6667	0
sub-084	3	1	100	100	0	0	100	0
