subject	n_t1w_images	n_sessions	mean_artifact_probability	max_artifact_probability	mean_uncertainty	max_uncertainty	mean_confidence	n_inference_errors
sub-001	6	2	46.6667	100	0.413302	0.995378	86.6667	0
sub-002	6	2	73.3333	100	0.46022	0.924819	85.3333	0
sub-003	6	2	75.3333	100	0.661361	0.998846	75.3333	0
sub-004	6	2	92.6667	100	0.252828	0.79504	92.6667	0
sub-005	6	2	50.6667	98	0.828449	0.998846	66	0
sub-006	6	2	78	100	0.499038	0.970951	84	0
sub-007	6	2	55.6667	100	0.655184	0.998846	75.6667	0
sub-008	6	2	68.3333	100	0.6537	0.998846	71.6667	0
sub-009	6	2	42	94	0.64708	0.995378	78.6667	0
sub-010	3	1	94.6667	100	0.257218	0.529361	94.6667	0
sub-011	6	2	71	100	0.53851	0.998846	80.3333	0
sub-012	6	2	88.6667	100	0.360335	0.904381	88.6667	0
sub-013	3	1	85.3333	100	0.404414	0.970951	85.3333	0
sub-014	3	1	88.6667	100	0.435389	0.721928	88.6667	0
sub-015	6	2	77.6667	100	0.393827	0.989588	85.6667	0
sub-016	6	2	49.3333	86	0.724123	0.958042	76.6667	0
sub-017	6	2	81.6667	100	0.48982	1	81.6667	0
sub-018	2	1	59	68	0.952191	1	59	0
sub-019	6	2	87	98	0.504135	0.79504	87	0
sub-020	3	1	13.3333	32	0.457756	0.904381	86.6667	0
sub-021	6	2	81.6667	100	0.351873	0.998846	85	0
sub-022	5	2	46.8	84	0.806478	0.989588	70	0
sub-023	6	2	56	100	0.507087	0.942683	84	0
sub-024	6	2	32.3333	100	0.43016	0.989588	86.3333	0
sub-025	6	2	54.3333	100	0.601862	0.981454	78.3333	0
sub-026	6	2	52.6667	94	0.679225	0.970951	78	0
sub-027	6	2	85	100	0.44817	0.942683	85	0
sub-028	6	2	65.6667	100	0.602757	0.998846	76.3333	0
sub-029	6	2	78.6667	94	0.661381	0.998846	78.6667	0
sub-030	6	2	45.3333	100	0.546567	0.981454	79.3333	0
sub-031	6	2	83.6667	100	0.42437	0.995378	85	0
sub-032	3	1	40.6667	100	0.332785	0.529361	92.6667	0
sub-033	2	1	44	64	0.868862	0.942683	70	0
sub-034	6	2	88	100	0.329619	0.995378	89.3333	0
sub-035	6	2	67	98	0.27049	0.468996	95	0
sub-036	6	2	79.3333	100	0.443571	0.981454	83.3333	0
sub-037	3	1	60.6667	98	0.560044	0.904381	83.3333	0
sub-038	6	2	73.6667	100	0.519722	0.998846	81.6667	0
sub-039	6	2	78.3333	98	0.576227	0.924819	83.6667	0
sub-040	6	2	84	100	0.373642	0.989588	86	0
sub-041	6	2	47.3333	100	0.473341	0.881291	86	0
sub-042	3	1	38	100	0.194746	0.584239	95.3333	0
sub-043	6	1	65.3333	100	0.659533	0.995378	76	0
sub-044	6	2	24.6667	100	0.288675	0.855451	92	0
sub-045	2	1	89	98	0.431684	0.721928	89	0
sub-046	6	2	74	100	0.685429	0.995378	74	0
sub-047	6	2	74.3333	100	0.480887	0.958042	83.6667	0
sub-048	6	2	91.6667	100	0.252428	0.970951	91.6667	0
sub-049	3	1	86.6667	100	0.32365	0.970951	86.6667	0
sub-050	3	1	58.6667	100	0.535087	0.970951	81.3333	0
sub-051	3	1	85.3333	98	0.447258	0.958042	85.3333	0
sub-052	5	2	70	100	0.580813	0.995378	80.4	0
sub-053	3	1	89.3333	100	0.34091	0.881291	89.3333	0
sub-054	5	2	82.4	100	0.496993	0.958042	82.4	0
sub-056	2	1	99	100	0.0707203	0.141441	99	0
sub-057	6	2	54	98	0.801706	0.998846	67.3333	0
sub-058	3	1	54.6667	66	0.969928	0.995378	58.6667	0
sub-059	3	1	34	74	0.663472	0.826746	82	0
sub-060	3	1	33.3333	100	0	0	100	0
sub-061	2	1	78	88	0.716871	0.904381	78	0
sub-062	3	1	44.6667	100	0.435389	0.721928	88.6667	0
sub-063	2	1	29	32	0.865564	0.904381	71	0
sub-064	5	2	100	100	0	0	100	0
sub-065	3	1	72.6667	98	0.525061	0.904381	84.6667	0
sub-066	6	2	97.3333	100	0.105718	0.63431	97.3333	0
sub-067	6	2	81	100	0.539048	1	81	0
sub-068	6	2	72	100	0.41477	0.881291	88	0
sub-069	6	2	81.6667	100	0.586424	0.942683	81.6667	0
sub-070	2	1	100	100	0	0	100	0
sub-071	3	1	97.3333	100	0.161528	0.242292	97.3333	0
sub-072	6	2	82.3333	100	0.47594	0.995378	83.6667	0
sub-073	6	2	75.3333	100	0.645059	0.995378	75.3333	0
sub-074	6	2	76.3333	100	0.503964	0.998846	81.6667	0
sub-075	3	1	60	100	0.594876	0.989588	77.3333	0
sub-076	2	1	90	100	0.360964	0.721928	90	0
sub-077	3	1	76.6667	90	0.735573	0.942683	76.6667	0
sub-078	3	1	69.3333	88	0.77133	0.989588	73.3333	0
sub-079	3	1	37.3333	94	0.39954	0.468996	92	0
sub-080	3	1	50	100	0.333333	1	83.3333	0
sub-081	6	2	78	100	0.517017	0.942683	84	0
sub-082	3	1	98	100	0.109148	0.327445	98	0
sub-083	3	1	93.3333	100	0.303895	0.584239	93.3333	0
sub-084	3	1	96.6667	100	0.156332	0.468996	96.6667	0
