subject	n_t1w_images	n_sessions	median_model_estimated_artifact_probability	iqr_model_estimated_artifact_probability	q1_model_estimated_artifact_probability	q3_model_estimated_artifact_probability	n_images_prioritized_for_visual_review	n_images_high_model_estimated_artifact_probability	n_images_high_model_uncertainty
sub-001	6	2	25.0	82.5	2.5	85.0	3	2	1
sub-002	6	2	80.0	50.0	47.5	97.5	4	3	1
sub-003	6	2	60.0	37.5	52.5	90.0	6	2	4
sub-004	6	2	100.0	15.0	85.0	100.0	4	4	0
sub-005	6	2	35.0	17.5	22.5	40.0	3	1	2
sub-006	6	2	75.0	47.5	47.5	95.0	4	2	2
sub-007	6	2	55.0	55.0	20.0	75.0	3	1	2
sub-008	6	2	45.0	62.5	25.0	87.5	4	2	2
sub-009	6	2	30.0	35.0	12.5	47.5	3	1	2
sub-010	3	1	100.0	5.0	95.0	100.0	3	3	0
sub-011	6	2	80.0	50.0	47.5	97.5	4	3	1
sub-012	6	2	90.0	27.5	72.5	100.0	4	3	1
sub-013	3	1	90.0	15.0	80.0	95.0	2	2	0
sub-014	3	1	100.0	20.0	80.0	100.0	3	2	1
sub-015	6	2	100.0	45.0	55.0	100.0	5	4	1
sub-016	6	2	45.0	57.5	20.0	77.5	0	0	0
sub-017	6	2	75.0	45.0	52.5	97.5	6	3	3
sub-018	2	1	60.0	20.0	50.0	70.0	1	0	1
sub-019	6	2	80.0	22.5	72.5	95.0	3	2	1
sub-020	3	1	0.0	20.0	0.0	20.0	1	0	1
sub-021	6	2	100.0	45.0	55.0	100.0	5	4	1
sub-022	5	2	60.0	10.0	50.0	60.0	4	0	4
sub-023	6	2	40.0	70.0	20.0	90.0	3	2	1
sub-024	4	2	30.0	55.0	7.5	62.5	2	1	1
sub-025	6	2	40.0	60.0	17.5	77.5	4	2	2
sub-026	6	2	30.0	55.0	10.0	65.0	2	1	1
sub-027	6	2	95.0	25.0	75.0	100.0	5	4	1
sub-028	6	2	45.0	60.0	30.0	90.0	3	2	1
sub-029	6	2	70.0	27.5	52.5	80.0	4	1	3
sub-030	6	2	30.0	50.0	12.5	62.5	2	1	1
sub-031	6	2	95.0	40.0	60.0	100.0	6	4	2
sub-032	3	1	20.0	50.0	10.0	60.0	1	1	0
sub-033	2	1	30.0	0.0	30.0	30.0	0	0	0
sub-034	6	2	100.0	7.5	92.5	100.0	5	5	0
sub-035	6	2	85.0	55.0	35.0	90.0	3	3	0
sub-036	6	2	95.0	62.5	37.5	100.0	4	4	0
sub-037	3	1	50.0	35.0	40.0	75.0	2	1	1
sub-038	6	2	75.0	45.0	52.5	97.5	5	3	2
sub-039	6	2	75.0	17.5	62.5	80.0	3	1	2
sub-040	6	2	100.0	45.0	55.0	100.0	5	4	1
sub-041	6	2	15.0	70.0	10.0	80.0	2	2	0
sub-042	3	1	0.0	50.0	0.0	50.0	1	1	0
sub-043	6	1	85.0	52.5	47.5	100.0	4	3	1
sub-044	6	2	10.0	0.0	10.0	10.0	1	1	0
sub-045	2	1	90.0	0.0	90.0	90.0	2	2	0
sub-046	6	2	55.0	55.0	35.0	90.0	4	2	2
sub-047	6	2	75.0	52.5	37.5	90.0	4	3	1
sub-048	6	2	100.0	7.5	92.5	100.0	5	5	0
sub-049	3	1	100.0	15.0	85.0	100.0	2	2	0
sub-050	3	1	30.0	40.0	25.0	65.0	1	1	0
sub-051	3	1	90.0	25.0	70.0	95.0	3	2	1
sub-052	5	2	90.0	50.0	40.0	90.0	5	3	2
sub-053	3	1	100.0	15.0	85.0	100.0	2	2	0
sub-054	5	2	100.0	40.0	60.0	100.0	4	3	1
sub-056	2	1	100.0	0.0	100.0	100.0	2	2	0
sub-057	6	2	60.0	42.5	27.5	70.0	2	1	1
sub-058	3	1	50.0	10.0	50.0	60.0	2	0	2
sub-059	3	1	20.0	25.0	20.0	45.0	0	0	0
sub-060	3	1	0.0	50.0	0.0	50.0	1	1	0
sub-061	2	1	85.0	5.0	82.5	87.5	1	1	0
sub-062	3	1	30.0	40.0	25.0	65.0	1	1	0
sub-063	2	1	30.0	0.0	30.0	30.0	0	0	0
sub-064	5	2	100.0	0.0	100.0	100.0	5	5	0
sub-065	3	1	70.0	25.0	60.0	85.0	2	1	1
sub-066	6	2	100.0	0.0	100.0	100.0	5	5	0
sub-067	6	2	75.0	25.0	55.0	80.0	2	1	1
sub-068	6	2	70.0	35.0	60.0	95.0	4	2	2
sub-069	6	2	70.0	47.5	42.5	90.0	5	3	2
sub-070	2	1	100.0	0.0	100.0	100.0	2	2	0
sub-071	3	1	100.0	0.0	100.0	100.0	3	3	0
sub-072	6	2	90.0	20.0	80.0	100.0	4	3	1
sub-073	6	2	65.0	40.0	52.5	92.5	4	2	2
sub-074	6	2	70.0	60.0	40.0	100.0	5	3	2
sub-075	3	1	40.0	40.0	30.0	70.0	2	1	1
sub-076	2	1	95.0	5.0	92.5	97.5	2	2	0
sub-077	3	1	80.0	5.0	75.0	80.0	0	0	0
sub-078	3	1	50.0	15.0	45.0	60.0	2	0	2
sub-079	3	1	20.0	45.0	10.0	55.0	1	1	0
sub-080	3	1	30.0	50.0	15.0	65.0	1	1	0
sub-081	6	2	85.0	32.5	57.5	90.0	5	3	2
sub-082	3	1	100.0	0.0	100.0	100.0	3	3	0
sub-083	3	1	100.0	5.0	95.0	100.0	3	3	0
sub-084	3	1	100.0	0.0	100.0	100.0	3	3	0
